"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04072","Phospholipase D signaling pathway","39/1322","149/11188",0.261744966442953,2.21513062372448,5.46579356096142,9.9880610341432e-07,3.17801941995465e-05,2.12910111335225e-05,"71785/103967/56717/78134/104709/227333/67916/67168/52123/18709/50784/17532/19157/19730/67512/14673/20130/11515/320207/14388/14674/17311/18590/18806/22084/20698/54635/18591/23797/26417/56508/56077/20662/14127/13429/18803/18796/11513/18805",39
"Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway","50/1322","214/11188",0.233644859813084,1.97732124931073,5.28401134356639,1.33416085281688e-06,3.89130248738256e-05,2.60696218728418e-05,"71785/78134/22340/170758/14677/22323/14293/22325/19395/51791/18709/240168/217692/17532/19730/11540/26416/14180/15234/70549/20130/20779/11515/16409/13637/17311/14026/26397/11541/18590/21825/26399/14182/54635/12978/244668/18591/21687/26415/23797/26417/56508/75600/20469/18760/16000/18803/18796/16542/11513",50
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","27/1322","88/11188",0.306818181818182,2.59658231329941,5.50393316605177,1.76859235023321e-06,4.76159478908941e-05,3.19001095560554e-05,"24088/15251/56717/16452/18036/18709/60533/381319/12487/26416/20848/16476/16818/26397/26399/12504/22034/26415/23797/26417/14281/53314/225471/18037/20846/18803/18018",27
"Metabolism","Nucleotide metabolism","mmu00230","Purine metabolism","35/1322","134/11188",0.261194029850746,2.21046808318468,5.15997981632885,3.73188905368972e-06,9.3297226342243e-05,6.25040952332445e-05,"230103/56248/14544/14198/238871/13178/56520/23917/12497/66681/11515/218461/53893/207728/66566/20135/27369/14923/18577/328099/237823/110639/11821/12499/18582/18578/79059/110385/66401/75686/18160/11513/18583/18102/29863",35
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","49/1322","217/11188",0.225806451612903,1.91098531062418,4.96043912849989,4.755513488605e-06,0.000110961981400783,7.43385256417187e-05,"17969/20293/24088/14825/16452/22325/21939/11596/18709/56489/17395/21933/20656/26416/13063/20310/20779/17096/56480/26408/11307/20848/20181/16476/12043/20302/26397/12475/22035/16803/26399/22034/19016/26415/23797/76580/26417/216799/75600/14281/14102/12322/225471/18803/16176/18796/16438/18018/12368",49
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","24/1322","80/11188",0.3,2.53888048411498,5.05631289370783,1.00905732830551e-05,0.000220731290566829,0.000147878025397409,"15985/170758/18036/22325/17060/18709/240168/232801/12517/240354/17096/16476/12520/18726/23797/26417/242248/14130/14281/68713/20662/18037/16332/18018",24
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","60/1322","294/11188",0.204081632653061,1.7271295810306,4.62480881057419,1.32001985327843e-05,0.000271768793322029,0.000182070391641781,"21935/50930/20293/14825/56708/12778/55985/18413/53603/24047/18414/11479/12984/20307/21939/13857/12774/21944/14566/16169/21933/21940/21934/16324/21938/60504/20310/21808/21950/20303/16181/20302/16190/12983/22035/21813/12504/20315/12978/16178/16177/16197/16880/11480/16174/16168/21809/12159/12156/15945/56221/14102/20312/13051/85030/16176/11482/11481/16170/20305",60
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","28/1322","104/11188",0.269230769230769,2.27848248574421,4.79474135779803,1.85951923658684e-05,0.000361573184891886,0.000242234476503802,"24088/54473/21939/18709/56489/12519/26410/26416/14082/56480/54721/16476/20303/20302/26397/12475/16803/26399/22034/26415/23797/53791/26417/15945/14281/225471/20846/16176",28
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","45/1322","204/11188",0.220588235294118,1.86682388537866,4.5737000809595,2.15431220285481e-05,0.000389487475924571,0.000260935541620948,"18747/24088/12443/15251/56717/13039/83383/15442/17246/22325/18709/17532/17395/19206/20971/26416/15234/20969/20130/20779/21808/12390/21859/20848/16439/14388/21825/14182/18793/15530/26415/23797/12389/26417/14102/12322/20662/18792/16000/319757/18803/16419/13712/16542/16438",45
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","30/1322","116/11188",0.258620689655172,2.18869007251291,4.71071231771362,2.22564271956897e-05,0.000389487475924571,0.000260935541620948,"18747/238871/14677/17260/19228/14673/232341/11515/53416/16439/20181/12043/17387/13653/231991/14674/18806/18577/17388/14182/109689/18578/110385/26417/14281/14672/18796/16438/11513/18805",30
