"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC","pvalue","padj"
"Sh2d5",5.10884299126272,5.42640718214989,10.5878986397691,8.32729353201935e-05,0.000116991820065576,1.76153029637208,5.10884299126272,8.32729353201935e-05,0.000116991820065576
"Rwdd2b",1.2977186135491,1.15906100018182,10.5858181790723,8.33575553065436e-05,0.000117100190810377,1.76036150435565,1.2977186135491,8.33575553065436e-05,0.000117100190810377
"Ano8",1.25394664319802,1.19328788391247,10.5800082092786,8.3594405205289e-05,0.000117422374564844,1.75709633413112,1.25394664319802,8.3594405205289e-05,0.000117422374564844
"Isoc2a",1.25458424603599,1.19522783387788,10.5731565446218,8.38747406021158e-05,0.00011780557768081,1.75324354159306,1.25458424603599,8.38747406021158e-05,0.00011780557768081
"Gpm6a",3.4632947014767,2.64992583673731,10.5665708696522,8.41452375771903e-05,0.000118174894777228,1.74953807697917,3.4632947014767,8.41452375771903e-05,0.000118174894777228
"Ppp1r3a",1.46440530445234,1.68460717836737,10.562703268745,8.43045726578e-05,0.00011838804208465,1.74736092579393,1.46440530445234,8.43045726578e-05,0.00011838804208465
"2010310C07Rik",1.31644132013558,1.42766522293753,10.5605983021987,8.43914411689275e-05,0.00011849939621423,1.7461756783078,1.31644132013558,8.43914411689275e-05,0.00011849939621423
"Tigar",1.83014128258048,1.78619097954566,10.5596087787606,8.44323136132152e-05,0.000118546150149806,1.74561842774823,1.83014128258048,8.44323136132152e-05,0.000118546150149806
"Itgb7",1.59057539991774,1.62591379334084,10.5566524205387,8.45545655240861e-05,0.000118707145282693,1.74395325709673,1.59057539991774,8.45545655240861e-05,0.000118707145282693
"9430060I03Rik",1.41305777685469,1.34217408909375,10.5548793892749,8.46279843069886e-05,0.000118797218818587,1.74295438311595,1.41305777685469,8.46279843069886e-05,0.000118797218818587
"Entpd6",1.14280734986097,1.07519436797403,10.5547364090757,8.46339081920763e-05,0.000118797218818587,1.74287382529134,1.14280734986097,8.46339081920763e-05,0.000118797218818587
"Dhrs7c",1.19705705057525,1.21128633269284,10.5431613510182,8.51151051083367e-05,0.000119461939612095,1.73634876389752,1.19705705057525,8.51151051083367e-05,0.000119461939612095
"Acp5",4.57382099443461,4.18306890500447,10.5429126348127,8.51254800296722e-05,0.00011946578578514,1.73620848343303,4.57382099443461,8.51254800296722e-05,0.00011946578578514
"Ralgps1",1.33779563105569,1.14552090231866,10.5406203293467,8.52211711957282e-05,0.000119589354037374,1.73491543314775,1.33779563105569,8.52211711957282e-05,0.000119589354037374
"Cbarp",1.31697549696955,1.37590096222881,10.5319045441263,8.55861662308263e-05,0.000120090775572092,1.72999656362808,1.31697549696955,8.55861662308263e-05,0.000120090775572092
