"gene","log2FC","AveExpr","t","pvalue","padj","B"
"Dusp16",1.55106610099989,5.15687597298141,4.93844320620448,0.00176012693821243,0.00552408517659615,-1.63367620209243
"Hoga1",1.59064686484183,1.34138682502872,4.93694650600145,0.00176308115692019,0.00553177285749331,-1.0784399840212
"Pms1",-1.09545521312768,0.339772502685126,-4.93620323122313,0.001764550296032,0.00553458194543072,-1.06288714556969
"Irf2",-1.41237192591351,5.99539551041159,-4.93274640715337,0.00177140087345665,0.00555380542745392,-1.67643989451388
"Gm20707",-1.26515353847349,0.952780702418335,-4.93219289783184,0.00177250053601232,0.00555612133396449,-1.15570852716922
"Omd",-2.46811255747032,1.23876729571673,-4.92901315049663,0.00177883248817621,0.00557323234509047,-1.22747742488817
"Halr1",1.57984780053375,2.787491795612,4.92859525955947,0.00177966651761386,0.00557323234509047,-1.29939084771591
"Anpep",-2.0570648767868,2.00059257651089,-4.92836216962168,0.00178013190880805,0.00557323234509047,-1.33631141811015
"Crocc",-2.09213012353699,-0.446224874097472,-4.92761585037394,0.00178162293207121,0.00557676602552532,-1.00873419343328
"Hbegf",1.71625619116091,7.78529591043062,4.92698406202783,0.00178288622615295,0.00557958558493699,-1.67901509803638
"Gm15579",-1.28451388905421,-1.53345482617286,-4.92553412208828,0.00178578922278988,0.00558526354967671,-0.893796494170231
"Ccdc73",-1.25611497442016,-0.306551178660058,-4.92411558308541,0.00178863443413817,0.00559239974908615,-1.00715145030515
"Kptn",-1.21423458636334,2.37452550478985,-4.92380384622853,0.00178926037014348,0.00559239974908615,-1.38175403778199
"Elf3",2.3060697175602,-2.65036839342527,4.9223571155534,0.00179216844649141,0.00559894821976397,-0.800668220434273
"Gm8075",2.26783157909262,-1.56544229419016,4.92226820452016,0.00179234733797525,0.00559894821976397,-0.824704652332789
"Clcf1",1.17461243807118,1.76672126937386,4.92187195440558,0.00179314484558837,0.00559947182982906,-1.17755139391281
"Rtn1",-2.02230542130553,3.03428134267601,-4.92163278830846,0.00179362639092402,0.00559953423584414,-1.49809624602584
"Mapt",-1.00525024466053,1.86692786097272,-4.91973470657553,0.00179745315418108,0.00561034303305638,-1.29956506708328
"Sh3pxd2b",1.41197639442483,4.06195769796531,4.91924703554741,0.0017984378224825,0.00561227828990839,-1.52664746910555
"Ttyh1",1.29060738646209,2.78399352933416,4.91422686453128,0.00180860908735149,0.00563830311189523,-1.33624879835727
"Gm43221",-1.67271599029721,-1.85074860460152,-4.9136054040157,0.00180987265545117,0.00564055063261648,-0.891866666302645
"Scyl2",1.05499939103348,4.36515300700328,4.91343425863102,0.00181022080449308,0.00564055063261648,-1.6051976524369
"Nnt",-1.33772656537478,0.137855651312598,-4.91174958486082,0.00181365179208417,0.00564716057697095,-1.07475575775343
"Zfp493",-2.11647180842216,-2.17958939681975,-4.90828040770087,0.00182073986080277,0.00566693775482617,-0.882860555806241
"Pigl",-1.1371307237542,0.719213918635914,-4.90709816486194,0.00182316239385336,0.00567218362720781,-1.14944492031357
"Adh6b",3.74793729407321,0.224174302497969,4.90608225442747,0.00182524695621181,0.00567752140320452,-0.909801516271173
"Gm14325",-1.21631605571412,-0.295982755294627,-4.90589846113419,0.00182562436730991,0.00567754791619858,-1.02880764585472
"Sh3tc1",-1.24360648587611,3.87549271949862,-4.9041154141566,0.00182929027635511,0.00568435425870817,-1.62337085818974
"Gm12216",-1.72981683004268,6.47581861704828,-4.90354365893635,0.00183046752477534,0.00568571658401964,-1.70782305359347
"Msantd1",1.49816099035379,-0.537899317716662,4.90090966792824,0.0018359018139521,0.00569684774567273,-0.929970531403897
"Mpp2",1.04153142152993,2.62260468528918,4.90034276415548,0.00183707375756282,0.00569903198320829,-1.34401626483862
"Bcl10",1.15834490186474,6.81279760204144,4.89967376595456,0.00183845782719438,0.00569918209645287,-1.72527499027906
"Egr2",-1.01003882470047,5.06176396747122,-4.89807941576867,0.00184176100125684,0.00570535072829142,-1.71941396838494
"Gimap5",1.95628208945451,6.27844282927692,4.89738158135167,0.00184320884823642,0.00570801355798928,-1.72557275512712
"Mgll",-1.09784614356575,9.63398470358456,-4.89551320408636,0.00184709153247795,0.00571773647955916,-1.67763458528583
"Etv1",-1.33577941555315,3.08461868139476,-4.89420906819559,0.00184980704783264,0.00572440043669362,-1.53486118973851
"Atp8a2",-1.37775204878449,-1.7410661525402,-4.89412216404638,0.00184998816010097,0.00572440043669362,-0.916518841399675
