"gene","log2FC","AveExpr","t","pvalue","padj","B","method","contrast"
"Ptgr2",-2.97732923183265,2.45626632035134,-8.63920108289057,2.07299109783839e-05,0.000739498443378096,3.34713470477642,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Epb41l1",-2.98684030303714,1.97933727832265,-8.62969694787074,2.09018449101841e-05,0.0007432722508093,3.256938588026,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Glrx",2.04553809862129,6.57319096508245,8.61716072984615,2.11310550782436e-05,0.000749052573861904,3.20475257107282,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Trpv4",-1.94442854902415,3.50588427135948,-8.60672912947509,2.13239113732515e-05,0.000749314588893697,3.34397025824088,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Trim30b",-2.50346750612211,2.8536646898293,-8.60606617147517,2.13362337729347e-05,0.000749314588893697,3.35724350053537,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Selenos",1.26117815742389,6.67332591667363,8.60423471183084,2.13703161870934e-05,0.000749314588893697,3.16682884729934,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Pkm",1.87142506012994,9.04118324115003,8.60236472990356,2.14051778085678e-05,0.000749314588893697,3.15484899832645,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Lsm5",1.18658609764455,5.85684403638592,8.59196512138867,2.16002099796071e-05,0.000753793663170324,3.19430957749271,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Pck2",-2.26537289896931,3.01762333741365,-8.5870758574922,2.16925828766949e-05,0.000754075147799561,3.3437624666934,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Chd7",1.49399992262898,6.42416946889939,8.5844439497454,2.17424889104795e-05,0.000754075147799561,3.16307094119896,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Sgk3",-1.09530593518736,5.39809343136705,-8.58060939266516,2.1815427610396e-05,0.000754276800178523,3.1779523173897,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Nfxl1",-1.72115837840452,5.28833746415757,-8.57172819685808,2.19854051374886e-05,0.000755694788971313,3.18183615050559,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Il1r1",2.85656372985345,3.57458478609153,8.57144027141605,2.19909402859855e-05,0.000755694788971313,3.25137275453393,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Fblim1",-1.72182415586623,3.5051489920756,-8.5675560050641,2.20657636591082e-05,0.000755954226333535,3.3091959669581,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Klhl9",-1.62071551060645,5.16533016857011,-8.55556917668413,2.22984545449523e-05,0.000761604053865134,3.17268502532775,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Smim3",3.81437686239193,5.76563850303383,8.54849205903641,2.24371142371643e-05,0.000764017735403076,3.28549387680341,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Fth1",2.72414189925299,14.0888112480773,8.51633401898521,2.30793398343354e-05,0.000775410478415705,3.13544615081445,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Tmem248",1.21581337943219,5.73539607319944,8.51444651567608,2.3117663626948e-05,0.000775410478415705,3.13339612761823,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Oas3",-1.81549979233796,4.91254217781598,-8.5110775718576,2.31862420760035e-05,0.000775410478415705,3.14969463812817,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Fosl2",1.36317890845219,7.78619984057135,8.50896166633112,2.32294289401347e-05,0.000775410478415705,3.06730137434054,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Cd300lb",-5.37269884848878,0.689033139031199,-8.50646256278659,2.3280552057145e-05,0.000775410478415705,2.48065582797292,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Ppp2ca",1.16864645724002,7.74352646450593,8.50464690464047,2.33177724824837e-05,0.000775410478415705,3.06333040174247,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Pgm2l1",-1.52572049591032,3.69722513025044,-8.49950770049156,2.34234828469689e-05,0.000775410478415705,3.23588262927427,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Angptl4",-2.59770185557704,3.71458372136176,-8.49759929041135,2.34628729515006e-05,0.000775410478415705,3.24007656951132,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
