"gene","sample","expr","group"
"Ccr1","GSM6280844_n-2",3.609893020603,"Control"
"Ccr1","GSM6280845_clp-12h-1",4.33134944964192,"CLP"
"Ccr1","GSM6280846_clp-12h-2",3.77045673845924,"CLP"
"Ccr1","GSM6280847_clp-24h-1",3.56842333647156,"CLP"
"Ccr1","GSM6280848_clp-24h-2",4.53971963089985,"CLP"
"Ccr5","GSM6280843_n-1",4.38357960865444,"Control"
"Ccr5","GSM6280844_n-2",4.7188933538907,"Control"
"Ccr5","GSM6280845_clp-12h-1",2.12581147024205,"CLP"
"Ccr5","GSM6280846_clp-12h-2",2.5881339319511,"CLP"
"Ccr5","GSM6280847_clp-24h-1",1.94577563167379,"CLP"
"Ccr5","GSM6280848_clp-24h-2",4.05532050680662,"CLP"
"Cxcr2","GSM6280843_n-1",1.90223539145538,"Control"
"Cxcr2","GSM6280844_n-2",2.61318340015045,"Control"
"Cxcr2","GSM6280845_clp-12h-1",2.6911634450158,"CLP"
"Cxcr2","GSM6280846_clp-12h-2",2.35785991339412,"CLP"
"Cxcr2","GSM6280847_clp-24h-1",2.39315581075326,"CLP"
"Cxcr2","GSM6280848_clp-24h-2",0.717822522486623,"CLP"
"Cxcr3","GSM6280843_n-1",0.291018357929513,"Control"
"Cxcr3","GSM6280844_n-2",0.502456842901409,"Control"
"Cxcr3","GSM6280845_clp-12h-1",0.237517187571421,"CLP"
"Cxcr3","GSM6280846_clp-12h-2",0.168363247295004,"CLP"
"Cxcr3","GSM6280847_clp-24h-1",0.184780766626241,"CLP"
"Cxcr3","GSM6280848_clp-24h-2",0.804460188431638,"CLP"
"Csf1r","GSM6280843_n-1",6.37159930610639,"Control"
"Csf1r","GSM6280844_n-2",6.72452975595217,"Control"
"Csf1r","GSM6280845_clp-12h-1",4.70940388765658,"CLP"
"Csf1r","GSM6280846_clp-12h-2",5.35909034788756,"CLP"
"Csf1r","GSM6280847_clp-24h-1",4.14884616812373,"CLP"
"Csf1r","GSM6280848_clp-24h-2",4.62551371565779,"CLP"
"Csf2ra","GSM6280843_n-1",3.97739334209968,"Control"
"Csf2ra","GSM6280844_n-2",4.534825202041,"Control"
"Csf2ra","GSM6280845_clp-12h-1",4.06288685087712,"CLP"
"Csf2ra","GSM6280846_clp-12h-2",4.27047112574676,"CLP"
"Csf2ra","GSM6280847_clp-24h-1",3.14125005974691,"CLP"
"Csf2ra","GSM6280848_clp-24h-2",3.5364983500511,"CLP"
"Csf3r","GSM6280843_n-1",2.731936146581,"Control"
"Csf3r","GSM6280844_n-2",3.52790035676833,"Control"
"Csf3r","GSM6280845_clp-12h-1",3.45760455983499,"CLP"
"Csf3r","GSM6280846_clp-12h-2",3.10299614643487,"CLP"
"Csf3r","GSM6280847_clp-24h-1",2.24508059861394,"CLP"
"Csf3r","GSM6280848_clp-24h-2",2.37588343805369,"CLP"
"Tgfbr1","GSM6280843_n-1",5.12738249433224,"Control"
"Tgfbr1","GSM6280844_n-2",5.21671739502766,"Control"
"Tgfbr1","GSM6280845_clp-12h-1",5.5772737579349,"CLP"
"Tgfbr1","GSM6280846_clp-12h-2",5.50123588887448,"CLP"
"Tgfbr1","GSM6280847_clp-24h-1",5.25232445076742,"CLP"
"Tgfbr1","GSM6280848_clp-24h-2",4.96812746340627,"CLP"
"Tgfbr2","GSM6280843_n-1",6.65340380134747,"Control"
"Tgfbr2","GSM6280844_n-2",6.77087122628005,"Control"
"Tgfbr2","GSM6280845_clp-12h-1",8.05880976842869,"CLP"
"Tgfbr2","GSM6280846_clp-12h-2",7.97355817749541,"CLP"
"Tgfbr2","GSM6280847_clp-24h-1",8.21525855269837,"CLP"
"Tgfbr2","GSM6280848_clp-24h-2",7.84306197370407,"CLP"
"Cd44","GSM6280843_n-1",4.43665882014651,"Control"
"Cd44","GSM6280844_n-2",5.13924523153072,"Control"
"Cd44","GSM6280845_clp-12h-1",6.50239344995984,"CLP"
"Cd44","GSM6280846_clp-12h-2",6.31061558279833,"CLP"
"Cd44","GSM6280847_clp-24h-1",5.71793519728731,"CLP"
"Cd44","GSM6280848_clp-24h-2",5.88071019152185,"CLP"
"Itgav","GSM6280843_n-1",4.88248215545892,"Control"
"Itgav","GSM6280844_n-2",5.0128580351288,"Control"
"Itgav","GSM6280845_clp-12h-1",4.81773683505557,"CLP"
"Itgav","GSM6280846_clp-12h-2",4.73795357509097,"CLP"
"Itgav","GSM6280847_clp-24h-1",4.51063002368307,"CLP"
"Itgav","GSM6280848_clp-24h-2",4.95319294332525,"CLP"
"Itgal","GSM6280843_n-1",2.47107646340973,"Control"
"Itgal","GSM6280844_n-2",4.42718845125692,"Control"
"Itgal","GSM6280845_clp-12h-1",2.52167702476068,"CLP"
"Itgal","GSM6280846_clp-12h-2",3.15069604342884,"CLP"
"Itgal","GSM6280847_clp-24h-1",1.8870275064934,"CLP"
"Itgal","GSM6280848_clp-24h-2",2.69975083552666,"CLP"
"Itgb2","GSM6280843_n-1",3.70191706103826,"Control"
"Itgb2","GSM6280844_n-2",4.93640139947412,"Control"
"Itgb2","GSM6280845_clp-12h-1",4.70644021163493,"CLP"
"Itgb2","GSM6280846_clp-12h-2",5.12156831646223,"CLP"
"Itgb2","GSM6280847_clp-24h-1",3.66483346500252,"CLP"
"Itgb2","GSM6280848_clp-24h-2",4.39366078334198,"CLP"
"Trem2","GSM6280843_n-1",3.98759282852911,"Control"
"Trem2","GSM6280844_n-2",4.46914526544654,"Control"
"Trem2","GSM6280845_clp-12h-1",3.29350720660698,"CLP"
"Trem2","GSM6280846_clp-12h-2",3.5365579277903,"CLP"
"Trem2","GSM6280847_clp-24h-1",1.89367446749147,"CLP"
"Trem2","GSM6280848_clp-24h-2",1.85984569547298,"CLP"
"Ldlr","GSM6280843_n-1",3.44493665044989,"Control"
"Ldlr","GSM6280844_n-2",3.57429285651347,"Control"
"Ldlr","GSM6280845_clp-12h-1",3.93537127687436,"CLP"
"Ldlr","GSM6280846_clp-12h-2",3.53399072615574,"CLP"
"Ldlr","GSM6280847_clp-24h-1",3.51337993456731,"CLP"
"Ldlr","GSM6280848_clp-24h-2",3.24273968497295,"CLP"
"Flt1","GSM6280843_n-1",10.0321441011846,"Control"
"Flt1","GSM6280844_n-2",10.0236615920478,"Control"
"Flt1","GSM6280845_clp-12h-1",10.7544549315711,"CLP"
"Flt1","GSM6280846_clp-12h-2",10.7337170620023,"CLP"
"Flt1","GSM6280847_clp-24h-1",10.864562054191,"CLP"
"Flt1","GSM6280848_clp-24h-2",10.3140808671134,"CLP"
"Kdr","GSM6280843_n-1",9.60737069381475,"Control"
"Kdr","GSM6280844_n-2",9.60131358992685,"Control"
"Kdr","GSM6280845_clp-12h-1",8.21798069601353,"CLP"
"Kdr","GSM6280846_clp-12h-2",8.31347977689632,"CLP"
"Kdr","GSM6280847_clp-24h-1",8.64552276261843,"CLP"
"Kdr","GSM6280848_clp-24h-2",7.64109669789963,"CLP"
"Pdgfrb","GSM6280843_n-1",6.26522545227364,"Control"
"Pdgfrb","GSM6280844_n-2",5.46305543072733,"Control"
"Pdgfrb","GSM6280845_clp-12h-1",4.76648540769775,"CLP"
"Pdgfrb","GSM6280846_clp-12h-2",4.94053683481505,"CLP"
"Pdgfrb","GSM6280847_clp-24h-1",4.90620073822397,"CLP"
"Pdgfrb","GSM6280848_clp-24h-2",4.66077620049928,"CLP"
"Tek","GSM6280843_n-1",7.37667060497504,"Control"
"Tek","GSM6280844_n-2",7.27290856786165,"Control"
"Tek","GSM6280845_clp-12h-1",5.77080556722999,"CLP"
"Tek","GSM6280846_clp-12h-2",5.9581314147037,"CLP"
"Tek","GSM6280847_clp-24h-1",5.71652999580954,"CLP"
"Tek","GSM6280848_clp-24h-2",5.37965308456733,"CLP"
"Il10ra","GSM6280843_n-1",3.34004910249781,"Control"
"Il10ra","GSM6280844_n-2",3.64005150697634,"Control"
"Il10ra","GSM6280845_clp-12h-1",3.55087878850581,"CLP"
"Il10ra","GSM6280846_clp-12h-2",3.7261629429158,"CLP"
