"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"mmu04060","Cytokine-cytokine receptor interaction",183,0.331907172821542,1.63506464125528,0.000277890328139951,0.00497280903466513,0.00377803655306824,4390,"tags=43%, list=30%, signal=31%","12778/16324/100532/24047/21813/16190/16164/16178/14102/18414/21933/320100/12984/57914/16177/17000/16168/11479/21937/12159/232983/12983/16172/18049/12804/27279/16193/20310/20292/16174/56708/20302/16181/20303/12985/14825/21812/55985/16169/16182/213208/77125/21943/57266/18413/23886/16197/12168/15945/16323/21949/20311/20295/21938/20296/20304/21942/21950/16175/12768/15979/20306/14103/16878/16195/16185/50498/12775/257630/16176/56744/246779/14562/12156/15976/21926/12977/22163/12145",0.49849310876659
"mmu00790","Folate biosynthesis",17,-0.573487181026454,-1.62832707694156,0.0300720654271993,0.150407324216798,0.114270297688702,1885,"tags=41%, list=13%, signal=36%","20751/13361/67861/19286/72562/110391/12408",0.352487857583619
"mmu00920","Sulfur metabolism",9,-0.688481731941002,-1.62750761840762,0.0162222434739025,0.0946297535977648,0.0718939065642747,1684,"tags=56%, list=12%, signal=49%","246221/23972/211389/20341/66071",0.352487857583619
"mmu03018","RNA degradation",69,0.385190765024061,1.62585207563664,0.00495254950258534,0.0484716797981456,0.0368258215405904,2599,"tags=42%, list=18%, signal=35%","15526/18983/227715/72662/50783/50911/72587/71701/66583/18458/72162/66373/57316/225929/15510/75901/381404/67678/234699/53621/104625/12226/234594/230721/22057/56421/67207/12228/72068",0.407017918923954
"mmu00071","Fatty acid degradation",37,-0.467610918666257,-1.62523800745251,0.00836713679898889,0.0619546051092432,0.0470693246215499,3047,"tags=41%, list=21%, signal=32%","11671/78070/110446/12896/14081/110695/11364/270076/113868/52538/13177/56752/12894/15107/11409",0.380730400722792
"mmu05202","Transcriptional misregulation in cancer",166,0.326848652386643,1.61311928387218,0.000322331439019548,0.00537219065032581,0.00408146230943073,2870,"tags=30%, list=20%, signal=24%","12608/17355/22431/21813/16009/17125/67603/12575/17869/11908/17392/16178/17246/14254/15081/18791/18124/11796/14030/19126/15902/108829/15242/18627/13197/17349/12475/12053/12455/16193/56458/19697/11797/20466/13207/260298/233908/16599/12028/20182/19696/20375/17295/107951/80859/12394/72949/13714/22289",0.49849310876659
"mmu04064","NF-kappa B signaling pathway",97,0.354088319678688,1.61122510922147,0.00454456189392466,0.047765900613643,0.0362896136269428,4183,"tags=46%, list=29%, signal=33%","24047/11796/22034/12675/16177/17000/21937/18035/13197/16803/68652/22196/17874/12475/66724/13000/26409/21929/19697/11797/20310/240354/12042/19698/20303/20963/14825/19225/16150/21943/117149/18034/22329/17873/22031/15894/12633/22030/23882/22637/22029/333654/18033/16176/12044",0.407017918923954
"mmu01212","Fatty acid metabolism",53,-0.430453236765651,-1.59808877417642,0.00849663155783907,0.0619546051092432,0.0470693246215499,4093,"tags=51%, list=28%, signal=37%","74147/329065/54325/19063/11370/56473/71147/223722/234309/78070/110446/20280/54397/12896/14081/106529/257633/11364/15488/20250/76267/113868/52538/12894/66775/15107/11409",0.380730400722792
"mmu00240","Pyrimidine metabolism",46,-0.444121354464202,-1.58645767490616,0.00989070725084663,0.0678774027018886,0.0515691044533217,2896,"tags=50%, list=20%, signal=40%","66422/103850/55936/21915/12499/69719/68556/13178/110074/76025/56520/12497/382985/56749/171567/72269/54369/68106/79059/66401/50773/76654/22169",0.380730400722792
"mmu03320","PPAR signaling pathway",57,-0.422655597208369,-1.57899937106627,0.010281882404841,0.0692049777248915,0.0525777148642347,4093,"tags=49%, list=28%, signal=36%","74147/329065/11770/104086/56473/26569/109264/18830/78070/20280/57875/19016/12896/20181/14081/12140/16592/16202/11364/26457/20250/113868/22259/15360/12894/74551/20411/11832",0.380730400722792
