"gene","log2FC","pvalue","padj"
"1700072G22Rik",0.0977469874521303,0.05,0.05
"Nabp1",-0.361551093367448,0.05,0.05
"Gm28055",0.0878011548604289,0.05,0.05
"Myo1b",-0.203696879160941,0.05,0.05
"Gm29453",-0.0193257001396105,0.05,0.05
"Gm28323",0.0136216950057055,0.05,0.05
"Stat4",-0.753328798207414,0.05,0.05
"Gm31812",-0.327919603394396,0.05,0.05
"Stat1",0.589093031566986,0.05,0.05
"Gls",-0.264030489626154,0.05,0.05
"Nab1",0.241923511644109,0.05,0.05
"Nemp2",-0.289813821082008,0.05,0.05
"Mfsd6",-0.372456518353871,0.05,0.05
"Inpp1",0.344264347276487,0.05,0.05
"Hibch",-0.0218743337773031,0.05,0.05
"1700019D03Rik",0.0669388103338271,0.05,0.05
"Pms1",-0.310581692648663,0.05,0.05
"Ormdl1",-0.591138756145536,0.05,0.05
"Osgepl1",0.0985948555640461,0.05,0.05
"Asnsd1",0.0945848362190613,0.05,0.05
"Dnah7a",0.126006206901918,0.05,0.05
"Stk17b",-0.229402791159576,0.05,0.05
"Hecw2",0.900436251180769,0.05,0.05
"Gtf3c3",-0.0601836277417331,0.05,0.05
"Pgap1",-1.00441683888443,0.05,0.05
"Ankrd44",-0.580137162012299,0.05,0.05
"Sf3b1",-0.0671967839401653,0.05,0.05
"Coq10b",-0.154583468550015,0.05,0.05
"Hspd1",0.507525119116372,0.05,0.05
"Hspe1",0.290369071777203,0.05,0.05
"Mob4",-0.0434445799954508,0.05,0.05
"Rftn2",-0.109336679275887,0.05,0.05
"Gm10561",-0.130029624674909,0.05,0.05
"Mars2",-0.0712225502755719,0.05,0.05
"Plcl1",0.262390031018858,0.05,0.05
"Satb2",-0.167858649442828,0.05,0.05
"9130024F11Rik",-0.0164198612670421,0.05,0.05
"4930558J18Rik",0.0685735925556546,0.05,0.05
"1700066M21Rik",-0.256300823789343,0.05,0.05
"Tyw5",-0.0526953237075021,0.05,0.05
"Maip1",0.0920328228326133,0.05,0.05
"Spats2l",-0.520078047223681,0.05,0.05
"Kctd18",-0.128154638083896,0.05,0.05
"Sgo2a",-0.446985088653025,0.05,0.05
"Aox1",0.16087378840787,0.05,0.05
"Aox3",-0.337540198866556,0.05,0.05
"Aox2",0.0822228074217136,0.05,0.05
"Bzw1",-0.152331357491516,0.05,0.05
"Clk1",-0.173796912276988,0.05,0.05
"Ppil3",-0.482661625469296,0.05,0.05
