"gene","log2FC","pvalue","padj","pct.1","pct.2"
"Serpinb8",-1.46394020039221,1.32867699720176e-63,2.70691364639914e-59,0.058,0.129
"Osm",1.38080077459701,2.01249546885341e-63,4.10005701869504e-59,0.128,0.057
"Fbxo31",1.05720522622207,3.26512577169971e-63,6.65204073468383e-59,0.145,0.068
"Kcna5",1.31216373981596,7.10380687515018e-63,1.44725857467435e-58,0.154,0.077
"Gfpt2",1.02089608106075,1.61081570745811e-62,3.28171484080441e-58,0.246,0.151
"Ptprs",-1.2022473677228,3.24530923201656e-62,6.61166849838733e-58,0.095,0.176
"Pdcd2l",-1.42232926204047,4.15428412169187e-62,8.46352304112284e-58,0.072,0.147
"Spsb1",1.40938385187304,9.34481935343279e-62,1.90382004687486e-57,0.109,0.044
"Ercc1",1.33227351538613,1.48325370757027e-61,3.02183277843291e-57,0.231,0.143
"Il10ra",-1.06753414629734,8.3500528414622e-61,1.70115626539109e-56,0.08,0.158
"Sgpp1",-1.35158400134865,1.94197420709716e-60,3.95638405211903e-56,0.106,0.187
"Cxcl14",1.46837277770206,2.10507560373504e-60,4.2886705274894e-56,0.127,0.057
"Tep1",-1.40199624725354,2.98769523977489e-60,6.08683151199339e-56,0.086,0.163
"Cyp4f18",-1.84838987788048,3.17096417167981e-60,6.46020530696328e-56,0.047,0.112
"Myo1f",-1.44759170266647,7.66036142368705e-60,1.56064543284776e-55,0.057,0.126
"Jade2",1.11653449702734,1.1971504988224e-59,2.43895471125088e-55,0.12,0.052
"Fndc1",-1.91049037035679,5.27071158681218e-59,1.07380207158125e-54,0.051,0.115
"Pik3ip1",1.16444373008722,1.28020565011064e-58,2.6081629709704e-54,0.168,0.09
"Itih5",-1.87016432118511,2.05126805463236e-58,4.1790484077025e-54,0.06,0.128
"Glrx",1.21839248023992,3.41720267940457e-58,6.96186701875093e-54,0.194,0.112
"Zeb2os",-1.34692836600079,3.95567831978928e-58,8.05890344090671e-54,0.065,0.135
"Efnb1",1.12330453442867,5.32253086259622e-58,1.08435921263673e-53,0.204,0.12
"Fmnl2",1.09473178628461,6.93323179697475e-58,1.41250731399766e-53,0.182,0.1
"AW112010",1.31286496758352,2.18036780328929e-57,4.44206332564127e-53,0.392,0.305
"Camk1d",-1.23907440226474,3.54801154993621e-57,7.22836393068505e-53,0.081,0.156
"Mthfs",-1.19831748447553,2.58177030918201e-56,5.2598406508965e-52,0.065,0.134
"Naaa",-1.13447344324408,3.27735033689382e-56,6.67694584135379e-52,0.101,0.179
"Plbd1",-1.40303827371513,8.17731397644861e-56,1.66596417642187e-51,0.097,0.172
"Galnt18",1.10071385730407,3.20084818123975e-55,6.52108799963973e-51,0.139,0.069
"Sema7a",1.08650411725259,3.40806183817959e-55,6.94324438292329e-51,0.16,0.085
"Gsta3",1.62670711380244,6.50355663527819e-55,1.32496959330523e-50,0.151,0.08
"Pth1r",1.54196132604235,1.09118349922618e-54,2.22306814297349e-50,0.125,0.06
"Dtx2",1.17162179155607,1.38226884584124e-54,2.81609631963237e-50,0.115,0.051
"Cacna1d",1.445180688383,4.15011499166705e-54,8.45502927252327e-50,0.11,0.048
"Serf1",-1.43544047350128,9.72441625136053e-54,1.98115532288968e-49,0.048,0.109
"Slc8a1",-1.13044802924351,1.03709007202706e-53,2.11286360374072e-49,0.061,0.127
"Tlr7",-1.55904812448187,1.35341282437236e-53,2.75730794709381e-49,0.051,0.113
"Pik3r5",1.28297638170141,1.91636757066078e-53,3.90421565170721e-49,0.108,0.048
"Gm21860",-1.02353704602841,1.07151600073728e-52,2.18299954830206e-48,0.096,0.171
"P2rx7",-1.44933396030501,1.13060866857083e-52,2.30338904047935e-48,0.053,0.115
"Hspb8",1.06398767376489,1.14119731174659e-52,2.32496128322133e-48,0.142,0.073
"Fam234a",-1.2988452493162,1.18153453054229e-52,2.40714029907381e-48,0.078,0.147
"Col6a3",-1.64261239308657,2.09109599140177e-51,4.26018986328283e-47,0.105,0.176
"Stard9",-1.05073445215095,7.90858120397097e-51,1.61121524868501e-46,0.09,0.162
"Agfg2",1.10756614514256,1.03226441955451e-50,2.1030323019584e-46,0.135,0.068
"Pkp4",1.10720296428915,1.23230847660358e-50,2.51058205938448e-46,0.29,0.209
"Arl11",-1.63690662161538,1.75991950412811e-50,3.58548400576021e-46,0.043,0.1
"Lpcat2",-1.33729088331731,4.83038244806047e-50,9.8409381614336e-46,0.071,0.136
"Scara5",1.21227386303819,7.89286866229908e-50,1.60801413257019e-45,0.167,0.096
"Adgrd1",1.28984832660489,1.22942233326632e-49,2.50470211956348e-45,0.103,0.046
"Pafah1b3",-1.48985532393447,1.62124836490848e-49,3.30296929382805e-45,0.044,0.1
"Tmem86a",-1.15372878588018,9.80080935665094e-49,1.9967188902305e-44,0.074,0.141
"Slc26a10",1.02094697951348,1.57226498195085e-48,3.20317544772847e-44,0.171,0.098
"Rhou",1.07489895125854,8.86088825022979e-48,1.80522876321932e-43,0.131,0.068
"Gm13889",1.04251577518368,1.14745155995906e-47,2.33770306310459e-43,0.155,0.086
"Angptl2",-1.54536567263677,3.07845506870803e-47,6.27173651147886e-43,0.075,0.138
"Islr",-1.93472460146989,3.32262418022277e-47,6.76918224236785e-43,0.14,0.205
"Irf5",-1.09480872756317,1.08722503735162e-46,2.21500356859646e-42,0.098,0.167
"Gask1b",-1.14357584966518,1.27898598905993e-46,2.6056781555118e-42,0.164,0.238
"Ifi47",1.3763086539197,3.20673695570743e-46,6.53308519986275e-42,0.137,0.074
"Ecm2",-1.13930257208026,4.20528718717674e-46,8.56743158643517e-42,0.134,0.205
"Mbd1",1.08625146868649,1.58882066153028e-45,3.23690433373564e-41,0.181,0.109
"Tmem100",1.14576089250696,1.20669401766513e-44,2.45839772218918e-40,0.124,0.064
"Dclre1c",-1.28719653275009,1.42180233285889e-44,2.89663789273342e-40,0.072,0.134
"Retreg1",-1.0829926854097,1.73059980504871e-44,3.52575098282574e-40,0.077,0.14
"Man1c1",-1.20403164790136,2.31933285834942e-44,4.72517683231528e-40,0.086,0.15
"Nfxl1",-1.24077442521967,4.01225291178608e-44,8.17416285718179e-40,0.087,0.152
"Tbx3",1.02122231897877,2.18132856991014e-43,4.44402069547794e-39,0.114,0.057
"Colec12",-1.21916991383029,6.47750363061742e-43,1.31966181466569e-38,0.144,0.214
"Lat2",-1.10043298070149,8.89847773834509e-43,1.81288686963305e-38,0.075,0.136
"Cd274",1.00527444908323,1.29876961018602e-42,2.64598332683199e-38,0.131,0.07
"Rp2",-1.18782716709974,6.57906222954803e-42,1.34035234802582e-37,0.076,0.136
"Spaar",1.04404859942926,3.3627044752545e-41,6.850837827436e-37,0.111,0.056
"Dok2",-1.03640019929137,2.36668323273676e-40,4.8216437500546e-36,0.113,0.179
"Scd1",1.5607017251506,5.27498508998634e-40,1.07467271238292e-35,0.187,0.12
"Uap1",1.11453665267356,5.90615357905217e-40,1.2032606686603e-35,0.331,0.257
"Slit3",1.21286016145649,2.84708846930138e-39,5.8003733385077e-35,0.108,0.055
"Osgin2",1.1656891298465,4.18998160204419e-39,8.53624951784463e-35,0.115,0.061
"Daglb",-1.09182114136698,5.17084753165288e-39,1.05345676762364e-34,0.098,0.16
"Cd36",1.27466933844276,1.32011622199269e-38,2.68947277906571e-34,0.503,0.467
"Ptafr",-1.01283114681491,1.60364131972598e-38,3.26709846067774e-34,0.091,0.152
