"group","celltype","gene","expr"
"Control","Macrophages","Flt1",0.0407661245353901
"Control","Macrophages","Tnfrsf1a",0.297057105103802
"Control","Macrophages","Ccr2",0.0747162339399468
"Control","Macrophages","Ccl2",1.72445878356932
"Control","Macrophages","Tnf",1.04068055130177
"Control","Macrophages","Vegfa",0.0182926636562077
"Control","Macrophages","Csf1r",1.78893314977371
"Control","Macrophages","Cxcr3",0.0120735009116751
"Control","Monocytes","Il1r1",0.00368063220268704
"Control","Monocytes","Cd44",1.61554245167381
"Control","Monocytes","Il1b",0.840192830163297
"Control","Monocytes","Il6ra",0.387757168846488
"Control","Monocytes","Csf1",0.0436394936125899
"Control","Monocytes","Il6",0.0368638686261872
"Control","Monocytes","Cxcl10",0.297606510954573
"Control","Monocytes","Spp1",0.229183027594792
"Control","Monocytes","Flt1",0.0794464124688248
"Control","Monocytes","Tnfrsf1a",0.476737972686239
"Control","Monocytes","Ccr2",0.730234641436675
"Control","Monocytes","Ccl2",0.743749679553609
"Control","Monocytes","Tnf",0.481520264867645
"Control","Monocytes","Vegfa",0.081918991409789
"Control","Monocytes","Csf1r",1.0259321664658
"Control","Monocytes","Cxcr3",0.0199213194194514
"Control","Pericytes","Il1r1",0.257827221081504
"Control","Pericytes","Cd44",0.127197321967517
"Control","Pericytes","Il1b",0.0367679731337261
"Control","Pericytes","Il6ra",0.0626960725457899
"Control","Pericytes","Csf1",0.165063103508172
"Control","Pericytes","Il6",0.153052094210588
"Control","Pericytes","Cxcl10",0.140526338601301
"Control","Pericytes","Spp1",0.0154187129323734
"Control","Pericytes","Flt1",1.23645140519566
"Control","Pericytes","Tnfrsf1a",0.504906481659789
"Control","Pericytes","Ccr2",0.00654775216303941
"Control","Pericytes","Ccl2",0.346202300012902
"Control","Pericytes","Tnf",0.156776443369094
"Control","Pericytes","Vegfa",0.207788068507423
"Control","Pericytes","Csf1r",0.177287899432532
"Control","Pericytes","Cxcr3",0
"Control","Smooth-muscle","Il1r1",0.165553450578158
"Control","Smooth-muscle","Cd44",0.202135267113784
"Control","Smooth-muscle","Il1b",0.0262140573486437
"Control","Smooth-muscle","Il6ra",0.0507371918701299
"Control","Smooth-muscle","Csf1",0.131233438606439
"Control","Smooth-muscle","Il6",0.0911112992088572
"Control","Smooth-muscle","Cxcl10",0.0875321447226355
"Control","Smooth-muscle","Spp1",0.00820466192707139
"Control","Smooth-muscle","Flt1",0.158527486813262
"Control","Smooth-muscle","Tnfrsf1a",0.246651042350002
"Control","Smooth-muscle","Ccr2",0.0143618292847546
"Control","Smooth-muscle","Ccl2",0.201280674362748
"Control","Smooth-muscle","Tnf",0.0557771886409432
"Control","Smooth-muscle","Vegfa",0.197945821412633
"Control","Smooth-muscle","Csf1r",0.108970092853646
"Control","Smooth-muscle","Cxcr3",0
"Control","T-cells","Il1r1",0.0328049235447553
"Control","T-cells","Cd44",0.400371531264047
"Control","T-cells","Il1b",0.0238522949621521
"Control","T-cells","Il6ra",0.11673509597395
"Control","T-cells","Csf1",0.0178624880540386
"Control","T-cells","Il6",0.0218857398734894
"Control","T-cells","Cxcl10",0.109355582011065
"Control","T-cells","Spp1",0.00964793963004165
"Control","T-cells","Flt1",0.0415952160011701
"Control","T-cells","Tnfrsf1a",0.0614359901182653
"Control","T-cells","Ccr2",0.235036296274128
"Control","T-cells","Ccl2",0.148805848599619
"Control","T-cells","Tnf",0.217717232206553
"Control","T-cells","Vegfa",0.126068203676196
"Control","T-cells","Csf1r",0.104966186447324
"Control","T-cells","Cxcr3",0.0302958589737521
"LLTS","B-cells","Il1r1",0.0769973143731997
"LLTS","B-cells","Cd44",0.879670199175985
"LLTS","B-cells","Il1b",0.954750272455403
"LLTS","B-cells","Il6ra",0.577571476094302
"LLTS","B-cells","Csf1",0.05894499426485
"LLTS","B-cells","Il6",0.0681310713588798
"LLTS","B-cells","Cxcl10",0.275237666941249
"LLTS","B-cells","Spp1",0.0973193260884916
"LLTS","B-cells","Flt1",0.0532965033269326
"LLTS","B-cells","Tnfrsf1a",0.351041644711525
"LLTS","B-cells","Ccr2",0.0722062370800827
"LLTS","B-cells","Ccl2",1.32150582465335
"LLTS","B-cells","Tnf",0.545480090642333
"LLTS","B-cells","Vegfa",0.0863728647125728
"LLTS","B-cells","Csf1r",0.496779567851216
"LLTS","B-cells","Cxcr3",0.00848532309273525
"LLTS","Cardiomyocytes","Il1r1",0.144060450753486
"LLTS","Cardiomyocytes","Cd44",0.211148229115075
"LLTS","Cardiomyocytes","Il1b",0.155829664531606
"LLTS","Cardiomyocytes","Il6ra",0.0744765982476379
"LLTS","Cardiomyocytes","Csf1",0.0842743338470379
"LLTS","Cardiomyocytes","Il6",0.0885909767868522
"LLTS","Cardiomyocytes","Cxcl10",0.0456776153755451
"LLTS","Cardiomyocytes","Spp1",0
"LLTS","Cardiomyocytes","Flt1",0.145709257766965
"LLTS","Cardiomyocytes","Tnfrsf1a",0.117919645136525
"LLTS","Cardiomyocytes","Ccr2",0.0166718837974886
"LLTS","Cardiomyocytes","Ccl2",0.668938929064991
"LLTS","Cardiomyocytes","Tnf",0
"LLTS","Cardiomyocytes","Vegfa",0
"LLTS","Cardiomyocytes","Csf1r",0.0184532270669734
"LLTS","Cardiomyocytes","Cxcr3",0
"LLTS","Endothelial","Il1r1",0.26498059938461
"LLTS","Endothelial","Cd44",0.196446468832156
"LLTS","Endothelial","Il1b",0.186507062181712
"LLTS","Endothelial","Il6ra",0.0867813347384297
"LLTS","Endothelial","Csf1",0.560802409971469
"LLTS","Endothelial","Il6",0.261134631540164
"LLTS","Endothelial","Cxcl10",0.387358212363035
"LLTS","Endothelial","Spp1",0.0477688419222157
"LLTS","Endothelial","Flt1",1.99517297817247
"LLTS","Endothelial","Tnfrsf1a",0.643777416311719
"LLTS","Endothelial","Ccr2",0.0070032572900514
"LLTS","Endothelial","Ccl2",0.751114902248276
"LLTS","Endothelial","Tnf",0.307348907079124
"LLTS","Endothelial","Vegfa",0.101867176804142
"LLTS","Endothelial","Csf1r",0.0523884020518581
"LLTS","Endothelial","Cxcr3",0
"LLTS","Fibroblasts","Il1r1",1.45997470280641
"LLTS","Fibroblasts","Cd44",0.380981529267858
"LLTS","Fibroblasts","Il1b",0.101074540481254
"LLTS","Fibroblasts","Il6ra",0.453906962111274
"LLTS","Fibroblasts","Csf1",0.412309673362016
"LLTS","Fibroblasts","Il6",0.849414277344793
"LLTS","Fibroblasts","Cxcl10",0.177105049624242
"LLTS","Fibroblasts","Spp1",0.0279571679185781
"LLTS","Fibroblasts","Flt1",0.0946939393409516
"LLTS","Fibroblasts","Tnfrsf1a",1.00418736502697
"LLTS","Fibroblasts","Ccr2",0.0028836860607516
"LLTS","Fibroblasts","Ccl2",0.742348745893181
"LLTS","Fibroblasts","Tnf",0.0398629243434251
"LLTS","Fibroblasts","Vegfa",0.895903097394984
"LLTS","Fibroblasts","Csf1r",0.0327659943579556
"LLTS","Fibroblasts","Cxcr3",0
"LLTS","Fibroblasts-activated","Il1r1",0.073447071954842
"LLTS","Fibroblasts-activated","Cd44",0.981224681941983
"LLTS","Fibroblasts-activated","Il1b",0.184936898329644
"LLTS","Fibroblasts-activated","Il6ra",0
"LLTS","Fibroblasts-activated","Csf1",0.379493041534939
"LLTS","Fibroblasts-activated","Il6",0.165154442805268
"LLTS","Fibroblasts-activated","Cxcl10",1.49955902013106
"LLTS","Fibroblasts-activated","Spp1",0
"LLTS","Fibroblasts-activated","Flt1",0.0611848819808523
"LLTS","Fibroblasts-activated","Tnfrsf1a",0.689058774427492
"LLTS","Fibroblasts-activated","Ccr2",0
"LLTS","Fibroblasts-activated","Ccl2",1.00184346283126
"LLTS","Fibroblasts-activated","Tnf",0.0611848819808523
"LLTS","Fibroblasts-activated","Vegfa",0.114255030494881
"LLTS","Fibroblasts-activated","Csf1r",0
"LLTS","Fibroblasts-activated","Cxcr3",0
"LLTS","Granulocytes","Il1r1",0.250140168823151
"LLTS","Granulocytes","Cd44",0.817871220736069
"LLTS","Granulocytes","Il1b",1.07642127421051
"LLTS","Granulocytes","Il6ra",0.37395581976309
"LLTS","Granulocytes","Csf1",0.110009673830722
"LLTS","Granulocytes","Il6",0.225027433695441
"LLTS","Granulocytes","Cxcl10",0.21607560051841
"LLTS","Granulocytes","Spp1",0.0940388257269297
"LLTS","Granulocytes","Flt1",0.150541146651249
"LLTS","Granulocytes","Tnfrsf1a",0.425384578809686
"LLTS","Granulocytes","Ccr2",0.0378691334902302
"LLTS","Granulocytes","Ccl2",1.39986498004321
"LLTS","Granulocytes","Tnf",0.482218227945009
"LLTS","Granulocytes","Vegfa",0.140770000205364
"LLTS","Granulocytes","Csf1r",0.285743183803998
"LLTS","Granulocytes","Cxcr3",0
"LLTS","Macrophages","Il1r1",0.0958738617629847
"LLTS","Macrophages","Cd44",1.28378020905505
"LLTS","Macrophages","Il1b",1.10197995013766
"LLTS","Macrophages","Il6ra",1.05040810154558
"LLTS","Macrophages","Csf1",0.0213616592740367
"LLTS","Macrophages","Il6",0.130868347378624
"LLTS","Macrophages","Cxcl10",0.385252659802238
"LLTS","Macrophages","Spp1",0.176723838431999
"LLTS","Macrophages","Flt1",0.038000345867062
"LLTS","Macrophages","Tnfrsf1a",0.729388686443977
"LLTS","Macrophages","Ccr2",0.0433166754162523
"LLTS","Macrophages","Ccl2",2.57871611659289
"LLTS","Macrophages","Tnf",0.845401998375258
"LLTS","Macrophages","Vegfa",0.0322557735720224
"LLTS","Macrophages","Csf1r",0.970845703409646
"LLTS","Macrophages","Cxcr3",0.00236693849484093
"LLTS","Monocytes","Il1r1",0.0746170041174358
"LLTS","Monocytes","Cd44",1.54734428533463
"LLTS","Monocytes","Il1b",2.62401059143214
"LLTS","Monocytes","Il6ra",0.540972666943103
"LLTS","Monocytes","Csf1",0.0162246947534995
"LLTS","Monocytes","Il6",0.237502342859965
"LLTS","Monocytes","Cxcl10",0.485607610233608
"LLTS","Monocytes","Spp1",0.495087841067019
"LLTS","Monocytes","Flt1",0.0422783737213997
"LLTS","Monocytes","Tnfrsf1a",0.5789318516224
"LLTS","Monocytes","Ccr2",0.301485550320474
"LLTS","Monocytes","Ccl2",1.45141155850999
"LLTS","Monocytes","Tnf",0.600894362487432
"LLTS","Monocytes","Vegfa",0.122387570872275
"LLTS","Monocytes","Csf1r",0.671622433735243
"LLTS","Monocytes","Cxcr3",0.000713546732920486
"LLTS","Pericytes","Il1r1",0.475253804096847
"LLTS","Pericytes","Cd44",0.229092138084987
"LLTS","Pericytes","Il1b",0.191383845863748
"LLTS","Pericytes","Il6ra",0.0917499084130729
"LLTS","Pericytes","Csf1",0.311912268211899
"LLTS","Pericytes","Il6",0.179233447245774
"LLTS","Pericytes","Cxcl10",0.252313188393909
"LLTS","Pericytes","Spp1",0.0259831356877954
"LLTS","Pericytes","Flt1",0.522306201494017
"LLTS","Pericytes","Tnfrsf1a",0.743143259893833
"LLTS","Pericytes","Ccr2",0.00614793727225237
"LLTS","Pericytes","Ccl2",0.614825484099185
"LLTS","Pericytes","Tnf",0.211982609106679
"LLTS","Pericytes","Vegfa",0.180349694987761
"LLTS","Pericytes","Csf1r",0.10048275485863
"LLTS","Pericytes","Cxcr3",0
"LLTS","Smooth-muscle","Il1r1",0.52457616902271
"LLTS","Smooth-muscle","Cd44",0.128964095875014
"LLTS","Smooth-muscle","Il1b",0.0483369816397728
"LLTS","Smooth-muscle","Il6ra",0.00954839433944767
"LLTS","Smooth-muscle","Csf1",0.196072102873282
"LLTS","Smooth-muscle","Il6",0.0985829168842278
"LLTS","Smooth-muscle","Cxcl10",0
"LLTS","Smooth-muscle","Spp1",0
"LLTS","Smooth-muscle","Flt1",0.12247656942551
"LLTS","Smooth-muscle","Tnfrsf1a",0.604181540084631
"LLTS","Smooth-muscle","Ccr2",0
"LLTS","Smooth-muscle","Ccl2",0.393861863683377
"LLTS","Smooth-muscle","Tnf",0.113276389265677
"LLTS","Smooth-muscle","Vegfa",0.347202373404184
"LLTS","Smooth-muscle","Csf1r",0.00954839433944767
"LLTS","Smooth-muscle","Cxcr3",0
"LLTS","T-cells","Il1r1",0.0676903362835109
"LLTS","T-cells","Cd44",0.342063248528846
"LLTS","T-cells","Il1b",0.186442667903008
"LLTS","T-cells","Il6ra",0.276107030658748
"LLTS","T-cells","Csf1",0.0262607128204186
"LLTS","T-cells","Il6",0.0629825075851597
"LLTS","T-cells","Cxcl10",0.294953647908172
"LLTS","T-cells","Spp1",0.0211337795632028
"LLTS","T-cells","Flt1",0.0520559336185013
"LLTS","T-cells","Tnfrsf1a",0.145795155483231
"LLTS","T-cells","Ccr2",0.0797490040694419
"LLTS","T-cells","Ccl2",0.387660869294041
"LLTS","T-cells","Tnf",0.337098009406796
"LLTS","T-cells","Vegfa",0.105623324337558
"LLTS","T-cells","Csf1r",0.0572243345982474
"LLTS","T-cells","Cxcr3",0.0342787930074736
"Sepsis","B-cells","Il1r1",0.0261722410681814
"Sepsis","B-cells","Cd44",1.0083228143175
"Sepsis","B-cells","Il1b",0.771037675538951
"Sepsis","B-cells","Il6ra",0.29256468702803
"Sepsis","B-cells","Csf1",0.0962338134136819
"Sepsis","B-cells","Il6",0.0355332515053244
"Sepsis","B-cells","Cxcl10",0.364999455432214
"Sepsis","B-cells","Spp1",0.182277193445276
"Sepsis","B-cells","Flt1",0.113396454745211
"Sepsis","B-cells","Tnfrsf1a",0.487581835616376
"Sepsis","B-cells","Ccr2",0.0503585224655334
"Sepsis","B-cells","Ccl2",1.34888955155355
"Sepsis","B-cells","Tnf",0.786131547974277
"Sepsis","B-cells","Vegfa",0.0776618609243851
"Sepsis","B-cells","Csf1r",0.42263166189657
"Sepsis","B-cells","Cxcr3",0
"Sepsis","Cardiomyocytes","Il1r1",0.0130122347155152
"Sepsis","Cardiomyocytes","Cd44",0.0485500516905399
"Sepsis","Cardiomyocytes","Il1b",0.0626135965218618
"Sepsis","Cardiomyocytes","Il6ra",0.00846189433579216
"Sepsis","Cardiomyocytes","Csf1",0.00705971210375541
"Sepsis","Cardiomyocytes","Il6",0.00862224402675075
"Sepsis","Cardiomyocytes","Cxcl10",0.0465892272957683
"Sepsis","Cardiomyocytes","Spp1",0.0324181483821794
"Sepsis","Cardiomyocytes","Flt1",0.154439482011053
"Sepsis","Cardiomyocytes","Tnfrsf1a",0.0819868139384254
"Sepsis","Cardiomyocytes","Ccr2",0
"Sepsis","Cardiomyocytes","Ccl2",0.241144610691855
"Sepsis","Cardiomyocytes","Tnf",0.0449906501575337
"Sepsis","Cardiomyocytes","Vegfa",0.0202701302115215
"Sepsis","Cardiomyocytes","Csf1r",0.0334749221856996
"Sepsis","Cardiomyocytes","Cxcr3",0
"Sepsis","Endothelial","Il1r1",0.173041865009282
"Sepsis","Endothelial","Cd44",0.0865422047652882
"Sepsis","Endothelial","Il1b",0.0587872916455727
"Sepsis","Endothelial","Il6ra",0.0248303778426434
"Sepsis","Endothelial","Csf1",0.505816979367722
"Sepsis","Endothelial","Il6",0.039693713329759
"Sepsis","Endothelial","Cxcl10",0.299257166618555
"Sepsis","Endothelial","Spp1",0.0282348277398953
"Sepsis","Endothelial","Flt1",1.8451021452837
"Sepsis","Endothelial","Tnfrsf1a",0.570211570332429
"Sepsis","Endothelial","Ccr2",0.00169114930677499
"Sepsis","Endothelial","Ccl2",0.403593961948012
"Sepsis","Endothelial","Tnf",0.176254051492989
"Sepsis","Endothelial","Vegfa",0.137416316245508
"Sepsis","Endothelial","Csf1r",0.0418710918672764
"Sepsis","Endothelial","Cxcr3",0
"Sepsis","Fibroblasts","Il1r1",0.696259103474623
"Sepsis","Fibroblasts","Cd44",0.363946316418154
"Sepsis","Fibroblasts","Il1b",0.0361613517165062
"Sepsis","Fibroblasts","Il6ra",0.327151682733682
"Sepsis","Fibroblasts","Csf1",0.683319160334047
"Sepsis","Fibroblasts","Il6",0.525238065964766
"Sepsis","Fibroblasts","Cxcl10",0.206142652087152
"Sepsis","Fibroblasts","Spp1",0.0506502021151293
"Sepsis","Fibroblasts","Flt1",0.0654797625539119
"Sepsis","Fibroblasts","Tnfrsf1a",0.819844644050816
"Sepsis","Fibroblasts","Ccr2",0.000861276633395366
"Sepsis","Fibroblasts","Ccl2",0.558653354690448
"Sepsis","Fibroblasts","Tnf",0.0401179161700208
"Sepsis","Fibroblasts","Vegfa",0.746004901513992
"Sepsis","Fibroblasts","Csf1r",0.0303891075805208
"Sepsis","Fibroblasts","Cxcr3",0
"Sepsis","Fibroblasts-activated","Il1r1",0.0232792624072859
"Sepsis","Fibroblasts-activated","Cd44",0.696072113661832
"Sepsis","Fibroblasts-activated","Il1b",0.0940336913944779
"Sepsis","Fibroblasts-activated","Il6ra",0
"Sepsis","Fibroblasts-activated","Csf1",0.131069621326109
"Sepsis","Fibroblasts-activated","Il6",0.0216828122012816
"Sepsis","Fibroblasts-activated","Cxcl10",0.583002852290943
"Sepsis","Fibroblasts-activated","Spp1",0
"Sepsis","Fibroblasts-activated","Flt1",0.139627770707053
"Sepsis","Fibroblasts-activated","Tnfrsf1a",0.467426675663075
"Sepsis","Fibroblasts-activated","Ccr2",0
"Sepsis","Fibroblasts-activated","Ccl2",0.390835568584437
"Sepsis","Fibroblasts-activated","Tnf",0.120681563333919
"Sepsis","Fibroblasts-activated","Vegfa",0.0141296852292339
"Sepsis","Fibroblasts-activated","Csf1r",0.0744037850670779
"Sepsis","Fibroblasts-activated","Cxcr3",0
"Sepsis","Granulocytes","Il1r1",0.0961070744709615
"Sepsis","Granulocytes","Cd44",0.908272663977362
"Sepsis","Granulocytes","Il1b",0.531926500199304
"Sepsis","Granulocytes","Il6ra",0.255787896876228
"Sepsis","Granulocytes","Csf1",0.114264470720831
"Sepsis","Granulocytes","Il6",0.0663825713026139
"Sepsis","Granulocytes","Cxcl10",0.202612974437983
"Sepsis","Granulocytes","Spp1",0.136377300728028
"Sepsis","Granulocytes","Flt1",0.0718199231900886
"Sepsis","Granulocytes","Tnfrsf1a",0.472321578935344
"Sepsis","Granulocytes","Ccr2",0.0129191654431425
"Sepsis","Granulocytes","Ccl2",0.927897500485513
"Sepsis","Granulocytes","Tnf",0.550138128213314
"Sepsis","Granulocytes","Vegfa",0.190130095976867
"Sepsis","Granulocytes","Csf1r",0.236542597076025
"Sepsis","Granulocytes","Cxcr3",0.00219515678759052
"Sepsis","Macrophages","Il1r1",0.0198435578536383
"Sepsis","Macrophages","Cd44",1.15223216693747
"Sepsis","Macrophages","Il1b",0.684721907458007
"Sepsis","Macrophages","Il6ra",0.311301563629412
"Sepsis","Macrophages","Csf1",0.0463794101458708
"Sepsis","Macrophages","Il6",0.0306035339903862
"Sepsis","Macrophages","Cxcl10",0.725800457297507
"Sepsis","Macrophages","Spp1",0.27062416224043
"Sepsis","Macrophages","Flt1",0.0868863292967363
"Sepsis","Macrophages","Tnfrsf1a",0.577440707804438
"Sepsis","Macrophages","Ccr2",0.0328628988118722
"Sepsis","Macrophages","Ccl2",2.64611539744376
"Sepsis","Macrophages","Tnf",1.28360379974497
"Sepsis","Macrophages","Vegfa",0.0377241823617976
"Sepsis","Macrophages","Csf1r",0.752746163665094
"Sepsis","Macrophages","Cxcr3",0.00174695201449978
"Sepsis","Monocytes","Il1r1",0.014228118675094
"Sepsis","Monocytes","Cd44",1.73856286511339
"Sepsis","Monocytes","Il1b",2.29233208327662
"Sepsis","Monocytes","Il6ra",0.368676296802304
"Sepsis","Monocytes","Csf1",0.0241076676954988
"Sepsis","Monocytes","Il6",0.0600876137410844
"Sepsis","Monocytes","Cxcl10",0.251405612500282
"Sepsis","Monocytes","Spp1",0.540487890634127
"Sepsis","Monocytes","Flt1",0.0697580758408295
"Sepsis","Monocytes","Tnfrsf1a",0.717519414319908
"Sepsis","Monocytes","Ccr2",0.33942516685132
"Sepsis","Monocytes","Ccl2",1.22355046083649
"Sepsis","Monocytes","Tnf",0.593061533959346
"Sepsis","Monocytes","Vegfa",0.0946649342889483
"Sepsis","Monocytes","Csf1r",0.642192717802762
"Sepsis","Monocytes","Cxcr3",0.00675097782568044
"Sepsis","Pericytes","Il1r1",0.320913184547732
"Sepsis","Pericytes","Cd44",0.179103105792687
"Sepsis","Pericytes","Il1b",0.110052352722688
"Sepsis","Pericytes","Il6ra",0.0692184827362554
"Sepsis","Pericytes","Csf1",0.517109597113317
"Sepsis","Pericytes","Il6",0.11212494677954
"Sepsis","Pericytes","Cxcl10",0.343870052330092
"Sepsis","Pericytes","Spp1",0.0970056814742007
"Sepsis","Pericytes","Flt1",1.19882668044731
"Sepsis","Pericytes","Tnfrsf1a",0.731460892034796
"Sepsis","Pericytes","Ccr2",0
"Sepsis","Pericytes","Ccl2",0.508169431604763
"Sepsis","Pericytes","Tnf",0.20965704186569
"Sepsis","Pericytes","Vegfa",0.220562911608967
"Sepsis","Pericytes","Csf1r",0.0417354075171378
"Sepsis","Pericytes","Cxcr3",0
"Sepsis","Smooth-muscle","Il1r1",0.222504020009904
"Sepsis","Smooth-muscle","Cd44",0.136946101015635
"Sepsis","Smooth-muscle","Il1b",0.0350161858436329
"Sepsis","Smooth-muscle","Il6ra",0.0282397618694678
"Sepsis","Smooth-muscle","Csf1",0.202627813459057
"Sepsis","Smooth-muscle","Il6",0.094674121543947
"Sepsis","Smooth-muscle","Cxcl10",0.0586572449900375
"Sepsis","Smooth-muscle","Spp1",0.0132880827699114
"Sepsis","Smooth-muscle","Flt1",0.196398261639618
"Sepsis","Smooth-muscle","Tnfrsf1a",0.503225951683711
"Sepsis","Smooth-muscle","Ccr2",0
"Sepsis","Smooth-muscle","Ccl2",0.249840894567792
"Sepsis","Smooth-muscle","Tnf",0.0413616187241733
"Sepsis","Smooth-muscle","Vegfa",0.177494414591408
"Sepsis","Smooth-muscle","Csf1r",0.0534181316526243
"Sepsis","Smooth-muscle","Cxcr3",0
"Sepsis","T-cells","Il1r1",0.107578383376978
"Sepsis","T-cells","Cd44",0.734390185762615
"Sepsis","T-cells","Il1b",0.143688466224272
"Sepsis","T-cells","Il6ra",0.0401192367588653
"Sepsis","T-cells","Csf1",0.0325974157070587
"Sepsis","T-cells","Il6",0.0552573169293517
"Sepsis","T-cells","Cxcl10",0.229889069656443
"Sepsis","T-cells","Spp1",0.134473385636119
"Sepsis","T-cells","Flt1",0
"Sepsis","T-cells","Tnfrsf1a",0.180354795116407
"Sepsis","T-cells","Ccr2",0.204557451176081
"Sepsis","T-cells","Ccl2",0.257339552420116
"Sepsis","T-cells","Tnf",0.36382731504993
