"umap_1","umap_2","celltype","group","score"
-3.18255112156192,6.68950795897482,"DC","G2_liver_met",1.82800006866455
-4.85688064083377,-1.40528071156504,"CD8 T","G0_normal",0
9.75904943958005,-2.61636877289774,"CD4 T","G2_liver_met",0
-2.94859335407535,6.83909940489767,"CD4 T","G1_primary_CRC",2.34891891479492
-3.71172425731936,6.16631984480856,"Macrophage","G2_liver_met",1.67008566856384
-1.64525315746585,-1.96980965367319,"CD8 T","G0_normal",0
-2.33418951019565,8.52441453703879,"Macrophage","G2_liver_met",0
-1.98926076874057,6.25389718779562,"Monocyte","G2_liver_met",2.41777658462524
0.905801558644381,11.7847275710964,"CD4 T","G2_liver_met",0
-9.06691548809329,9.57273053893087,"Bcell","G0_normal",0
-1.8254500387601,-1.83168280354502,"CD8 T","G0_normal",0
-5.65763614162723,-3.52047777405741,"CD8 T","G2_liver_met",0
5.59260466113767,-12.1654381774998,"NK cell","G2_liver_met",1.64670610427856
4.62080910220822,11.3539204574489,"NK cell","G0_normal",0
-4.43599197849551,-6.00703716507913,"CD8 T","G2_liver_met",0
-0.522399073689375,0.965975639905912,"CD4 T","G2_liver_met",0
4.39901974216184,5.20953941115378,"CD8 T","G1_primary_CRC",0
-5.7603363750867,8.06168794402121,"Bcell","G1_primary_CRC",0
-4.38659737095157,-10.5165696167088,"CD8 T","G2_liver_met",0
-9.11093518718997,9.58747434386252,"CD8 T","G1_primary_CRC",0
-2.3934774158887,8.49229764708517,"Macrophage","G2_liver_met",0
-2.63744852527896,-7.12617635956766,"CD8 T","G2_liver_met",0
-11.2740716694287,11.1798043228054,"CD4 T","G2_liver_met",0
10.2644834758349,-2.25549602738382,"CD4 T","G1_primary_CRC",0
0.920765423924532,-6.55940819016458,"NK cell","G0_normal",0
-2.05001113399783,6.42843007811545,"Macrophage","G2_liver_met",2.17458176612854
0.175255024582949,-2.37173021069528,"CD8 T","G0_normal",0
1.04644157901486,-13.3267884277439,"CD4 T","G1_primary_CRC",0
1.17692329898557,-17.1247115158177,"CD4 T","G0_normal",0
-2.95715877994815,7.04404163130758,"CD4 T","G1_primary_CRC",1.45331692695618
3.21512033954343,11.7020468688869,"CD8 T","G2_liver_met",1.94657349586487
-5.11495110973636,-8.22250414124491,"CD4 T","G1_primary_CRC",0
6.26365139499387,-15.5893406890965,"DC","G0_normal",0
-11.4035358189038,11.0636439300442,"NK cell","G2_liver_met",0
12.7808523418017,5.01499271162985,"Bcell","G1_primary_CRC",0
5.58154060855588,4.47945976027487,"CD4 T","G1_primary_CRC",0
-3.95375702366153,-9.97645426026346,"CD8 T","G0_normal",0
6.04414370074948,-12.1974864029026,"CD8 T","G0_normal",0
1.51442029491147,-3.60225916138651,"CD4 T","G2_liver_met",0
-12.6328248737744,-0.444004854623097,"Bcell","G0_normal",0
3.10256435886106,4.2702331519985,"Bcell","G2_liver_met",0
-3.11216328129092,4.44445180663107,"Macrophage","G2_liver_met",0
0.610433125645724,-0.371467726740855,"CD8 T","G0_normal",0
-11.4520244358472,11.3342804885769,"CD4 T","G2_liver_met",0
-2.27651593670169,0.584406373586637,"Macrophage","G1_primary_CRC",0
6.13343336597165,-13.3217196487522,"Bcell","G0_normal",0
-0.371373540013227,-1.53203869095804,"CD8 T","G0_normal",0
1.01886072173795,-13.1442904495335,"CD8 T","G1_primary_CRC",0
4.51488401904782,5.46340131529806,"CD8 T","G0_normal",0
4.25508406177243,9.08557462462423,"NK cell","G0_normal",2.66080617904663
-6.15206191524783,-2.54307961693766,"Bcell","G1_primary_CRC",0
-2.71559760555545,6.09681176909445,"Macrophage","G2_liver_met",1.86808431148529
-3.50965330585757,-0.885295244369525,"MAST","G1_primary_CRC",0
2.86660101428708,-5.50410080185892,"CD8 T","G1_primary_CRC",1.70487821102142
-5.0952653644971,8.304863450613,"CD8 T","G1_primary_CRC",1.25887930393219
11.1222744227954,-3.27927136651041,"CD4 T","G0_normal",0
0.770180606991854,-2.74782061806681,"CD4 T","G1_primary_CRC",1.5046381354332
-1.48789111360827,-7.61409139863016,"gdT","G0_normal",0
2.03103926196775,-4.2776126884556,"NK cell","G2_liver_met",2.46517372131348
-7.49282309994021,-6.3215580009556,"Bcell","G0_normal",0
3.88081362262448,2.74027824172018,"Bcell","G0_normal",0
12.6494608165332,6.72211837538717,"NK cell","G0_normal",1.81854379177094
0.491528177411166,-8.38247013321878,"CD8 T","G2_liver_met",0
3.14040615573606,2.49482941397665,"CD4 T","G1_primary_CRC",0
11.4175863505908,-2.62400126687052,"CD4 T","G1_primary_CRC",0
-2.09367070183078,-15.9623665832615,"CD4 T","G2_liver_met",0
8.43806936755857,-4.84226513138773,"CD4 T","G2_liver_met",0
13.3074484111377,5.13738393553732,"NK cell","G1_primary_CRC",0
-10.4043330906324,-6.21448946228983,"CD4 T","G1_primary_CRC",0
-2.60587284549991,-13.4353690170384,"CD4 T","G2_liver_met",0
-3.7158331631116,6.29067849883078,"Bcell","G1_primary_CRC",0
9.17698099628171,-5.64612293473246,"CD4 T","G2_liver_met",0
-5.89930436596194,8.19983339079855,"NK cell","G1_primary_CRC",0
-2.89379093632022,6.81250571974753,"CD8 T","G1_primary_CRC",1.2994122505188
11.2712402583667,5.56697034605978,"NK cell","G2_liver_met",2.45140552520752
-0.924247538893613,-6.16387891999246,"CD45-","G1_primary_CRC",0
12.9750185252734,6.68704461821554,"NK cell","G2_liver_met",0
6.39618113055905,-15.7091212295628,"Bcell","G1_primary_CRC",0
-2.72817084774295,13.6763405776882,"Bcell","G2_liver_met",0
-2.64820513710299,0.0635665632152377,"CD8 T","G0_normal",0
-1.07132825836459,15.8611054397487,"Bcell","G0_normal",0
4.5835471393176,11.5804629302883,"NK cell","G2_liver_met",0
8.48342230334958,-4.9776654266453,"CD4 T","G2_liver_met",0
4.86070587650022,-7.6946835540867,"CD4 T","G0_normal",0
8.46985437885007,-6.11149263611795,"Bcell","G1_primary_CRC",0
1.3332767726489,11.4989562011623,"Bcell","G1_primary_CRC",0
-2.06533441528598,-4.5086016677952,"Bcell","G2_liver_met",0
-9.83562657818118,0.0149045265579043,"Bcell","G0_normal",0
-4.59672472461978,1.10237419375418,"CD45-","G1_primary_CRC",0
-5.12362382396975,-2.26059293976786,"CD8 T","G0_normal",0
3.12853958621701,4.35201644667624,"Bcell","G0_normal",0
13.0778208018847,4.27653026350973,"CD8 T","G0_normal",0
1.92324306979856,10.3162960983181,"CD4 T","G0_normal",0
