"gene","GSM254684","GSM254674","GSM254664","GSM254724","GSM254627","GSM254661","GSM254647","GSM254696","GSM254641","GSM254675","GSM254694","GSM254678","GSM254717","GSM254695","GSM254708","GSM254646","GSM254711","GSM254669","GSM254673","GSM254702","GSM254691","GSM254689","GSM254710","GSM254719"
"222016_s_at",6.133498715,6.57672546,6.755247844,7.397246799,7.206942972,8.262310693,7.593825728,7.133540721,6.242772652,8.556068373,7.081321241,6.948545679,6.941510153,6.785304102,6.993898695,7.941963342,7.071981299,7.093238339,7.359681714,7.796110126,7.204014329,7.029292452,6.955729623,6.97480861
"59697_at",9.031426377,10.09746535,10.62214874,9.070141466,9.763513974,8.799944467,9.924130524,9.658956851,9.293823021,9.798206803,9.447058959,8.900694621,8.927643128,8.946089323,8.625906703,8.592243887,8.519423809,8.967470977,8.592579124,8.936326864,9.022210946,8.57118727,8.962590127,8.609609015
"203059_s_at",7.650705366,8.225332412,8.306797714,7.54600591,8.25455491,7.875861699,7.383468445,7.87170078,8.070610901,8.136587815,8.645493371,7.860944226,9.109561123,8.487145062,8.429976093,8.75019548,8.698637998,9.010866965,8.86233976,9.526149527,8.690258028,8.965488791,8.502960601,9.249827086
"217764_s_at",11.20623164,10.69794225,9.494091995,10.17212717,9.750836363,10.6888578,9.557093077,10.92651348,10.26919585,11.79416911,10.86403861,11.4513696,10.64176138,10.95608189,10.86500719,10.79561371,11.05590715,10.88636352,11.05259463,10.66147168,10.62744982,11.25907724,11.19760812,10.7271221
"201430_s_at",7.824446887,8.820055186,7.049751337,7.771047816,8.397053912,7.82890315,8.059477329,9.219930851,8.328060412,8.247021002,8.832285708,7.699510115,8.491258254,8.076399279,7.412812079,7.471895978,7.220354365,7.730591143,7.806632207,7.495442506,7.424993338,7.875366661,8.816726615,7.969383236
"215489_x_at",8.10890746,8.164804511,7.79947241,7.36481032,7.419327828,7.223236108,8.756049599,7.907983863,7.295040205,8.311909768,7.681853143,6.525522228,7.666479989,7.221121396,6.845071206,6.919899529,6.571864265,7.491392985,7.294000152,7.152848603,7.051276392,6.852002093,6.953389719,7.206603848
"200807_s_at",12.20056457,11.70372663,11.34606688,13.02609053,12.58351874,11.4251014,11.94981737,11.81744638,12.55194579,11.9064806,11.54199742,12.12526234,11.0613327,11.4755839,11.45350599,11.71666469,11.88093608,10.9896541,11.05079339,10.70730044,11.24325943,11.46867215,11.93172042,11.14104436
"203561_at",8.639858818,8.282920108,8.726454245,6.512295722,7.675868423,9.138136262,8.523956922,8.985265769,8.546333061,8.063595541,8.420446306,8.761220901,8.029546838,8.167333006,8.746605979,8.432425474,8.872250205,8.937104622,8.465644001,8.269056984,8.983748525,9.103815932,8.796502589,8.520282751
"209426_s_at",7.474441765,9.640398646,7.671572048,7.82466645,8.356303755,7.807172281,8.261107362,7.42085953,7.453931703,7.242523763,8.272643904,7.271196415,7.335583411,7.475786638,7.403019091,7.558024832,7.340715488,7.374373783,7.314554386,7.174811329,7.233029197,7.515351234,7.232282072,7.059897066
"209080_x_at",9.529982782,9.649301586,10.0254456,9.59106378,10.73072841,9.081693659,9.662975361,9.15113907,9.043417555,10.0313757,9.071727202,8.659754886,8.582712802,8.559794228,8.974034697,9.186909884,8.549189936,8.935050846,8.860485361,8.59678347,8.714506532,8.980176036,9.204765881,8.753856283
