"statistic","source","condition","score","p_value"
"ulm","NCOA3","SCM_vs_Ctrl",1.3045015186336,0.192083885725492
"ulm","PBX3","SCM_vs_Ctrl",-1.30185653661176,0.192986652149763
"ulm","THAP11","SCM_vs_Ctrl",-1.29454415236976,0.195498680205006
"ulm","POU2F1","SCM_vs_Ctrl",1.28089861363354,0.200250299642177
"ulm","HSF1","SCM_vs_Ctrl",1.26705399958085,0.205156862042678
"ulm","POU4F2","SCM_vs_Ctrl",-1.26117310337152,0.207267305480419
"ulm","PAX6","SCM_vs_Ctrl",1.23309006814299,0.217562673049432
"ulm","TFAP2A","SCM_vs_Ctrl",1.22728742002918,0.219735025938632
"ulm","ERG","SCM_vs_Ctrl",1.22507136332995,0.22056875171107
"ulm","STAT5A","SCM_vs_Ctrl",1.22081864001788,0.222175062804418
"ulm","ZBTB11","SCM_vs_Ctrl",1.2097794209563,0.226383781055346
"ulm","VDR","SCM_vs_Ctrl",1.20518876212501,0.228150619949626
"ulm","KLF4","SCM_vs_Ctrl",-1.20287577479923,0.22904454798568
"ulm","ELF3","SCM_vs_Ctrl",1.20280052410496,0.229073672846164
"ulm","IRF4","SCM_vs_Ctrl",1.20062651290051,0.229916235793769
"ulm","NR5A2","SCM_vs_Ctrl",1.17947603279225,0.238228530272322
"ulm","BACH1","SCM_vs_Ctrl",1.15877534246697,0.246567351044787
"ulm","GATA6","SCM_vs_Ctrl",1.15573591887904,0.247808730250595
"ulm","TP73","SCM_vs_Ctrl",1.13542374236505,0.256217072392434
"ulm","SP2","SCM_vs_Ctrl",-1.10404012965061,0.269594528245347
"ulm","NFE2","SCM_vs_Ctrl",1.09442810101901,0.27378591779469
"ulm","ARNTL","SCM_vs_Ctrl",1.09031494150391,0.275593025773411
"ulm","SOX13","SCM_vs_Ctrl",-1.08534068691462,0.277789305515098
"ulm","GABPA","SCM_vs_Ctrl",1.07865775492241,0.280758734744871
"ulm","HMBOX1","SCM_vs_Ctrl",-1.07010909349032,0.284588482728648
"ulm","STAT6","SCM_vs_Ctrl",1.06608504500046,0.286403412042191
"ulm","MAF","SCM_vs_Ctrl",1.05526302862276,0.291323085022274
"ulm","ESR2","SCM_vs_Ctrl",1.05450573032242,0.291669466325077
"ulm","KLF3","SCM_vs_Ctrl",-1.05115888691696,0.293203595987992
"ulm","SPIB","SCM_vs_Ctrl",1.03302407166186,0.301610311375522
"ulm","USF1","SCM_vs_Ctrl",1.02853024548786,0.303718074188977
"ulm","E2F1","SCM_vs_Ctrl",1.0113820575619,0.311850921000715
"ulm","E2F3","SCM_vs_Ctrl",-0.986034656887062,0.324132987586954
"ulm","BHLHE22","SCM_vs_Ctrl",-0.98183117983012,0.326199832651606
"ulm","KLF13","SCM_vs_Ctrl",-0.977874329379941,0.328153221874447
"ulm","EBF1","SCM_vs_Ctrl",0.958089795636979,0.338033870731796
"ulm","FOXA1","SCM_vs_Ctrl",0.93526175382566,0.349669401098109
"ulm","ATF2","SCM_vs_Ctrl",0.908440527673548,0.36366101299041
"ulm","E2F4","SCM_vs_Ctrl",0.897874249757014,0.36926789054
"ulm","TP63","SCM_vs_Ctrl",0.894863046052156,0.37087554361862
"ulm","SRF","SCM_vs_Ctrl",0.890528446865397,0.373197360774861
"ulm","E2F2","SCM_vs_Ctrl",-0.877033389906405,0.380483410810203
"ulm","ZNF24","SCM_vs_Ctrl",0.871281456048693,0.383615293892371
"ulm","GRHL2","SCM_vs_Ctrl",0.863340882926664,0.387964723989231
"ulm","ZNF592","SCM_vs_Ctrl",0.857528108248638,0.391167629467832
"ulm","ZNF639","SCM_vs_Ctrl",-0.850764653904844,0.394914514296999
"ulm","NCOA1","SCM_vs_Ctrl",0.83934035015708,0.40129254439087
"ulm","ZEB1","SCM_vs_Ctrl",-0.83756124714636,0.402291329357753
"ulm","MEIS2","SCM_vs_Ctrl",-0.817527174360316,0.413641008885323
"ulm","RFX1","SCM_vs_Ctrl",-0.81076851739051,0.417512270591571
"ulm","IRF9","SCM_vs_Ctrl",0.789153643421463,0.430035451195959
"ulm","SOX10","SCM_vs_Ctrl",-0.784470369749768,0.432777310550777
"ulm","CEBPG","SCM_vs_Ctrl",0.780110814868157,0.435338716479303
"ulm","RARA","SCM_vs_Ctrl",0.776276772643716,0.437598575982827
"ulm","CLOCK","SCM_vs_Ctrl",-0.761728421819286,0.446234819951694
"ulm","SREBF2","SCM_vs_Ctrl",0.757790076401476,0.448589299695892
"ulm","PPARG","SCM_vs_Ctrl",0.750726811777396,0.452829583128387
"ulm","MAFF","SCM_vs_Ctrl",0.729621527167672,0.465633652719472
"ulm","SREBF1","SCM_vs_Ctrl",0.724175457430649,0.468970011774812
"ulm","HNF1B","SCM_vs_Ctrl",0.7179431677731,0.472804197509563
"ulm","MEIS1","SCM_vs_Ctrl",-0.715860677199629,0.474089209107078
"ulm","GATA3","SCM_vs_Ctrl",-0.714565360193819,0.474889458450959
"ulm","NR2F2","SCM_vs_Ctrl",-0.712061754473903,0.476438290719419
"ulm","RUNX3","SCM_vs_Ctrl",0.703174265731172,0.481958738287014
"ulm","CTCFL","SCM_vs_Ctrl",0.682276273998243,0.495075455036139
"ulm","TFDP1","SCM_vs_Ctrl",-0.68068847162444,0.496079784459266
"ulm","PAX5","SCM_vs_Ctrl",-0.680124997092168,0.49643645904329
"ulm","PRDM14","SCM_vs_Ctrl",0.679109410574901,0.497079661906019
"ulm","HNF1A","SCM_vs_Ctrl",0.662978809994156,0.507354938505129
"ulm","ZBTB33","SCM_vs_Ctrl",0.657635111899883,0.51078333796311
"ulm","EHF","SCM_vs_Ctrl",0.655573803659273,0.512109057068757
"ulm","HOXB13","SCM_vs_Ctrl",0.647514657510968,0.517309429477894
"ulm","NFKB2","SCM_vs_Ctrl",-0.627693574872703,0.530214837237615
"ulm","NR4A1","SCM_vs_Ctrl",0.613257768006495,0.539715782517821
"ulm","ETV4","SCM_vs_Ctrl",0.5981578150457,0.549744222027427
"ulm","NR2C2","SCM_vs_Ctrl",-0.590815565941502,0.554653452539124
"ulm","ZNF263","SCM_vs_Ctrl",-0.586236529403798,0.557725939788284
"ulm","GATA4","SCM_vs_Ctrl",0.582677534265866,0.560119696116288
"ulm","MAFB","SCM_vs_Ctrl",-0.582627374125877,0.560153469050903
"ulm","RUNX2","SCM_vs_Ctrl",0.562766774508797,0.573602634995614
"ulm","HNF4A","SCM_vs_Ctrl",-0.561731228732128,0.574308062089981
"ulm","NR2F1","SCM_vs_Ctrl",-0.554553319693043,0.579209001462324
"ulm","BCL11A","SCM_vs_Ctrl",-0.533657165184022,0.593587143163409
"ulm","EOMES","SCM_vs_Ctrl",0.498813334306099,0.61791865675159
"ulm","MYCN","SCM_vs_Ctrl",0.498000267885892,0.618491602695357
"ulm","FOXJ2","SCM_vs_Ctrl",0.404774185147699,0.685649632222679
"ulm","FOSL1","SCM_vs_Ctrl",0.400408897515568,0.688861424520632
"ulm","STAT4","SCM_vs_Ctrl",-0.399153168283514,0.689786379445155
"ulm","XBP1","SCM_vs_Ctrl",0.379110351700545,0.704611615276493
"ulm","FOXO4","SCM_vs_Ctrl",0.375027399189068,0.707645717586104
"ulm","SIX5","SCM_vs_Ctrl",0.369761027618846,0.711566096414733
"ulm","HHEX","SCM_vs_Ctrl",0.366491269116123,0.714004012964157
"ulm","PPARA","SCM_vs_Ctrl",0.324606621860355,0.745483619488193
"ulm","TAL1","SCM_vs_Ctrl",0.323944632317298,0.745984746624768
"ulm","ETV1","SCM_vs_Ctrl",-0.323419389178953,0.746382432998154
"ulm","LHX2","SCM_vs_Ctrl",0.321790584069874,0.747616107434513
"ulm","NFE2L1","SCM_vs_Ctrl",0.32178565983377,0.747619838085859
"ulm","CREB1","SCM_vs_Ctrl",0.317775574204775,0.750659875114735
"ulm","RUNX1","SCM_vs_Ctrl",0.301787888309023,0.762818205094967
"ulm","MEF2C","SCM_vs_Ctrl",-0.296945414033845,0.766512547784848
"ulm","NFIC","SCM_vs_Ctrl",0.293364027680841,0.769248225890548
"ulm","CTCF","SCM_vs_Ctrl",-0.283783729185955,0.776580281653662
"ulm","NR3C1","SCM_vs_Ctrl",-0.282723007410127,0.777393318825029
"ulm","PKNOX1","SCM_vs_Ctrl",-0.273230829234903,0.784679775611676
"ulm","SP4","SCM_vs_Ctrl",-0.257898510849525,0.796488989461879
"ulm","FOXO1","SCM_vs_Ctrl",0.255764585083674,0.798136343960175
"ulm","NR1H3","SCM_vs_Ctrl",0.254272454891338,0.799288777905061
"ulm","FOXO3","SCM_vs_Ctrl",0.253076598987191,0.800212702776805
"ulm","SNAI2","SCM_vs_Ctrl",-0.252797644095021,0.800428265141076
"ulm","DUX4","SCM_vs_Ctrl",-0.243080598715795,0.807946488475309
"ulm","PROX1","SCM_vs_Ctrl",-0.238643365372402,0.81138559602777
"ulm","SOX6","SCM_vs_Ctrl",0.22677623086444,0.820601027295651
"ulm","MBD2","SCM_vs_Ctrl",0.22423517935875,0.822577552806277
"ulm","HBP1","SCM_vs_Ctrl",0.21869822879505,0.826888286880022
"ulm","TFAP4","SCM_vs_Ctrl",0.211408373067187,0.832571672078696
"ulm","NFYB","SCM_vs_Ctrl",0.201741998848268,0.840121330997893
"ulm","PRDM1","SCM_vs_Ctrl",-0.184415258668219,0.853690346534536
"ulm","TFAP2C","SCM_vs_Ctrl",-0.177119305526461,0.859417216337852
"ulm","SNAPC4","SCM_vs_Ctrl",-0.173911272575668,0.861937684395139
"ulm","MYOD1","SCM_vs_Ctrl",-0.140827288052972,0.888008392301053
"ulm","TWIST1","SCM_vs_Ctrl",0.132562391629303,0.894541364292106
"ulm","NFYA","SCM_vs_Ctrl",-0.131726525814132,0.895202478978395
"ulm","ELF5","SCM_vs_Ctrl",-0.112522492913295,0.910410734412427
"ulm","YY1","SCM_vs_Ctrl",-0.0958566458900654,0.923635786691005
"ulm","MAFK","SCM_vs_Ctrl",-0.0940329997063198,0.92508427597053
"ulm","FLI1","SCM_vs_Ctrl",-0.0887845005919093,0.929254433855966
"ulm","TEAD1","SCM_vs_Ctrl",-0.0876460420624708,0.930159248510712
"ulm","NRF1","SCM_vs_Ctrl",0.0824223883650621,0.934312000579276
"ulm","HINFP","SCM_vs_Ctrl",0.0788988501131402,0.937114194954822
"ulm","MITF","SCM_vs_Ctrl",0.0781022004445519,0.937747862580128
"ulm","OTX2","SCM_vs_Ctrl",0.0735469818487357,0.941371900059263
"ulm","RFX2","SCM_vs_Ctrl",0.0674888185036591,0.946193518020942
"ulm","SMAD5","SCM_vs_Ctrl",0.0665201189092966,0.946964681593839
"ulm","LYL1","SCM_vs_Ctrl",0.0565374728553737,0.954914443513621
"ulm","PGR","SCM_vs_Ctrl",0.052691530684814,0.957978431944416
"ulm","TCF4","SCM_vs_Ctrl",-0.0407479538874206,0.967497407268087
"ulm","IRF1","SCM_vs_Ctrl",0.0187707961260138,0.985024216024109
"ulm","RFX5","SCM_vs_Ctrl",-0.0104442754630118,0.991666972786871
"ulm","TBX21","SCM_vs_Ctrl",0.00169317356875475,0.99864906749495
