"gene","human_dir","n_mouse_sig","n_concordant","GSE79962","GSE267388","GSE207363","GSE207177","GSE190856"
"MARCHF3","Up",2,2,1.06946167375367,1.01822255948147,NA,3.18056333983458,NA
"PPP2R3A","Down",2,2,-1.06773822214075,-1.00819732877791,0.16786963927591,-0.154010477088833,-1.43952624476134
"SLC7A5","Up",2,2,1.04635284090909,1.85651279188211,NA,2.18953203575046,NA
"AIF1L","Down",2,2,-1.02091425733137,-1.28847786240101,NA,-2.15271555360716,NA
"NPPB","Up",1,1,3.59023222140763,2.69881285513305,NA,-0.0772559306935634,NA
"SMCO1","Down",1,1,-2.71405816422286,-2.19113438733708,NA,0.145233300734787,NA
"FSD2","Down",1,1,-2.23673880791788,-1.94698896046507,NA,-0.13757984878244,NA
"ANGPT2","Up",1,1,2.14271549706746,1.46438517057454,NA,-0.442789505326821,NA
"GADD45B","Up",1,1,2.10179424926687,1.31013882050505,-0.281957390362944,0.723446595705088,0.426341682222945
"MYL7","Down",1,1,-1.890324914956,-3.04910886536567,NA,0.045474807201046,NA
"MID1","Up",1,1,1.83125793914956,1.12535827764013,0.310046539054391,0.441592226790265,0.394736211912286
"SERPINE2","Up",2,1,1.81581831524928,1.16520020053325,0.931855958849587,0.35539978059441,-2.50164266339603
"HLF","Down",1,1,-1.79438032038122,-2.42198873150825,NA,-0.64755994338317,NA
"FBXO40","Down",1,1,-1.66180042082111,-0.612900558778637,NA,-1.00937189365046,NA
"JUNB","Up",1,1,1.65844956158358,2.23763927380642,-0.456495991101843,0.30230969212438,0.192969564449659
"TMEM182","Down",1,1,-1.57933770087975,-0.403152818893378,NA,-3.03962452244463,NA
"AQP4","Down",1,1,-1.5710462947214,-1.00424743985258,NA,NA,NA
"MID1IP1","Up",1,1,1.55152326759531,1.70346628982343,-0.194237682981576,0.422570322420721,0.286685201031641
"ASB15","Down",1,1,-1.54166659310849,-2.46281812027177,NA,-0.69825810566757,NA
"PNP","Up",1,1,1.42065979472141,1.6688535979339,0.240046026541237,0.62466510031101,0.463958768275681
"ZFP36","Up",1,1,1.38554720381232,2.32018512549796,-0.629170431885513,0.386063869209833,0.0235090755938288
"CAVIN4","Down",1,1,-1.37937508211143,-1.17663233587609,NA,-0.34965241990904,NA
"G0S2","Down",1,1,-1.37347548826979,-0.646530433142501,0.189252566347825,-1.70931450820619,-0.0300085286372117
"ETS2","Up",1,1,1.36447667448681,0.795359742902955,0.0966511785445933,1.2462308862981,-0.487472091827018
"VIT","Down",1,1,-1.30105241129032,-1.17812125710662,NA,-1.00041291048591,NA
"TGIF1","Up",1,1,1.29904477584312,0.685816181186759,-0.0467572960558595,1.49633634306224,0.0502111245125898
"SLCO2A1","Up",1,1,1.2631292595308,0.185181420272607,NA,1.65822392919315,NA
"KLHL31","Down",1,1,-1.23335617741934,-1.25467202027895,NA,-0.457656316793198,NA
"SAT1","Up",1,1,1.22954644428154,1.56021122093354,-0.107530665449485,0.941789748169105,0.664728326850818
"RIPK2","Up",1,1,1.22755796041056,1.44512099291673,0.781007259160064,0.951983266010328,-0.185268666433974
"FITM2","Down",1,1,-1.22261818035189,-1.30796479429826,NA,0.191265879753462,NA
"NAMPT","Up",1,1,1.19840573973608,1.71388938482146,0.475372571117093,0.779750365796681,-0.272496410341034
"TFPI2","Up",1,1,1.1853841143695,1.19502969948518,NA,0.625462042892785,NA
"NR4A3","Up",1,1,1.17893228445748,0.190568854963275,0.389444911241732,1.50239254913448,NA
"SERPINB1","Up",2,1,1.17303438856306,1.17460867446781,NA,-1.13536697795081,0.0504580773348224
"RAB15","Up",1,1,1.1550270366569,0.110436678464783,NA,1.13819165374927,NA
"XIRP1","Up",1,1,1.14717919061585,2.00154058307604,NA,0.61953083529275,NA
"ELL2","Up",1,1,1.13435914662758,0.930915051661601,0.770353853396097,1.94314289289708,-0.434642265498642
"CA14","Down",1,1,-1.12390403739002,-1.74535399592408,NA,0.760674747068964,NA
"MFAP5","Down",1,1,-1.09067288709676,-0.302236724253592,0.127443225404587,-0.669818095827202,-2.87910559386903
"TENT5C","Down",2,1,-1.07958566129031,-1.15327817236051,-0.389178838262498,1.18981236135668,NA
"HECW2","Down",1,1,-1.07886776612903,0.195981925932346,0.897279798878719,-0.815463647141858,-1.44254526830212
"PDP1","Down",1,1,-1.07138290322579,-1.30108730956664,NA,-0.763993592231822,NA
"FABP4","Down",1,1,-1.06305960410556,0.353718132641403,0.805621265343582,-0.714424944462642,-1.5325176807309
"USP2","Down",1,1,-1.059548664956,-1.35289096630476,NA,0.394227259944364,NA
"FAM180A","Down",1,1,-1.05606827785923,-1.14597601227499,NA,NA,NA
"BTG2","Up",1,1,1.0439146935484,1.95442840153139,-0.290962339094254,-0.278265936830392,-0.471149107389369
