"gene","kME"
"RASL11A",0.58549318559526
"IFNAR2",0.585139312765833
"CCT5",0.584106343041357
"PTGFRN",0.583484990186077
"SLN",0.583175722133717
"PXDC1",0.583067050848071
"GSTO1",0.582262155788258
"PHF5A",0.582160166187838
"GFUS",0.581845977985153
"RNF145",0.580952265951952
"PSAT1",0.579469081590976
"TUBB6",0.578916170811243
"XPOT",0.578753651264853
"ROR1",0.578621336639067
"CH25H",0.578356418658309
"RLIG1",0.578182371596786
"PTGS1",0.577821490357604
"PELO",0.575594793510371
"SRP19",0.575458812251924
"CHD1",0.575040780024261
"PLEKHG1",0.574056775656693
"FYTTD1",0.573666124927226
"TNNI1",0.573251264461099
"SNORD43",0.572831016093506
"GJA9",0.572108902038755
"FHIP2B",0.571995961785885
"SELENON",0.571882905341517
"SPSB1",0.571632353871633
"ABL1",0.571272473357966
"EPAS1",0.571056666806794
"ALKBH2",0.570848956328673
"MT1F",0.569902551240146
"PDLIM7",0.569302582336938
"SLC9C1",0.569212612838748
"TNC",0.568465941503027
"DDX10",0.5676919486203
"GTF2H1",0.567423716532923
"ITPRIP",0.566988760957508
"CHST15",0.566341444773556
"ANGPTL4",0.566207382730173
"ZDHHC2",0.565791242615023
"APRT",0.564911790325705
"SNORD50A",0.563742977880685
"BAG2",0.562356037464355
"EID3",0.561700783308874
"PPP3CC",0.560445224498919
"LIG3",0.559926414794014
"MYO18B",0.559445220483232
"WWTR1",0.559407055769121
"UIMC1",0.559281032766291
"MAPRE1",0.558625111379548
"KIFAP3",0.558155131124059
"PSENEN",0.557854560142602
"CSRP1",0.557571778458518
"CDC14B",0.557020248180834
"EFEMP1",0.556996988835731
"GCSAM",0.556367915017782
"TRAF3IP2",0.556251124841046
"SNORD47",0.556080659938806
"RBPMS",0.555880729071168
"ALPK1",0.555748801869461
"RAB5C",0.555563030923026
"CLPTM1L",0.555440614850625
"BACE2",0.55540840631729
"PTPN2",0.555219172865301
"LIMK2",0.554659684035634
"SRRT",0.554325311789164
"LINC01597",0.554168278759258
"CPD",0.553763405552189
"HSPA13",0.552342906732954
"COPG1",0.550064098659834
"DERA",0.548856950571624
"IGF1",0.54869574821131
"TRPS1",0.548533259582825
"AKTIP",0.54796384106608
"ATP8B1",0.547597301496281
"KIAA0040",0.546761297285066
"SIRPA",0.54667460189068
"QPCT",0.546580240341123
"GGCT",0.54627062232183
"PPA1",0.545961110477453
"PXDN",0.545736119247208
"TEX10",0.545512843763581
"DBNDD2",0.543857970429412
"TTLL4",0.541592793322407
"EFNA5",0.54141685840066
"CPNE8",0.541025448185924
"NNMT",0.540830098449966
"TUBG1",0.540195702383113
"WBP2",0.539793241379938
"PRMT5",0.538231201277454
"RCN3",0.537436790199273
"RND3",0.537284944034546
"SEPTIN10",0.537023193430796
"GFOD1",0.53523983945782
"LPL",0.533684381823738
"MSC",0.533521934383166
"MEIS2",0.533505535237687
"GORAB",0.532607142071693
"TCF21",0.532217269324459
"PAK1IP1",0.530936222230114
"NPAS2",0.530562948627621
"CNDP2",0.529431776540637
"PTGIS",0.528041217353275
"PLOD3",0.527872075790252
"SNORA50A",0.526726087001706
"NRSN2",0.52671484781459
"SH3PXD2A",0.526343837690736
"PARP12",0.525739705367679
"WDR45",0.52497814174377
"SLCO5A1",0.52487125914204
"MMP19",0.524710122892934
"SNORA80A",0.523147816430317
"UBE2Q1",0.519666713265353
"KLF10",0.519323635155131
"PWP1",0.517078288376644
"GRB10",0.516963775524456
"THAP12",0.514976805614926
"SACS",0.514588477075278
"NKRF",0.514357871533379
"ALYREF",0.514253026852657
"SLC38A2",0.511844425095479
"NFATC2",0.511778834633298
"SPON1",0.508921359956131
"ANK3",0.508844069020297
"DUSP23",0.507970071177916
"BLTP3A",0.506104128572645
"WDR41",0.506059698178877
"SRSF7",0.505765938624106
"KLHL5",0.505757611387354
"LITAF",0.505570604936501
"PCBP3",0.505446954797348
"MAST4",0.503236997557034
"CLIC2",0.502705902853711
"LCN2",0.500605644723885
"IQCB1",0.500009636722416
"IFT122",0.498709179546839
"LBH",0.49530762951962
"UGP2",0.494722419523154
"FRMD8",0.49467827389589
"MYD88",0.494291486789166
"DAB2IP",0.493793940042823
"TIGD7",0.490693558594188
"MIR22HG",0.4902771835662
"SNRNP40",0.488321121391285
"PHLDB1",0.487897054264619
"EEF1E1",0.487842316173206
"LRP11",0.486632033142153
"SLC15A4",0.485941563957818
"ITGA2",0.483600291252762
"EGLN3",0.483391698128089
"SNRPA",0.482434318790959
"PRSS23",0.479664555647974
"SNORD81",0.478899507415373
"RNF185-AS1",0.477797232392594
"STN1",0.477238682698917
"DAP",0.477232172579198
"EAF1",0.476942685236635
"LIMS4",0.476641078718869
"EFNB2",0.475869793598355
"PLEKHA4",0.473252332141488
"NEB",0.472192034634128
"DHX33",0.470977168089985
"MPZL2",0.470462641011948
"RGS16",0.470197515738831
"PIK3C2B",0.46971411308649
"ZNF799",0.469070698389335
"THG1L",0.467228895538022
"EBPL",0.466777645207001
"ZNF146",0.466646853157935
"B4GALT1",0.464703788011243
"MAT2A",0.464129501870628
"EIF4E2",0.462992210548605
"PHACTR4",0.46167181706119
"CCDC102B",0.461520648941039
"SMURF1",0.461263103010837
"ABLIM2",0.461141300845423
"COL12A1",0.459195069450339
"BEX1",0.45746405548803
"LTBR",0.457228598340666
"LGI2",0.455077887384292
"ABHD2",0.454016111016025
"CEP15",0.453105241041371
"BIRC3",0.451819838415096
"NHERF1",0.451406187798615
"SLC9A1",0.451252866293124
"NIP7",0.451242700156937
"HLA-DRB3",0.451016231918934
"DLGAP1-AS1",0.450770830566745
"DUSP5",0.447598459696693
"BNIP1",0.447520560242186
"EXOSC2",0.447416619017471
"VGLL3",0.445416605609026
"PPP1R3C",0.444040989956816
