"gene","log2FC","AveExpr","t","pvalue","padj","B","method","contrast"
"Pitpnc1",0.742879067531567,6.30515599790958,3.14196080561426,0.0132494412819275,0.0339530152075302,-3.6610151273054,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Dnajc19",0.387946523123357,6.16186592166209,3.13935424189034,0.0133025695926783,0.0340778015332483,-3.66473252629817,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Htt",0.712217511812612,4.72131362675607,3.13927433661834,0.0133042017732812,0.0340778015332483,-3.46924504733126,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Pole2",-2.17564467618768,0.0666087370793234,-3.13896039188666,0.0133106165733487,0.0340797950097572,-2.65482496672947,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Sumo2",0.382097336075949,8.09319049530412,3.13893939678682,0.0133110456792582,0.0340797950097572,-3.68711440489053,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Vps4a",0.461491687354958,5.04403589534318,3.13841867257366,0.0133216930645915,0.034099285869434,-3.53883423247026,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Ppard",0.589456325776884,4.12758504261584,3.13613073912532,0.0133685805414472,0.0342059094840607,-3.36577102184203,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Ensa",-0.445870290341938,6.1908321907,-3.13608906462993,0.0133694361888399,0.0342059094840607,-3.67501240225661,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Usp38",0.641400587055443,4.41735151204615,3.13528346425191,0.0133859877602369,0.0342404608381021,-3.42334394797838,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Lmf1",-0.977717378021959,2.40558159516311,-3.13487067699741,0.0133944770259916,0.0342543783206801,-3.05642986369953,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Rps3",0.460549919276087,10.6671360846572,3.13452760438273,0.0134015368379099,0.0342576590563625,-3.66038111031792,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Eif1a",0.569027100476991,7.02521429065521,3.13451204144071,0.0134018571871291,0.0342576590563625,-3.69101847151123,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Ddx41",-0.467337347886965,4.71072883047969,-3.13409443895666,0.0134104561466661,0.0342718434660193,-3.5343878945043,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Usp28",-1.42786906416165,1.2488359129177,-3.13366348805914,0.013419336007113,0.0342867391341356,-2.80744917705396,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
"Trappc10",0.52155763292479,5.27797445177953,3.13332639079264,0.0134262862673034,0.0342935269340943,-3.58024737552592,"macrophage_pseudobulk_edgeR-TMM_voom","CLP vs Control"
