"name","type","Degree"
"hsa04215","D",7
"hsa04068","D",13
"hsa04923","D",8
"hsa04370","D",8
"PTGS1","C",37
"DRD1","C",13
"CHRM3","C",18
"SCNN1A","C",27
"CHRM5","C",11
"PTGS2","C",65
"CHRM4","C",17
"RXRA","C",33
"OPRD1","C",20
"PDE3A","C",12
"HTR2A","C",14
"ADRA1A","C",24
"CHRM2","C",21
"ADRA1B","C",22
"SLC6A3","C",13
"ADRB2","C",40
"ADRA1D","C",18
"TOP2A","C",17
"SLC6A4","C",15
"OPRM1","C",28
"GABRA1","C",26
"HSP90AA2P","C",40
"CHRNA7","C",32
"IGHG1","C",16
"PNRC2","C",40
"NCOA7","C",53
"NR3C2","C",7
"ACHE","C",23
"DRD4","C",4
"CTSC","C",28
"F10","C",8
"PTPN22","C",8
"AKR1B1","C",4
"INSR","C",10
"AR","C",22
"MMP2","C",5
"TNF","C",15
"EGF","C",6
"HGF","C",4
"IL36A","C",2
"MMP1","C",5
"MAP3K7","C",9
"IFNG","C",5
"JUN","C",15
"PIK3CG","C",19
"XDH","C",4
"CDK2","C",4
"TP53","C",9
"APP","C",2
"PRKACA","C",29
"TOP1","C",2
"HMOX1","C",5
"RBL1","C",3
"PRSS1","C",33
"CASP7","C",5
"IL2","C",3
"NAIP","C",3
"BAK1","C",5
"CASP3","C",12
"CASP9","C",7
"CD40LG","C",3
"CDKN1C","C",3
"MDM2","C",4
"CCND3","C",5
"CCNB1","C",4
"MCL1","C",3
"ICAM2","C",3
"IL10","C",3
"IL4","C",4
"NUF2","C",1
"MMP9","C",7
"NFKBIE","C",3
"PPARG","C",10
"PCNA","C",1
"PTGES2","C",1
"AKT1","C",20
"ERBB2","C",5
"SLC2A2","C",5
"RELA","C",21
"TYR","C",1
"CALML5","C",26
"NOS3","C",24
"CDK1","C",19
"PIM1","C",19
"CCNA2","C",14
"ADRA2A","C",4
"F2","C",22
"NR3C1","C",7
"ESR2","C",7
"EDN1","C",7
"STAT5B","C",2
"CHEK1","C",10
"GSK3B","C",14
"LACTB","C",3
"NOS2","C",14
"F7","C",7
"HTR1A","C",1
"GABRA2","C",4
"SLC6A2","C",5
"GABRA3","C",4
"ADRA2B","C",2
"HTR1B","C",1
"BCL2","C",11
"ELOVL6","C",1
"ITGB3","C",3
"CYP3A4","C",3
"ECE1","C",1
"AHSA1","C",3
"CYP1A1","C",3
"MYC","C",5
"NR1I2","C",3
"NPM1","C",1
"PARG","C",2
"FOS","C",9
"PDE10A","C",3
"GRIN2A","C",3
"ODC1","C",1
"ACACB","C",2
"MGAM","C",1
"PLAU","C",3
"PON2","C",2
"CTSD","C",3
"CXCL2","C",4
"IL1B","C",9
"SELE","C",5
"MPO","C",1
"PLAT","C",2
"GJA1","C",1
"VCAM1","C",6
"MMP3","C",3
"THBD","C",3
"F3","C",2
"GAPDH","C",2
"AOC2","C",5
"PTGER3","C",2
"SOD1","C",1
"TOP2B","C",1
"COL3A1","C",3
"GSTM2","C",3
"HSPA5","C",1
"AHR","C",2
"BAX","C",8
"ABCG4","C",1
"CASP8","C",8
"CAV1","C",2
"CLDN4","C",1
"CRP","C",1
"CXCL13","C",1
"CX3CR1","C",1
"CDKN2A","C",2
"CYP1B1","C",2
"DDB1","C",1
"DUOXA1","C",1
"ELK1","C",2
"HSPB1","C",3
"HK2","C",2
"NKX3-1","C",1
"HAS2","C",2
"HIF1AN","C",1
"NFKB1","C",16
"IGFBP6","C",1
"IGF2","C",3
"IRF3","C",2
"IL1A","C",6
"IL36B","C",1
"NCF2","C",3
"NFE2L2","C",2
"SPP1","C",3
"PPARA","C",3
"PPARD","C",2
"SERPINE1","C",4
"HERC5","C",1
"PCOLCE","C",1
"RUNX1T1","C",1
"C3","C",2
"PRKCB","C",8
"RAF1","C",10
"RASSF1","C",1
"RASA1","C",2
"ERBB3","C",3
"RUNX2","C",1
"CHEK2","C",2
"STAT4","C",2
"E2F1","C",2
"E2F2","C",2
"TGFB1","C",8
"DIO1","C",2
"PTEN","C",6
"ADRB1","C",4
"LTA4H","C",1
"AKR1C3","C",1
"PI3","C",1
"IKBKB","C",12
"RXRG","C",1
"PSMG1","C",1
"VEGFC","C",7
"PDE4D","C",1
"CACNA1S","C",3
"LYZ","C",1
"MAPK14","C",15
"OLR1","C",1
"ATP5F1E","C",1
"PKIA","C",2
"HSD3B1","C",1
"SIRT1","C",3
"ALOX5","C",1
