"gene","source"
"LRP1","GeneCards"
"CDH13","GeneCards"
"PLAU","GeneCards"
"F7","GeneCards"
"VKORC1","GeneCards"
"FGB","GeneCards"
"ABCG1","GeneCards"
"FABP4","GeneCards"
"P2RY12","GeneCards"
"F5","GeneCards"
"AGTR1","GeneCards"
"KLF4","GeneCards"
"VCAM1","GeneCards"
"HNF1A","GeneCards"
"PRKG1","GeneCards"
"DNASE1","GeneCards"
"NEAT1","GeneCards"
"MIR33A","GeneCards"
"HNF4A","GeneCards"
"GATA4","GeneCards"
"F13A1","GeneCards"
"SMAD4","GeneCards"
"HSPD1","GeneCards"
"MIR126","GeneCards"
"GP1BA","GeneCards"
"MIR125A","GeneCards"
"MAT2A","GeneCards"
"TREM1","GeneCards"
"CREB3L3","GeneCards"
"AGT","GeneCards"
"KDR","GeneCards"
"TNFAIP3","GeneCards"
"CTNNB1","GeneCards"
"F8","GeneCards"
"THBD","GeneCards"
"MEG3","GeneCards"
"MIR143","GeneCards"
"SLCO1B1","GeneCards"
"NR1H3","GeneCards"
"LDLR-AS1","GeneCards"
"TCF21","GeneCards"
"PLA2G7","GeneCards"
"EFEMP2","GeneCards"
"NLRP3","GeneCards"
"PIEZO1","GeneCards"
"HMOX1","GeneCards"
"PTEN","GeneCards"
"SLC2A10","GeneCards"
"MFAP5","GeneCards"
"ITGA2B","GeneCards"
"MMP2","GeneCards"
"NOTCH1","GeneCards"
"PPP1R17","GeneCards"
"LEP","GeneCards"
"MALAT1","GeneCards"
"CYBB","GeneCards"
"LRP6","GeneCards"
"NPC1L1","GeneCards"
"MAPK9","GeneCards"
"ADAMTS13","GeneCards"
"ZFAS1","GeneCards"
"MYH9","GeneCards"
"XYLT1","GeneCards"
"COL3A1","GeneCards"
"F12","GeneCards"
"SRC","GeneCards"
"ALOX5AP","GeneCards"
"HLA-DRB1","GeneCards"
"APOC1","GeneCards"
"XYLT2","GeneCards"
"MIR222","GeneCards"
"DDIT3","GeneCards"
"TOR2A","GeneCards"
"RNF213","GeneCards"
"DYNC2LI1","GeneCards"
"DNMT1","GeneCards"
"LRP8","GeneCards"
"NT5E","GeneCards"
"MT-TP","GeneCards"
"JAK2","GeneCards"
"CCL13","GeneCards"
"FGA","GeneCards"
"COL8A1","GeneCards"
"ZPR1","GeneCards"
"TLR7","GeneCards"
"ANGPTL4","GeneCards"
"GHR","GeneCards"
"FLT4","GeneCards"
"IRF5","GeneCards"
"ALMS1","GeneCards"
"TBXA2R","GeneCards"
"LMAN1","GeneCards"
"CSF1","GeneCards"
"PSMA6","GeneCards"
"GDF2","GeneCards"
"PROS1","GeneCards"
"SREBF1","GeneCards"
"IRAK1","GeneCards"
"MIR21","GeneCards"
"F10","GeneCards"
"CD5L","GeneCards"
"CST3","GeneCards"
"SUCNR1","GeneCards"
"ACVRL1","GeneCards"
"NR1I2","GeneCards"
"GPBP1","GeneCards"
"MIR6886","GeneCards"
"RYR2","GeneCards"
"PIK3CA","GeneCards"
"THBS1","GeneCards"
"NAMPT","GeneCards"
"FLNA","GeneCards"
"CYCS","GeneCards"
"VDR","GeneCards"
"FBLN5","GeneCards"
"AGXT2","GeneCards"
"PWAR4","GeneCards"
"HGF","GeneCards"
"CXCL12","GeneCards"
"SORL1","GeneCards"
"MPL","GeneCards"
"CCR2","GeneCards"
"FGFR1","GeneCards"
"PROC","GeneCards"
"HDAC9","GeneCards"
"TARID","GeneCards"
"COL1A1","GeneCards"
"FGG","GeneCards"
"ITGAM","GeneCards"
"TFPI","GeneCards"
"ABCA4","GeneCards"
"THRIL","GeneCards"
"PTPN22","GeneCards"
"SENCR","GeneCards"
"EPHB4","GeneCards"
"DOCK6","GeneCards"
"CDKN2B","GeneCards"
"SIRT1","GeneCards"
"ANGPTL3","GeneCards"
"TWIST1","GeneCards"
"PNPLA2","GeneCards"
"LGALS3","GeneCards"
"LEPR","GeneCards"
"NR1H4","GeneCards"
"SERGEF","GeneCards"
"ADAMTS7","GeneCards"
"ROBO4","GeneCards"
"FOCAD","GeneCards"
"DROSHA","GeneCards"
"PLTP","GeneCards"
"SNCA","GeneCards"
"APOA4","GeneCards"
"TREX1","GeneCards"
"ALDH2","GeneCards"
"HIF1A","GeneCards"
"CD44","GeneCards"
"LINC01672","GeneCards"
"PTGS2","GeneCards"
"GSTA4","GeneCards"
"MGP","GeneCards"
"PHACTR1","GeneCards"
"CERNA3","GeneCards"
"FANCM","GeneCards"
"TNFRSF11B","GeneCards"
"FOXE3","GeneCards"
"APCS","GeneCards"
"AHSG","GeneCards"
"SOAT1","GeneCards"
"NOTCH3","GeneCards"
"FBN2","GeneCards"
"TEK","GeneCards"
"DPP4","GeneCards"
"PPARD","GeneCards"
"KCNJ11","GeneCards"
"VLDLR","GeneCards"
"CYP3A4","GeneCards"
"SORT1","GeneCards"
"TRIB1","GeneCards"
"FGF23","GeneCards"
"FOXC2","GeneCards"
"C1QA","GeneCards"
"LUCAT1","GeneCards"
"C4A","GeneCards"
"FURIN","GeneCards"
"GUCY1A1","GeneCards"
"TP53","GeneCards"
"ANGPTL8","GeneCards"
"CYP7B1","GeneCards"
"DNMT3A","GeneCards"
"GJA5","GeneCards"
"SGPP1","GeneCards"
"PPARGC1A","GeneCards"
"ITIH4","GeneCards"
"HPS1","GeneCards"
"HPS4","GeneCards"
"HPS5","GeneCards"
"VEGFC","GeneCards"
"ABCG2","GeneCards"
"MIR122","GeneCards"
"AKT1","GeneCards"
"TNFRSF11A","GeneCards"
"PIK3CG","GeneCards"
"NPC1","GeneCards"
"APP","GeneCards"
"AHR","GeneCards"
"ELANE","GeneCards"
"TP53I3","GeneCards"
"CFH","GeneCards"
"MMP1","GeneCards"
"GLB1","GeneCards"
"PDCD1","GeneCards"
"TET2","GeneCards"
"PLIN1","GeneCards"
"PDGFRB","GeneCards"
"MECP2","GeneCards"
"LPAL2","GeneCards"
"CXCL10","GeneCards"
"ABL1","GeneCards"
"HPS6","GeneCards"
"GCK","GeneCards"
"MAP1LC3A","GeneCards"
"PTGIS","GeneCards"
"SCD","GeneCards"
"MTTP","GeneCards"
"CXCL8","GeneCards"
"WAS","GeneCards"
"REN","GeneCards"
"CHEK1","GeneCards"
"COL5A1","GeneCards"
"POSTN","GeneCards"
"NINJ1","GeneCards"
"LGALS2","GeneCards"
"CAT","GeneCards"
"CYP1A1","GeneCards"
"LTA","GeneCards"
"MAP2K1","GeneCards"
"ACLY","GeneCards"
"SMARCAL1","GeneCards"
"MAPK3","GeneCards"
"TRPM6","GeneCards"
"MIR17","GeneCards"
"MIR214","GeneCards"
"ATF3","GeneCards"
"SKI","GeneCards"
"GATA2","GeneCards"
"MCFD2","GeneCards"
"NOS1","GeneCards"
"APCDD1","GeneCards"
"GNAS","GeneCards"
"SOCS1","GeneCards"
"SCARB2","GeneCards"
"GCLC","GeneCards"
"FCGR2A","GeneCards"
"PRKCD","GeneCards"
"HOTAIR","GeneCards"
"KLF11","GeneCards"
"SERPINC1","GeneCards"
"PARP15","GeneCards"
"SERPINF1","GeneCards"
"WIZ","GeneCards"
"SLC2A1","GeneCards"
"NFKB1","GeneCards"
"ETS1","GeneCards"
"METTL14","GeneCards"
"CCL5","GeneCards"
"SLC12A4","GeneCards"
"DTNBP1","GeneCards"
"BLOC1S6","GeneCards"
"FASLG","GeneCards"
"APOH","GeneCards"
"SMARCA4","GeneCards"
"RORA","GeneCards"
"CTSS","GeneCards"
"CCN3","GeneCards"
"CYP46A1","GeneCards"
"GLP1R","GeneCards"
"PRKACG","GeneCards"
"F9","GeneCards"
"RUNX1","GeneCards"
"SLC2A4","GeneCards"
"AGER","GeneCards"
"GP9","GeneCards"
"ADAMTS2","GeneCards"
"SMAD6","GeneCards"
"CTLA4","GeneCards"
"C3","GeneCards"
"CDKN1A","GeneCards"
"YBX1","GeneCards"
"ELAVL1","GeneCards"
"IL17A","GeneCards"
"IDO1","GeneCards"
"ANXA5","GeneCards"
"AP3B1","GeneCards"
"ABCB1","GeneCards"
"ACE2","GeneCards"
"MIR155","GeneCards"
"LTB4R","GeneCards"
"CASP1","GeneCards"
"CXCR4","GeneCards"
"SNHG8","GeneCards"
"GATA1","GeneCards"
"HDAC2","GeneCards"
"HS3ST1","GeneCards"
"IL33","GeneCards"
"IL18","GeneCards"
"ABCB11","GeneCards"
"MIR98","GeneCards"
"NOS2","GeneCards"
"MIR33B","GeneCards"
"CD68","GeneCards"
"GDF15","GeneCards"
"PLPP3","GeneCards"
"GP1BB","GeneCards"
"ADAM17","GeneCards"
"CTH","GeneCards"
"HABP2","GeneCards"
"ANTXR1","GeneCards"
"APPL1","GeneCards"
"TNXB","GeneCards"
"TXN","GeneCards"
"APLN","GeneCards"
"RETN","GeneCards"
"STAT3","GeneCards"
"COL5A2","GeneCards"
"IL37","GeneCards"
"CYBA","GeneCards"
"KLF2","GeneCards"
"ADAMTS10","GeneCards"
"METTL3","GeneCards"
"NOX4","GeneCards"
"CYP2C9","GeneCards"
"MIR146B","GeneCards"
"GJA1","GeneCards"
"PTGS1","GeneCards"
"CCR7","GeneCards"
"LOXL1-AS1","GeneCards"
"MMP8","GeneCards"
"MERTK","GeneCards"
"NCEH1","GeneCards"
"LCN2","GeneCards"
"BANF1","GeneCards"
"CALR","GeneCards"
"ESR2","GeneCards"
"S100A12","GeneCards"
"SMAD5-AS1","GeneCards"
"STAT1","GeneCards"
"PDGFB","GeneCards"
"MAP2K4","GeneCards"
"MBL2","GeneCards"
"IL1A","GeneCards"
"PAPPA","GeneCards"
"MMP14","GeneCards"
"SAA2","GeneCards"
"GCLM","GeneCards"
"UCHL1","GeneCards"
"IDH1","GeneCards"
"TLR6","GeneCards"
"CASP3","GeneCards"
"NTN1","GeneCards"
"PF4","GeneCards"
"INSR","GeneCards"
"ERN1","GeneCards"
"IGF1","GeneCards"
"HDLBP","GeneCards"
"HCAR2","GeneCards"
"HAMP","GeneCards"
"RORC","GeneCards"
"ADAM10","GeneCards"
"MIR216A","GeneCards"
"MAP2K2","GeneCards"
"CCNL2","GeneCards"
"MIR758","GeneCards"
"TBXAS1","GeneCards"
"SCAP","GeneCards"
"AKR1A1","GeneCards"
"FNDC5","GeneCards"
"S100A9","GeneCards"
"JAK1","GeneCards"
"CLDN14","GeneCards"
"SLC9A1","GeneCards"
"UCP1","GeneCards"
"GHRL","GeneCards"
"HSPB1","GeneCards"
"PNPLA3","GeneCards"
"HBEGF","GeneCards"
"SIRT3","GeneCards"
"MIRLET7G","GeneCards"
"TREM2","GeneCards"
"B2M","GeneCards"
"SP1","GeneCards"
"TNFRSF1A","GeneCards"
"HDAC3","GeneCards"
"FCGR3B","GeneCards"
"ALOX12","GeneCards"
"XDH","GeneCards"
"SRF","GeneCards"
"RAD1","GeneCards"
"RAB43","GeneCards"
"STING1","GeneCards"
"NR1H2","GeneCards"
"ANXA2","GeneCards"
"IL1RL1","GeneCards"
"CCL4","GeneCards"
"CXCR2","GeneCards"
"STAT4","GeneCards"
"CFTR","GeneCards"
"CCL3","GeneCards"
"LINC00261","GeneCards"
"TNFSF12","GeneCards"
"FMO3","GeneCards"
"MYLIP","GeneCards"
"ACTN1","GeneCards"
"HAVCR2","GeneCards"
"IL2","GeneCards"
"MIR150","GeneCards"
"HOXA11","GeneCards"
"BMP4","GeneCards"
"MIR302A","GeneCards"
"PRKACA","GeneCards"
"GNAQ","GeneCards"
"CCN2","GeneCards"
"LOC106560211","GeneCards"
"DCN","GeneCards"
"EPAS1","GeneCards"
"S100A8","GeneCards"
"ZMPSTE24","GeneCards"
"C1R","GeneCards"
"RBM8A","GeneCards"
"GFI1B","GeneCards"
"HPS3","GeneCards"
"CDKN2A","GeneCards"
"CTSD","GeneCards"
"MIR382","GeneCards"
"NOD2","GeneCards"
"JUN","GeneCards"
"CXCR3","GeneCards"
"IL6ST","GeneCards"
"FCGR2B","GeneCards"
"GNA11","GeneCards"
"GATM","GeneCards"
"RIPK1","GeneCards"
"TNIP1","GeneCards"
"RELA","GeneCards"
"SOS1","GeneCards"
"LINC02605","GeneCards"
"FAN1","GeneCards"
"RECQL5","GeneCards"
"CTCF","GeneCards"
"PIK3R2","GeneCards"
"ADAMTS4","GeneCards"
"TNFRSF18","GeneCards"
"MLKL","GeneCards"
"PGR-AS1","GeneCards"
"AAT1","GeneCards"
"ARG2","GeneCards"
"ABCG4","GeneCards"
"NR1I3","GeneCards"
"PDE4D","GeneCards"
"BACE1","GeneCards"
"AXL","GeneCards"
"ARNT","GeneCards"
"MIR22","GeneCards"
"LIPI","GeneCards"
"MIR212","GeneCards"
"RIPK3","GeneCards"
"LTA4H","GeneCards"
"PWAR1","GeneCards"
"MIR211","GeneCards"
"GAS6","GeneCards"
"IL6R","GeneCards"
"NCF1","GeneCards"
"NPPA","GeneCards"
"MECOM","GeneCards"
"TUBB1","GeneCards"
"ETV6","GeneCards"
"FLI1","GeneCards"
"FYB1","GeneCards"
"MASTL","GeneCards"
"ANKRD26","GeneCards"
"NBEAL2","GeneCards"
"BLOC1S3","GeneCards"
"SLFN14","GeneCards"
"BGLAP","GeneCards"
"MIR7-3HG","GeneCards"
"COL4A1","GeneCards"
"APOC4","GeneCards"
"HOTTIP","GeneCards"
"DGAT2","GeneCards"
"CXCL16","GeneCards"
"JCAD","GeneCards"
"APOM","GeneCards"
"LIAS","GeneCards"
"LINC-ROR","GeneCards"
"MIR296","GeneCards"
"C6","GeneCards"
"LOC129929773","GeneCards"
"KRIT1","GeneCards"
"GLMN","GeneCards"
"NR4A1","GeneCards"
"CHI3L1","GeneCards"
"RSAD2","GeneCards"
"EDNRA","GeneCards"
"PSRC1","GeneCards"
"CEL","GeneCards"
"MAPK7","GeneCards"
"ADRB2","GeneCards"
"CTSA","GeneCards"
"KIF23","GeneCards"
"CELSR2","GeneCards"
"FAM95C","GeneCards"
"MIR195","GeneCards"
"SERPINA12","GeneCards"
"BLK","GeneCards"
"CXCL1","GeneCards"
"CD47","GeneCards"
"CD163","GeneCards"
"ABCA12","GeneCards"
"MIR494","GeneCards"
"SNHG16","GeneCards"
"LGALS9","GeneCards"
"PRKCB","GeneCards"
"RARRES2","GeneCards"
"STAP1","GeneCards"
"ALDH18A1","GeneCards"
"LOC130057352","GeneCards"
"ARG1","GeneCards"
"GPER1","GeneCards"
"ANXA1","GeneCards"
"ADIPOR1","GeneCards"
"SLC2A9","GeneCards"
"RASA1","GeneCards"
"TSC1","GeneCards"
"CD14","GeneCards"
"ITLN1","GeneCards"
"MIRLET7C","GeneCards"
"FADS1","GeneCards"
"ECE1","GeneCards"
"CYP2C19","GeneCards"
"PLIN2","GeneCards"
"CUL9","GeneCards"
"CCDC92","GeneCards"
"CHRNA7","GeneCards"
"ACAT1","GeneCards"
"UTS2R","GeneCards"
"CDAN1","GeneCards"
"MMP12","GeneCards"
"FLT1","GeneCards"
"NQO1","GeneCards"
"LOC126805877","GeneCards"
"HDC","GeneCards"
"PLAUR","GeneCards"
"GSTM2","GeneCards"
"OSBP","GeneCards"
"CCR5","GeneCards"
"DNASE1L3","GeneCards"
"NIPSNAP3B","GeneCards"
"SPTLC1","GeneCards"
"FAS","GeneCards"
"APLNR","GeneCards"
"GLO1","GeneCards"
"PGF","GeneCards"
"TTTY15","GeneCards"
"PIK3R1","GeneCards"
"CD1D","GeneCards"
"MPO","GeneCards"
"MT-RNR1","GeneCards"
"MT-TL2","GeneCards"
"COL1A2","GeneCards"
"PARP1","GeneCards"
"HMGB1","GeneCards"
"LRP5","GeneCards"
"MT-TL1","GeneCards"
"NTNG1","GeneCards"
"LOC125146421","GeneCards"
"CLU","GeneCards"
"F3","GeneCards"
"BAX","GeneCards"
"WNT5A","GeneCards"
"IL12A","GeneCards"
"ESM1","GeneCards"
"CDSN","GeneCards"
"CAV2","GeneCards"
"MIR320A","GeneCards"
"CHST1","GeneCards"
"TERT","GeneCards"
"IL4","GeneCards"
"GPBAR1","GeneCards"
"KRT6A","GeneCards"
"KRT6B","GeneCards"
"KRT6C","GeneCards"
"HOXC13","GeneCards"
"HOXA-AS2","GeneCards"
"MIR133B","GeneCards"
"SMO","GeneCards"
"ITGAV","GeneCards"
"COL2A1","GeneCards"
"AGAP2-AS1","GeneCards"
"GSR","GeneCards"
"ACKR3","GeneCards"
"NR0B2","GeneCards"
"ADAMTS1","GeneCards"
"CHIT1","GeneCards"
"HHIPL1","GeneCards"
"FOXP3","GeneCards"
"C1QTNF1","GeneCards"
"IFNG","GeneCards"
"FOXO1","GeneCards"
"PTX3","GeneCards"
"UBE2L3","GeneCards"
"C1QTNF9B","GeneCards"
"F11R","GeneCards"
"SMAD7","GeneCards"
"TNFSF10","GeneCards"
"HNF1B","GeneCards"
"LOC129931597","GeneCards"
"MFGE8","GeneCards"
"TIMP2","GeneCards"
"ABCC1","GeneCards"
"CCL21","GeneCards"
"ERCC6","GeneCards"
"HPSE","GeneCards"
"CXCR6","GeneCards"
"KEAP1","GeneCards"
"NRP2","GeneCards"
"NFKBIA","GeneCards"
"MIR217","GeneCards"
"LOC114803475","GeneCards"
"BRAF","GeneCards"
"NEUROD1","GeneCards"
"PDX1","GeneCards"
"PAX4","GeneCards"
"IGFBP3","GeneCards"
"GPR55","GeneCards"
"SERPIND1","GeneCards"
"TNFRSF12A","GeneCards"
"SIRT6","GeneCards"
"IRX2-DT","GeneCards"
"TYRO3","GeneCards"
"SRFBP1","GeneCards"
"BRCA1","GeneCards"
"ADA","GeneCards"
"KL","GeneCards"
"MIR451A","GeneCards"
"IL1RN","GeneCards"
"MIR30C1","GeneCards"
"RXRA","GeneCards"
"VCAN","GeneCards"
"CASR","GeneCards"
"APEX1","GeneCards"
"TNFSF11","GeneCards"
"MIR223","GeneCards"
"PRL","GeneCards"
"AQP1","GeneCards"
"TJP1","GeneCards"
"CTSK","GeneCards"
"KRT16","GeneCards"
"LINC01389","GeneCards"
"LOC108491825","GeneCards"
"SRP14-DT","GeneCards"
"ENSG00000226530","GeneCards"
"EGFR","GeneCards"
"KISS1R","GeneCards"
"LPCAT4","GeneCards"
"EZH2","GeneCards"
"MYD88","GeneCards"
"RAC1","GeneCards"
"CNR2","GeneCards"
"NOX1","GeneCards"
"AGTR2","GeneCards"
"MIR34A","GeneCards"
"IFNGR2","GeneCards"
"GPNMB","GeneCards"
"CD40LG","GeneCards"
"NCOR1","GeneCards"
"ZEB1","GeneCards"
"MIR140","GeneCards"
"NAXE","GeneCards"
"MMP7","GeneCards"
"ABCA8","GeneCards"
"E2F1","GeneCards"
"DIAPH1","GeneCards"
"NR4A2","GeneCards"
"FGF21","GeneCards"
"IGFBP1","GeneCards"
"UCP2","GeneCards"
"COMT","GeneCards"
"MIR29A","GeneCards"
"BECN1","GeneCards"
"HDAC1","GeneCards"
"IL1F10","GeneCards"
"TRD-GTC9-1","GeneCards"
"SERPINA1","GeneCards"
"SLC5A2","GeneCards"
"PLA2G2A","GeneCards"
"GP6","GeneCards"
"PTK2","GeneCards"
"USF1","GeneCards"
"SOD3","GeneCards"
"DCHS1","GeneCards"
"EIF1AD","GeneCards"
"APOGCDS","GeneCards"
"TTR","GeneCards"
"TNFRSF9","GeneCards"
"PLA2G5","GeneCards"
"PLAT","GeneCards"
"ANGPTL2","GeneCards"
"PRKAA1","GeneCards"
"TRAF6","GeneCards"
"CDK2","GeneCards"
"ITGB7","GeneCards"
"BDNF","GeneCards"
"TRE-TTC3-1","GeneCards"
"BSG","GeneCards"
"MIF","GeneCards"
"KLF14","GeneCards"
"MET","GeneCards"
"FTO","GeneCards"
"GPR146","GeneCards"
"MIR4306","GeneCards"
"PTGES","GeneCards"
"BRAP","GeneCards"
"MIR34C","GeneCards"
"SPARC","GeneCards"
"TSPO","GeneCards"
"TSC2","GeneCards"
"MIR378A","GeneCards"
"OSM","GeneCards"
"HOXA5","GeneCards"
"AIM2","GeneCards"
"IL20","GeneCards"
"LTC4S","GeneCards"
"MIR224","GeneCards"
"NFKB2","GeneCards"
"TCF7L2","GeneCards"
"IDH2","GeneCards"
"NLRP1","GeneCards"
"CEBPA","GeneCards"
"ARRB2","GeneCards"
"SNORD15A","GeneCards"
"PRKAG2","GeneCards"
"ALPL","GeneCards"
"PADI4","GeneCards"
"C4B","GeneCards"
"CCR6","GeneCards"
"KRAS","GeneCards"
"MAP3K3","GeneCards"
"NF1","GeneCards"
"CELSR1","GeneCards"
"AKT2","GeneCards"
"FN1","GeneCards"
"THSD4","GeneCards"
"KIF11","GeneCards"
"CR2","GeneCards"
"HSPA7","GeneCards"
"PIK3CB","GeneCards"
"PTOV1","GeneCards"
"G6PC1","GeneCards"
"ABO","GeneCards"
"MIR148B","GeneCards"
"JAZF1","GeneCards"
"LRP2","GeneCards"
"HEY2","GeneCards"
"ANKRD1","GeneCards"
"LAMP2","GeneCards"
"STAT6","GeneCards"
"BCL6","GeneCards"
"ADAMTS17","GeneCards"
"GATA5","GeneCards"
"FKBP14","GeneCards"
"STAMBPL1","GeneCards"
"ZEB2-AS1","GeneCards"
"HPX","GeneCards"
"MAGI2","GeneCards"
"CACNA1C","GeneCards"
"AOC3","GeneCards"
"NR3C2","GeneCards"
"PDGFRA","GeneCards"
"ENTPD1","GeneCards"
"THBS4","GeneCards"
"PIK3C2G","GeneCards"
"CD59","GeneCards"
"MIR188","GeneCards"
"ERCC5","GeneCards"
"GC","GeneCards"
"IL19","GeneCards"
"POU5F1","GeneCards"
"KLF15","GeneCards"
"GJC2","GeneCards"
"RBP4","GeneCards"
"MAPK11","GeneCards"
"SLC16A3","GeneCards"
"SHBG","GeneCards"
"MIR106A","GeneCards"
"MIR1224","GeneCards"
"PLOD1","GeneCards"
"ADAMTSL4","GeneCards"
"SLC39A13","GeneCards"
"FANCF","GeneCards"
"ZNF469","GeneCards"
"TONSL-AS1","GeneCards"
"CASC8","GeneCards"
"HEIH","GeneCards"
"IFNG-AS1","GeneCards"
"LINC01480","GeneCards"
"EZR-AS1","GeneCards"
"LINC00968","GeneCards"
"PAK4-AS1","GeneCards"
"HSPA5","GeneCards"
"GNB3","GeneCards"
"AEBP1","GeneCards"
"IL1R1","GeneCards"
"SOD2","GeneCards"
"PRKAB1","GeneCards"
"CYP2C8","GeneCards"
"IFNGR1","GeneCards"
"EMSLR","GeneCards"
"USP24","GeneCards"
"ZFYVE21","GeneCards"
"RASSF9","GeneCards"
"FGF19","GeneCards"
"MAPT","GeneCards"
"JAG1","GeneCards"
"SPEG","GeneCards"
"GPT","GeneCards"
"NR4A3","GeneCards"
"SLCO2B1","GeneCards"
"DNMT3B","GeneCards"
"TNNT2","GeneCards"
"SFTPD","GeneCards"
"TFEB","GeneCards"
"EDN1","GeneCards"
"ITGA2","GeneCards"
"YAP1","GeneCards"
"PF4V1","GeneCards"
"DKK1","GeneCards"
"FAU","GeneCards"
"UGT1A1","GeneCards"
"CDA","GeneCards"
"LIPH","GeneCards"
"FFAR2","GeneCards"
"SHC1","GeneCards"
"SQSTM1","GeneCards"
"SOST","GeneCards"
"MYC","GeneCards"
"ME1","GeneCards"
"ROCK1","GeneCards"
"DUSP1","GeneCards"
"PTAFR","GeneCards"
"KCNH2","GeneCards"
"UBC","GeneCards"
"PTPRC","GeneCards"
"HRAS","GeneCards"
"STAMBP","GeneCards"
"EP300","GeneCards"
"SOX18","GeneCards"
"APOBEC1","GeneCards"
"TRIB3","GeneCards"
"SPRED1","GeneCards"
"MDM2","GeneCards"
"CCT7","GeneCards"
"CCBE1","GeneCards"
"TRAF3","GeneCards"
"TERF2","GeneCards"
"CD63","GeneCards"
"MIR191","GeneCards"
"NOX5","GeneCards"
"SHOC2","GeneCards"
"PTPN14","GeneCards"
"ELMO2","GeneCards"
"LZTR1","GeneCards"
"PDCD10","GeneCards"
"GNA14","GeneCards"
"KEL","GeneCards"
"IGHG1","GeneCards"
"SNHG7","GeneCards"
"PAOD1","GeneCards"
