"gene","source"
"GUCY1A1","GeneCards"
"TP53","GeneCards"
"ANGPTL8","GeneCards"
"CYP7B1","GeneCards"
"DNMT3A","GeneCards"
"GJA5","GeneCards"
"SGPP1","GeneCards"
"PPARGC1A","GeneCards"
"ITIH4","GeneCards"
"HPS1","GeneCards"
"HPS4","GeneCards"
"HPS5","GeneCards"
"VEGFC","GeneCards"
"ABCG2","GeneCards"
"MIR122","GeneCards"
"AKT1","GeneCards"
"TNFRSF11A","GeneCards"
"PIK3CG","GeneCards"
"NPC1","GeneCards"
"APP","GeneCards"
"AHR","GeneCards"
"ELANE","GeneCards"
"TP53I3","GeneCards"
"CFH","GeneCards"
"MMP1","GeneCards"
"GLB1","GeneCards"
"PDCD1","GeneCards"
"TET2","GeneCards"
"PLIN1","GeneCards"
"PDGFRB","GeneCards"
"MECP2","GeneCards"
"LPAL2","GeneCards"
"CXCL10","GeneCards"
"ABL1","GeneCards"
"HPS6","GeneCards"
"GCK","GeneCards"
"MAP1LC3A","GeneCards"
"PTGIS","GeneCards"
"SCD","GeneCards"
"MTTP","GeneCards"
"CXCL8","GeneCards"
"WAS","GeneCards"
"REN","GeneCards"
"CHEK1","GeneCards"
"COL5A1","GeneCards"
"POSTN","GeneCards"
"NINJ1","GeneCards"
"LGALS2","GeneCards"
"CAT","GeneCards"
"CYP1A1","GeneCards"
"LTA","GeneCards"
"MAP2K1","GeneCards"
"ACLY","GeneCards"
"SMARCAL1","GeneCards"
"MAPK3","GeneCards"
"TRPM6","GeneCards"
"MIR17","GeneCards"
"MIR214","GeneCards"
"ATF3","GeneCards"
"SKI","GeneCards"
"GATA2","GeneCards"
"MCFD2","GeneCards"
"NOS1","GeneCards"
"APCDD1","GeneCards"
"GNAS","GeneCards"
"SOCS1","GeneCards"
"SCARB2","GeneCards"
"GCLC","GeneCards"
"FCGR2A","GeneCards"
"PRKCD","GeneCards"
"HOTAIR","GeneCards"
"KLF11","GeneCards"
"SERPINC1","GeneCards"
"PARP15","GeneCards"
"SERPINF1","GeneCards"
"WIZ","GeneCards"
"SLC2A1","GeneCards"
"NFKB1","GeneCards"
"ETS1","GeneCards"
"METTL14","GeneCards"
"ABCA1","TTD"
"ACAA2","TTD"
"ADORA2A","TTD"
"ADRB1","TTD"
"APOA1","TTD"
"CCR2","TTD"
"CES1","TTD"
"CETP","TTD"
"CFB","TTD"
"F9","TTD"
"FGF1","TTD"
"FGFR1","TTD"
"FGFR3","TTD"
"GP6","TTD"
"GRIA","TTD"
"HCAR2","TTD"
"HMGCR","TTD"
"HTR1A","TTD"
"HTR2B","TTD"
"IL1A","TTD"
"LCAT","TTD"
"LIPG","TTD"
"MMP-12","TTD"
"NOS2","TTD"
"NOS3","TTD"
"NR1H","TTD"
"OLR1","TTD"
"PCSK9","TTD"
"PDGFR","TTD"
"PK","TTD"
"PTGDR","TTD"
"PTGDR2","TTD"
"PTGER2","TTD"
"PTGFR","TTD"
"PTGIR","TTD"
"RORG","TTD"
"SELP","TTD"
"SQLE","TTD"
"TBXA2R","TTD"
"ALOX5","OMIM"
"ALP","OMIM"
"ATHS","OMIM"
"LINC01272","OMIM"
"PELATON","OMIM"
"ALB","DrugBank"
"ALPL","DrugBank"
"DDC","DrugBank"
"PDXP","DrugBank"
"CYP1A1","DrugBank"
"PDXK","DrugBank"
