rmsd_nm,rg_nm,dg_kjmol
7.466372203389830264e-02,1.652244067796609928e+00,4.407601475545430247e+00
7.631158474576270334e-02,1.652244067796609928e+00,3.934964823067240047e+00
7.795944745762710404e-02,1.652244067796609928e+00,3.595888849780839891e+00
7.960731016949150474e-02,1.652244067796609928e+00,3.415537464419939884e+00
8.125517288135590543e-02,1.652244067796609928e+00,3.404681300987889792e+00
8.290303559322030613e-02,1.652244067796609928e+00,3.567529543521990032e+00
8.455089830508470683e-02,1.652244067796609928e+00,3.905451472782679900e+00
8.619876101694909365e-02,1.652244067796609928e+00,4.418616191185440023e+00
8.784662372881349435e-02,1.652244067796609928e+00,5.106651958136030345e+00
8.949448644067800607e-02,1.652244067796609928e+00,5.968823818396730374e+00
9.114234915254240676e-02,1.652244067796609928e+00,7.003922457317339756e+00
9.279021186440679358e-02,1.652244067796609928e+00,8.209908955546140419e+00
9.443807457627119428e-02,1.652244067796609928e+00,9.583286747829090402e+00
9.608593728813559498e-02,1.652244067796609928e+00,1.111814622933409957e+01
9.773379999999999568e-02,1.652244067796609928e+00,1.280487072596440079e+01
5.098999999999999800e-04,1.652818135593220106e+00,4.696241772152879967e+00
2.157762711864400027e-03,1.652818135593220106e+00,4.796139302437990359e+00
3.805625423728799857e-03,1.652818135593220106e+00,5.095831893293330417e+00
5.453488135593200122e-03,1.652818135593220106e+00,5.595319544718879712e+00
7.101350847457599952e-03,1.652818135593220106e+00,6.294602256714649791e+00
8.749213559322000650e-03,1.652818135593220106e+00,7.193680029280650423e+00
1.039707627118639961e-02,1.652818135593220106e+00,8.292552862416869175e+00
1.204493898305080031e-02,1.652818135593220106e+00,9.591220756123300717e+00
1.369280169491529989e-02,1.652818135593220106e+00,1.108968371039989975e+01
1.534066440677970058e-02,1.652818135593220106e+00,1.278794172524620087e+01
1.698852711864410128e-02,1.652818135593220106e+00,1.468599480065059915e+01
1.863638983050849851e-02,1.652818135593220106e+00,1.678384293638969993e+01
2.028425254237289921e-02,1.652818135593220106e+00,1.908148612807859834e+01
2.193211525423729991e-02,1.652818135593220106e+00,2.157892428968330023e+01
2.357997796610170060e-02,1.652818135593220106e+00,2.427615573238369961e+01
2.522784067796610130e-02,1.652818135593220106e+00,2.717314729147580010e+01
2.687570338983049853e-02,1.652818135593220106e+00,3.026924752475650138e+01
2.852356610169489923e-02,1.652818135593220106e+00,3.355169540954899787e+01
3.017142881355929993e-02,1.652818135593220106e+00,3.678471173627300317e+01
3.181929152542369715e-02,1.652818135593220106e+00,3.776489458398619803e+01
3.346715423728809785e-02,1.652818135593220106e+00,3.506896253323520085e+01
3.511501694915249855e-02,1.652818135593220106e+00,3.178382973584639970e+01
3.676287966101689925e-02,1.652818135593220106e+00,2.864907863303709945e+01
3.841074237288139709e-02,1.652818135593220106e+00,2.571085781413799864e+01
4.005860508474579779e-02,1.652818135593220106e+00,2.297156879484419889e+01
4.170646779661019848e-02,1.652818135593220106e+00,2.043135925168170175e+01
4.335433050847459918e-02,1.652818135593220106e+00,1.809025852818579949e+01
4.500219322033899988e-02,1.652818135593220106e+00,1.594828435362349950e+01
4.665005593220340058e-02,1.652818135593220106e+00,1.400544495544570012e+01
4.829791864406780127e-02,1.652818135593220106e+00,1.226173295366520044e+01
4.994578135593220197e-02,1.652818135593220106e+00,1.071711288192689970e+01
5.159364406779660267e-02,1.652818135593220106e+00,9.371495797623909496e+00
5.324150677966100337e-02,1.652818135593220106e+00,8.224685973147369822e+00
5.488936949152539713e-02,1.652818135593220106e+00,7.276266004456079628e+00
5.653723220338979782e-02,1.652818135593220106e+00,6.525344292053680384e+00
5.818509491525419852e-02,1.652818135593220106e+00,5.969992929937030013e+00
5.983295762711859922e-02,1.652818135593220106e+00,5.605991326397010255e+00
6.148082033898299992e-02,1.652818135593220106e+00,5.424045962891139716e+00
6.312868305084749776e-02,1.652818135593220106e+00,5.403869725041699823e+00
6.477654576271189846e-02,1.652818135593220106e+00,5.502823906678369958e+00
6.642440847457629916e-02,1.652818135593220106e+00,5.639591089918000399e+00
6.807227118644069985e-02,1.652818135593220106e+00,5.688996984406889723e+00
6.972013389830510055e-02,1.652818135593220106e+00,5.528296092270309714e+00
7.136799661016950125e-02,1.652818135593220106e+00,5.131321882175019944e+00
7.301585932203390195e-02,1.652818135593220106e+00,4.592002046094430412e+00
7.466372203389830264e-02,1.652818135593220106e+00,4.039862389447299584e+00
7.631158474576270334e-02,1.652818135593220106e+00,3.569721867160919881e+00
7.795944745762710404e-02,1.652818135593220106e+00,3.233388780308149801e+00
7.960731016949150474e-02,1.652818135593220106e+00,3.055228510698190014e+00
8.125517288135590543e-02,1.652818135593220106e+00,3.045719460615520013e+00
8.290303559322030613e-02,1.652818135593220106e+00,3.208990013877630165e+00
8.455089830508470683e-02,1.652818135593220106e+00,3.546403414562880219e+00
8.619876101694909365e-02,1.652818135593220106e+00,4.058131990853289572e+00
8.784662372881349435e-02,1.652818135593220106e+00,4.743772245089750150e+00
8.949448644067800607e-02,1.652818135593220106e+00,5.602474230315570125e+00
9.114234915254240676e-02,1.652818135593220106e+00,6.632763191687610416e+00
9.279021186440679358e-02,1.652818135593220106e+00,7.832087035619959892e+00
9.443807457627119428e-02,1.652818135593220106e+00,9.196054804240610281e+00
9.608593728813559498e-02,1.652818135593220106e+00,1.071732255425319913e+01
9.773379999999999568e-02,1.652818135593220106e+00,1.238417464646230037e+01
5.098999999999999800e-04,1.653392203389830062e+00,4.777062907020730442e+00
2.157762711864400027e-03,1.653392203389830062e+00,4.876960437305839946e+00
3.805625423728799857e-03,1.653392203389830062e+00,5.176653028161170234e+00
5.453488135593200122e-03,1.653392203389830062e+00,5.676140679586730187e+00
7.101350847457599952e-03,1.653392203389830062e+00,6.375423391582500265e+00
8.749213559322000650e-03,1.653392203389830062e+00,7.274501164148500010e+00
1.039707627118639961e-02,1.653392203389830062e+00,8.373373997284710768e+00
1.204493898305080031e-02,1.653392203389830062e+00,9.672041890991149415e+00
1.369280169491529989e-02,1.653392203389830062e+00,1.117050484526779996e+01
1.534066440677970058e-02,1.653392203389830062e+00,1.286876286011390036e+01
1.698852711864410128e-02,1.653392203389830062e+00,1.476681593551600002e+01
1.863638983050849851e-02,1.653392203389830062e+00,1.686466407121049826e+01
2.028425254237289921e-02,1.653392203389830062e+00,1.916230726203529855e+01
2.193211525423729991e-02,1.653392203389830062e+00,2.165974540687090055e+01
2.357997796610170060e-02,1.653392203389830062e+00,2.435697652390500068e+01
2.522784067796610130e-02,1.653392203389830062e+00,2.725396175394000053e+01
2.687570338983049853e-02,1.653392203389830062e+00,3.034993893906749918e+01
2.852356610169489923e-02,1.653392203389830062e+00,3.363000755873070347e+01
3.017142881355929993e-02,1.653392203389830062e+00,3.682193021281239709e+01
3.181929152542369715e-02,1.653392203389830062e+00,3.757270233616490174e+01
3.346715423728809785e-02,1.653392203389830062e+00,3.477847466303450119e+01
3.511501694915249855e-02,1.653392203389830062e+00,3.148919404600859906e+01
3.676287966101689925e-02,1.653392203389830062e+00,2.835695518605270138e+01
3.841074237288139709e-02,1.653392203389830062e+00,2.542147324824719945e+01
4.005860508474579779e-02,1.653392203389830062e+00,2.268482051335760019e+01
4.170646779661019848e-02,1.653392203389830062e+00,2.014713026691280007e+01
4.335433050847459918e-02,1.653392203389830062e+00,1.780843282069150035e+01
4.500219322033899988e-02,1.653392203389830062e+00,1.566874675781570048e+01
4.665005593220340058e-02,1.653392203389830062e+00,1.372807971002050031e+01
4.829791864406780127e-02,1.653392203389830062e+00,1.198642127697319992e+01
4.994578135593220197e-02,1.653392203389830062e+00,1.044372896438090059e+01
5.159364406779660267e-02,1.653392203389830062e+00,9.099900036009849202e+00
5.324150677966100337e-02,1.653392203389830062e+00,7.954713234408740341e+00
5.488936949152539713e-02,1.653392203389830062e+00,7.007704657282750382e+00
5.653723220338979782e-02,1.653392203389830062e+00,6.257897665700060230e+00
5.818509491525419852e-02,1.653392203389830062e+00,5.703206859845960430e+00
5.983295762711859922e-02,1.653392203389830062e+00,5.339116665464850087e+00
6.148082033898299992e-02,1.653392203389830062e+00,5.155782337184880326e+00
6.312868305084749776e-02,1.653392203389830062e+00,5.131924648949289569e+00
6.477654576271189846e-02,1.653392203389830062e+00,5.223325720510249681e+00
6.642440847457629916e-02,1.653392203389830062e+00,5.346936652421460323e+00
6.807227118644069985e-02,1.653392203389830062e+00,5.377801721990720374e+00
6.972013389830510055e-02,1.653392203389830062e+00,5.198072460714939780e+00
7.136799661016950125e-02,1.653392203389830062e+00,4.788427552443979884e+00
7.301585932203390195e-02,1.653392203389830062e+00,4.244730208159450235e+00
7.466372203389830264e-02,1.653392203389830062e+00,3.693627772488380145e+00
7.631158474576270334e-02,1.653392203389830062e+00,3.226669333956869945e+00
7.795944745762710404e-02,1.653392203389830062e+00,2.893762315550210129e+00
