"group","celltype","gene","expr"
"Steady","Fibroblasts","Csf1r",0.156225111819181
"Steady","Granulocytes","Il1r1",0.0117157788338627
"Steady","Granulocytes","Cd44",1.77665081257239
"Steady","Granulocytes","Il1b",3.65018389620985
"Steady","Granulocytes","Cxcr3",0.0153746456607483
"Steady","Granulocytes","Il6ra",0.822911418949932
"Steady","Granulocytes","Csf1",0.49544680010136
"Steady","Granulocytes","Il6",0
"Steady","Granulocytes","Cxcl10",0.0210853152941026
"Steady","Granulocytes","Spp1",0.0394671585564082
"Steady","Granulocytes","Flt1",0.0674675078130113
"Steady","Granulocytes","Tnfrsf1a",0.917418496207523
"Steady","Granulocytes","Ccr2",0.182297620728209
"Steady","Granulocytes","Ccl2",0.785219935768419
"Steady","Granulocytes","Tnf",0.314400556478153
"Steady","Granulocytes","Vegfa",0.135301717093304
"Steady","Granulocytes","Csf1r",0.817590892972204
"Steady","Macrophages","Il1r1",0.00797633698743264
"Steady","Macrophages","Cd44",0.607865168301814
"Steady","Macrophages","Il1b",0.67482668643091
"Steady","Macrophages","Cxcr3",0.0168608945867119
"Steady","Macrophages","Il6ra",1.17094656488996
"Steady","Macrophages","Csf1",0.0311952145190742
"Steady","Macrophages","Il6",0.019648591165291
"Steady","Macrophages","Cxcl10",0.139947916163543
"Steady","Macrophages","Spp1",0.0222541146499351
"Steady","Macrophages","Flt1",0.0929650953623992
"Steady","Macrophages","Tnfrsf1a",0.69678418088417
"Steady","Macrophages","Ccr2",0.181370644278833
"Steady","Macrophages","Ccl2",1.0173295440967
"Steady","Macrophages","Tnf",0.456284280449578
"Steady","Macrophages","Vegfa",0.00340527563539725
"Steady","Macrophages","Csf1r",2.51362522968503
"Steady","Monocytes","Il1r1",0.0162084379937479
"Steady","Monocytes","Cd44",1.27531880901674
"Steady","Monocytes","Il1b",1.26868997715641
"Steady","Monocytes","Cxcr3",0.0904740905859756
"Steady","Monocytes","Il6ra",1.12310760696128
"Steady","Monocytes","Csf1",0.0310249828446633
"Steady","Monocytes","Il6",0.0480705179203473
"Steady","Monocytes","Cxcl10",0.260177913355598
"Steady","Monocytes","Spp1",0.170809344027496
"Steady","Monocytes","Flt1",0.124779338610256
"Steady","Monocytes","Tnfrsf1a",0.617797685394133
"Steady","Monocytes","Ccr2",1.6817819174147
"Steady","Monocytes","Ccl2",0.658916303321292
"Steady","Monocytes","Tnf",0.369647150098178
"Steady","Monocytes","Vegfa",0.0280160602524314
"Steady","Monocytes","Csf1r",1.68646852153608
"Steady","Pericytes","Il1r1",0.53430899213415
"Steady","Pericytes","Cd44",0.0491190912074532
"Steady","Pericytes","Il1b",0.031539823700516
"Steady","Pericytes","Cxcr3",0.0053311627984992
"Steady","Pericytes","Il6ra",0.0760188714039014
"Steady","Pericytes","Csf1",0.160739721620371
"Steady","Pericytes","Il6",0
"Steady","Pericytes","Cxcl10",0.00331158963577454
"Steady","Pericytes","Spp1",0
"Steady","Pericytes","Flt1",1.39799275359026
"Steady","Pericytes","Tnfrsf1a",0.600327129516884
"Steady","Pericytes","Ccr2",0.0264300620264681
"Steady","Pericytes","Ccl2",0.117780572658927
"Steady","Pericytes","Tnf",0.0283211661373927
"Steady","Pericytes","Vegfa",0.0641758717033966
"Steady","Pericytes","Csf1r",0.163920530076461
"Steady","T-cells","Il1r1",0.0415133884018352
"Steady","T-cells","Cd44",0.557764761152327
"Steady","T-cells","Il1b",0.437849190777721
"Steady","T-cells","Cxcr3",0.16921855551237
"Steady","T-cells","Il6ra",0.844495318851602
"Steady","T-cells","Csf1",0.0603730484502183
"Steady","T-cells","Il6",0.0206180196600221
"Steady","T-cells","Cxcl10",0.0406047171240374
"Steady","T-cells","Spp1",0.0325811019394687
"Steady","T-cells","Flt1",0.0702645547840087
"Steady","T-cells","Tnfrsf1a",0.440491471591344
"Steady","T-cells","Ccr2",0.639008693249499
"Steady","T-cells","Ccl2",0.566132623037104
"Steady","T-cells","Tnf",0.265630636849147
"Steady","T-cells","Vegfa",0.0301963509760484
"Steady","T-cells","Csf1r",1.34617825177854
