"gene","log2FC","pvalue","padj","pct.1","pct.2"
"Pou2f2",1.18664911915558,2.35427566938062e-132,6.30004169126253e-128,0.666,0.375
"Syne2",-1.81847889463988,4.63612543396742e-132,1.24062716612968e-127,0.301,0.557
"Prex2",-2.31902564156186,6.2347043176289e-132,1.66840687539749e-127,0.087,0.345
"Pycard",1.4045564252018,1.86109013961533e-131,4.98027721361062e-127,0.624,0.364
"Ccl7",1.91743527565758,4.50813792158867e-131,1.20637770781713e-126,0.465,0.186
"Ptprb",-2.6697167693083,6.55279967636396e-129,1.75352919339499e-124,0.096,0.347
"Cyth4",0.939333587004538,1.06148919925157e-128,2.8405450971972e-124,0.755,0.453
"Unc93b1",0.930077684743836,1.36639113890877e-128,3.65646268771987e-124,0.811,0.559
"Mast4",-2.33062059243254,2.72736224653187e-128,7.2984213717193e-124,0.093,0.346
"Hck",1.69157092437296,2.93789186747189e-128,7.86179863735478e-124,0.504,0.236
"Ncf4",1.48945760495884,4.49375869639964e-128,1.20252982715654e-123,0.554,0.287
"Selplg",1.14940575744369,9.21216225719993e-128,2.4651746200267e-123,0.645,0.373
"Ctsb",0.87470676885794,1.16618474599955e-127,3.1207103802948e-123,0.916,0.78
"Retnlg",5.28539304514776,1.18225218695497e-127,3.16370685229149e-123,0.2,0.008
"Klf9",-1.5439237620256,3.35921611848968e-127,8.98926233307838e-123,0.415,0.647
"Pf4",0.836715886055,3.68075424907084e-127,9.84969837051357e-123,0.861,0.552
"Kmt2a",-1.27344206221729,6.86580484571232e-127,1.83728937671262e-122,0.483,0.701
"Heg1",-2.40094310526151,1.1685719542199e-126,3.12709854949245e-122,0.099,0.345
"Ctsh",0.936949751681244,5.3790331069528e-126,1.43942925942057e-121,0.798,0.537
"Ecm2",-3.3785296354135,4.75355036493033e-125,1.27205007765536e-120,0.04,0.242
"Cd68",0.994522395729836,6.26436566306921e-125,1.67634425143732e-120,0.729,0.425
"Mat2a",-1.06548895533349,1.92860358473971e-124,5.16094319276348e-120,0.59,0.753
"Cxcl2",1.54726107343692,2.22651549512691e-124,5.95815546495962e-120,0.559,0.281
"Pdzd2",-2.60944671462569,7.52343456154941e-124,2.01327108867062e-119,0.071,0.3
"Rpl37",0.482323815634616,1.12353883261512e-123,3.00658991607805e-119,0.96,0.944
"Ece1",-2.10218773460325,1.64722100207343e-123,4.4079634015485e-119,0.135,0.385
"Nid1",-2.97014335611034,3.5871114392435e-123,9.5991102114156e-119,0.077,0.309
"Rps9",0.513619312405331,3.7249634342765e-123,9.96800215012392e-119,0.967,0.949
"Jam2",-2.31032660737311,3.14374956773051e-122,8.41267384324683e-118,0.098,0.349
"Tek",-2.45354612229776,3.65730821942955e-122,9.78695679519349e-118,0.072,0.3
"Ctsd",1.05809217324346,1.77795581988732e-121,4.75780977401847e-117,0.828,0.661
"Sptan1",-1.3619658801797,1.72670376819057e-120,4.62065928367797e-116,0.509,0.722
"Gm10076",0.840058117878161,1.80524041900112e-120,4.83082336124699e-116,0.82,0.661
"Bptf",-0.967830768619883,3.33873947346031e-120,8.93446683097978e-116,0.583,0.732
"Hexa",0.92508525364828,6.93402181112082e-120,1.85554423665593e-115,0.802,0.6
"Cdh5",-2.35771106498093,9.97487997444355e-120,2.66927788116109e-115,0.108,0.352
"Prdx5",1.3781149105855,3.48475015911364e-119,9.3251914257881e-115,0.769,0.584
"Ly86",1.02990407168245,4.78829442412105e-119,1.28134758789479e-114,0.722,0.455
"Atp5e",0.625247346974601,3.87084985720283e-118,1.03583942178748e-113,0.887,0.806
"Itga1",-2.20526785619691,5.59608342094263e-118,1.49751192344425e-113,0.11,0.356
"Arhgap29",-2.3087384117505,7.16611778220805e-118,1.91765311851887e-113,0.104,0.354
"Pltp",1.09838636335618,1.22335853365076e-117,3.27370743604942e-113,0.79,0.581
"Tjp1",-2.11156916985734,1.29424497229829e-117,3.46339954587023e-113,0.088,0.322
"Gng5",0.55023573302472,1.59518505487792e-117,4.26871520685331e-113,0.911,0.862
"Samsn1",1.96289947512057,4.44938903349827e-117,1.19065650536414e-112,0.375,0.135
"Ets1",-1.90865946089463,9.25732400038218e-117,2.47725990250227e-112,0.218,0.481
"Spag9",-1.12193172978265,4.00174941051435e-116,1.07086814225364e-111,0.577,0.755
"Slc9a3r2",-1.50894956047879,5.77209303366265e-116,1.54461209580813e-111,0.222,0.47
"Lcn2",6.1103887748342,1.27655932185529e-115,3.41607274528475e-111,0.197,0.011
"Cd200",-1.86711486356329,1.35793334083547e-115,3.63382962007571e-111,0.104,0.342
"Aif1",1.05006708898377,2.45009780608698e-115,6.55646172908875e-111,0.702,0.426
"Mprip",-1.65812068530784,3.23872238000489e-115,8.66682108889308e-111,0.291,0.549
