"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast"
"Smad7",-1.03249756705565,5.64393450478089e-26,1.51031687347937e-21,0.072,0.166,"macrophage_FindMarkers","CLP vs Steady"
"Epn2",-1.10865320221886,1.96084029353542e-25,5.24720862550078e-21,0.076,0.162,"macrophage_FindMarkers","CLP vs Steady"
"Snhg5",-1.04462622860909,3.53825262974539e-25,9.46836403719867e-21,0.086,0.173,"macrophage_FindMarkers","CLP vs Steady"
"Plscr1",1.65696608811582,5.73663776388986e-25,1.53512426561693e-20,0.121,0.051,"macrophage_FindMarkers","CLP vs Steady"
"Egr3",-1.00683941591782,6.48193498728685e-25,1.73456580259796e-20,0.114,0.211,"macrophage_FindMarkers","CLP vs Steady"
"Zbtb10",-1.18474894266483,8.54488128245246e-25,2.28661023118428e-20,0.041,0.105,"macrophage_FindMarkers","CLP vs Steady"
"Spn",1.31924891296444,8.62395306658345e-25,2.30776984061773e-20,0.229,0.142,"macrophage_FindMarkers","CLP vs Steady"
"Ttbk2",-1.0367362565615,3.47538381656494e-24,9.30012709312778e-20,0.05,0.117,"macrophage_FindMarkers","CLP vs Steady"
"Gm48565",-1.08627878910151,4.36288280086065e-24,1.16750743751031e-19,0.057,0.136,"macrophage_FindMarkers","CLP vs Steady"
"Rfx2",-1.24603316496616,1.60676660362156e-23,4.29970743129129e-19,0.045,0.108,"macrophage_FindMarkers","CLP vs Steady"
"Gm26759",-1.04015840458599,5.52509672018454e-23,1.47851588232138e-18,0.042,0.105,"macrophage_FindMarkers","CLP vs Steady"
"Irak3",1.03725402784429,6.73634021542108e-23,1.80264464164668e-18,0.362,0.26,"macrophage_FindMarkers","CLP vs Steady"
"Ube2c",1.71515909534261,7.84481993659664e-23,2.09927381503326e-18,0.104,0.036,"macrophage_FindMarkers","CLP vs Steady"
"Rbm12",-1.00724744286,1.72986810910546e-22,4.6291270599662e-18,0.073,0.158,"macrophage_FindMarkers","CLP vs Steady"
"Dusp8",-1.33296114092361,2.73317636792643e-22,7.31397996057113e-18,0.045,0.109,"macrophage_FindMarkers","CLP vs Steady"
"Col4a1",-1.90780284152379,6.92053879008705e-22,1.85193618022729e-17,0.052,0.109,"macrophage_FindMarkers","CLP vs Steady"
"Gstp1",1.26222954018639,1.02415298118204e-21,2.74063337764315e-17,0.156,0.079,"macrophage_FindMarkers","CLP vs Steady"
"Gm43984",-1.09433159825305,4.3746533315895e-20,1.17065723153335e-15,0.066,0.15,"macrophage_FindMarkers","CLP vs Steady"
"Tal1",-1.18994332992976,5.45150165146327e-20,1.45882184193157e-15,0.063,0.145,"macrophage_FindMarkers","CLP vs Steady"
"Cela1",1.11160316352603,6.09233159366652e-20,1.63030793446516e-15,0.167,0.098,"macrophage_FindMarkers","CLP vs Steady"
"Birc5",1.69018300529903,7.09397082877533e-20,1.89834659378028e-15,0.105,0.044,"macrophage_FindMarkers","CLP vs Steady"
"Arl4d",-1.2113366723988,1.7381842235059e-19,4.65138098210179e-15,0.06,0.134,"macrophage_FindMarkers","CLP vs Steady"
"Col4a2",-1.70437909682644,1.81641931547615e-19,4.86073808821417e-15,0.052,0.117,"macrophage_FindMarkers","CLP vs Steady"
"Gm48611",-1.00594084810533,2.24965655212591e-19,6.02008093348893e-15,0.044,0.1,"macrophage_FindMarkers","CLP vs Steady"
"Slc13a3",1.34068548992151,5.4741975578165e-19,1.4648952664717e-14,0.195,0.128,"macrophage_FindMarkers","CLP vs Steady"
"Msrb1",1.14717593901541,1.10234123817962e-18,2.94986515336866e-14,0.434,0.341,"macrophage_FindMarkers","CLP vs Steady"
"4933406I18Rik",-1.20164784628633,6.65546667585355e-18,1.78100288245841e-13,0.042,0.105,"macrophage_FindMarkers","CLP vs Steady"
"Stmn1",1.24431810783004,8.71214093115643e-17,2.33136891317746e-12,0.359,0.286,"macrophage_FindMarkers","CLP vs Steady"
"Isg15",1.35172721875341,2.31878553961451e-16,6.20507010400843e-12,0.224,0.155,"macrophage_FindMarkers","CLP vs Steady"
"Sparc",-1.10902265514744,7.32598513237933e-14,1.96043362142471e-09,0.077,0.132,"macrophage_FindMarkers","CLP vs Steady"
"Pkib",1.05005925554476,2.00632358783962e-13,5.36892192105883e-09,0.184,0.116,"macrophage_FindMarkers","CLP vs Steady"
"Cdca8",1.34015172470026,9.61073504991724e-13,2.57183269935785e-08,0.123,0.072,"macrophage_FindMarkers","CLP vs Steady"
"Etl4",-1.01269372384217,5.08174754630488e-12,1.35987564339119e-07,0.062,0.112,"macrophage_FindMarkers","CLP vs Steady"
"Calml4",1.37630614981797,8.21642120641318e-12,2.19871431483617e-07,0.124,0.064,"macrophage_FindMarkers","CLP vs Steady"
"Lyz1",1.12241437066846,5.91995265785748e-11,1.58417933124266e-06,0.221,0.154,"macrophage_FindMarkers","CLP vs Steady"
"Top2a",1.039002658486,5.93121800033362e-10,1.58719393688928e-05,0.137,0.092,"macrophage_FindMarkers","CLP vs Steady"
"Dpep2",1.18869471842785,8.85340115048834e-10,2.36917014787068e-05,0.204,0.138,"macrophage_FindMarkers","CLP vs Steady"
"Igfbp7",-1.0730875710674,3.43631376729522e-09,9.195575641282e-05,0.065,0.109,"macrophage_FindMarkers","CLP vs Steady"
"Itgal",1.34473916180655,5.29154390949472e-09,0.000141601715018079,0.108,0.063,"macrophage_FindMarkers","CLP vs Steady"
"Asf1b",1.01649629477969,1.78890192444524e-08,0.000478710154981545,0.101,0.072,"macrophage_FindMarkers","CLP vs Steady"
"Atp5g2",1.05836067835507,8.43852783450925e-08,0.00225815004851468,0.113,0.067,"macrophage_FindMarkers","CLP vs Steady"
"Cks1b",1.17681995370837,1.4300780883137e-07,0.00382688896432747,0.124,0.081,"macrophage_FindMarkers","CLP vs Steady"
