"gene","log2FC","pvalue","padj"
"Dst",-0.29099268501577,0.05,0.05
"Gm37354",1.1742399245498,0.05,0.05
"Gm38157",0.527074573989676,0.05,0.05
"Gm26788",0.0165819462712889,0.05,0.05
"Gm3052",1.17823058355442,0.05,0.05
"Gm37233",1.6786912419864,0.05,0.05
"Ccdc115",0.28190372993633,0.05,0.05
"Imp4",0.152590502096476,0.05,0.05
"Ptpn18",0.410285834466864,0.05,0.05
"Gm28417",0.840165979247853,0.05,0.05
"4930568A12Rik",0.613121272385433,0.05,0.05
"Prss39",0.0141887800399156,0.05,0.05
"Arhgef4",0.339526527261098,0.05,0.05
"Gm38336",0.430952052772059,0.05,0.05
"Fam168b",-0.0209627124881209,0.05,0.05
"Gm37127",0.290995960653861,0.05,0.05
"Plekhb2",0.503039446288555,0.05,0.05
"Hs6st1",0.416653232961393,0.05,0.05
"Gm33280",0.174734567676593,0.05,0.05
"Uggt1",0.177958795124357,0.05,0.05
"Neurl3",1.8241827522598,0.05,0.05
"Arid5a",1.23279353229705,0.05,0.05
"4930403P22Rik",1.66206725388628,0.05,0.05
"Kansl3",0.152347786960653,0.05,0.05
"Lman2l",0.225013249885569,0.05,0.05
"Cnnm4",0.0553430066996787,0.05,0.05
"Gm37909",0.141725865144104,0.05,0.05
"Cnnm3",0.491983651561665,0.05,0.05
"Ankrd23",0.625279616286383,0.05,0.05
"Gm42417",-0.0913978678502059,0.05,0.05
"Ankrd39",0.115836032538873,0.05,0.05
"Sema4c",-1.27798590154868,0.05,0.05
"D430040D24Rik",-0.767168192451473,0.05,0.05
"Fam178b",-0.520368209504578,0.05,0.05
"Cox5b",-0.342489149087816,0.05,0.05
"Actr1b",-0.0236963700763884,0.05,0.05
"4933424G06Rik",0.0436326285578668,0.05,0.05
"Zap70",0.212779571885165,0.05,0.05
"Tmem131",0.170719903368101,0.05,0.05
"Gm38115",0.505201505256282,0.05,0.05
"F830112A20Rik",0.0991795293777303,0.05,0.05
"Inpp4a",0.00251851443628048,0.05,0.05
"Coa5",-0.0295938147597843,0.05,0.05
"Unc50",-0.401108543119134,0.05,0.05
"Mgat4a",0.405121382793226,0.05,0.05
"4930594C11Rik",0.361615074297915,0.05,0.05
"Gm43213",0.86070194669303,0.05,0.05
"2010300C02Rik",-0.238497870892655,0.05,0.05
"Tsga10",0.270951301850241,0.05,0.05
"Lipt1",-0.0831434579520896,0.05,0.05
"Mitd1",-0.163213881331405,0.05,0.05
"Mrpl30",-0.472964800990742,0.05,0.05
"Txndc9",-0.343103392469375,0.05,0.05
"Eif5b",0.241771318816761,0.05,0.05
"Rev1",-0.00818940113651934,0.05,0.05
"Aff3",0.00592016105804349,0.05,0.05
"Gm16152",0.328036995880645,0.05,0.05
"Chst10",0.174900030144918,0.05,0.05
"Pdcl3",-0.6200539306842,0.05,0.05
"Gm37309",-0.0724878088334744,0.05,0.05
"Npas2",-0.745802031917269,0.05,0.05
"Gm3617",-0.31006185667455,0.05,0.05
"Rpl31",-0.384746761659768,0.05,0.05
"Tbc1d8",0.555921175438849,0.05,0.05
"Cnot11",-0.165222540541013,0.05,0.05
"Gm15832",0.531038802770978,0.05,0.05
"Rnf149",-0.0907663929346993,0.05,0.05
"Gm23722",0.0966428629423063,0.05,0.05
"Creg2",-0.461606240865259,0.05,0.05
"Gm3646",0.00135280656329012,0.05,0.05
"Map4k4",-0.308618061792541,0.05,0.05
"Il1r2",-2.91405931171324,0.05,0.05
"Gm16894",0.783010826427427,0.05,0.05
"Gm37347",0.107792124537431,0.05,0.05
"Il1r1",-2.48633512941647,0.05,0.05
"Gm38070",-0.204449858991435,0.05,0.05
"Il1rl2",0.160949151541824,0.05,0.05
"Il1rl1",1.23085572835643,0.05,0.05
"Il18r1",0.0246150909102649,0.05,0.05
"Il18rap",-0.505627668734014,0.05,0.05
"Slc9a4",0.584534504027599,0.05,0.05
"Mfsd9",0.139868621015306,0.05,0.05
"Tmem182",-0.723294893784033,0.05,0.05
"Mrps9",0.194522128640819,0.05,0.05
"Tgfbrap1",0.487005112864497,0.05,0.05
"8430432A02Rik",-0.0202157020599011,0.05,0.05
"AI597479",0.173362545481916,0.05,0.05
"Fhl2",0.0673256798764297,0.05,0.05
"Nck2",-1.28413687760477,0.05,0.05
"1500015O10Rik",-0.527465930683548,0.05,0.05
"Uxs1",0.366335546395618,0.05,0.05
"Tpp2",0.377518527529523,0.05,0.05
"Mettl21c",0.13415288299518,0.05,0.05
"Gm8251",0.361404051139085,0.05,0.05
"Tex30",-0.386296548697555,0.05,0.05
"Kdelc1",-0.472959389713391,0.05,0.05
"Bivm",-0.146345072210416,0.05,0.05
"Ercc5",0.217771371795305,0.05,0.05
"Txn-ps1",-0.136284597871103,0.05,0.05
"Gulp1",-2.14611354086023,0.05,0.05
"Gm37626",-0.888130798766482,0.05,0.05
"Col3a1",-2.74066923534319,0.05,0.05
"Col5a2",-2.26551301690147,0.05,0.05
"Gm38211",-0.882989896058347,0.05,0.05
"Wdr75",-0.246006999733109,0.05,0.05
"Gm5526",-0.0661810441646836,0.05,0.05
"Slc40a1",0.380128503264722,0.05,0.05
"Slc39a10",0.315479136675456,0.05,0.05
"Gm28151",0.103657394353382,0.05,0.05
"Gm8337",-0.113398374075656,0.05,0.05
"4933411E06Rik",0.47992040746391,0.05,0.05
"Cavin2",-2.03025754585347,0.05,0.05
"Nabp1",1.4271410042051,0.05,0.05
"Myo1b",-1.63620664240556,0.05,0.05
"Gm8420",-0.124459150573725,0.05,0.05
"Stat4",1.06761795799748,0.05,0.05
"Gm3940",-0.0527651774027683,0.05,0.05
"Gm31812",0.0802816090611185,0.05,0.05
"Stat1",0.08271900558562,0.05,0.05
"Gls",0.625758708624744,0.05,0.05
"Nab1",-0.101797343471135,0.05,0.05
"Rps27a-ps1",0.356024223208472,0.05,0.05
"Nemp2",0.0225412964964278,0.05,0.05
"Mfsd6",0.442548775403335,0.05,0.05
"Gm29670",0.169219492851791,0.05,0.05
"Inpp1",-0.966133542051759,0.05,0.05
"Hibch",-0.29531347077677,0.05,0.05
"1700019D03Rik",-1.0694859716303,0.05,0.05
"Pms1",0.727957249555917,0.05,0.05
"Ormdl1",-0.10228146255977,0.05,0.05
"Osgepl1",0.0413212502986711,0.05,0.05
"Asnsd1",-0.468405921631997,0.05,0.05
"Stk17b",1.08293817506244,0.05,0.05
"Hecw2",-2.6868444483131,0.05,0.05
"Gtf3c3",0.122117827001918,0.05,0.05
"Pgap1",0.725235690452041,0.05,0.05
"Gm36955",1.2025886530098,0.05,0.05
"Ankrd44",0.879004906515484,0.05,0.05
"Gm37370",0.693786611013512,0.05,0.05
"A130048G24Rik",1.64890629300658,0.05,0.05
"Sf3b1",0.201844204653188,0.05,0.05
"E330011M16Rik",0.207163191070495,0.05,0.05
"Coq10b",0.470227019623894,0.05,0.05
"Gm17971",1.03380215444385,0.05,0.05
"Hspd1",-0.359260714097809,0.05,0.05
"Hspe1",-0.666607209786292,0.05,0.05
"Mob4",-0.368901452298266,0.05,0.05
"Rftn2",-0.244223883929701,0.05,0.05
"Gm10561",0.0816714423137545,0.05,0.05
"Mars2",0.125482279772701,0.05,0.05
"Gm8292",-0.404766839520203,0.05,0.05
"Plcl1",0.016430451273584,0.05,0.05
"Gm38056",1.0797430481337,0.05,0.05
"Gm37382",0.32392840804044,0.05,0.05
"Satb2",0.326621096030531,0.05,0.05
"9130024F11Rik",0.126781383114199,0.05,0.05
"4930558J18Rik",0.0265110076020004,0.05,0.05
"1700066M21Rik",0.0324309230298088,0.05,0.05
"Tyw5",-0.603240071107584,0.05,0.05
"Maip1",-0.381019517086789,0.05,0.05
"Spats2l",0.497896324975761,0.05,0.05
"Kctd18",-0.0548466395587659,0.05,0.05
"Sgo2a",0.244098858112106,0.05,0.05
"Aox1",-1.10701543881443,0.05,0.05
"Aox3",-1.11669003624622,0.05,0.05
"Gm37607",-0.0766480725263374,0.05,0.05
"Bzw1",-0.344602096960376,0.05,0.05
"Clk1",0.863041954762572,0.05,0.05
"Ppil3",-0.129957493612025,0.05,0.05
"Nif3l1",0.0710624311338104,0.05,0.05
"Orc2",0.0669027110249196,0.05,0.05
"Gm15834",0.269811418593413,0.05,0.05
"Fam126b",0.526424453259497,0.05,0.05
"Ndufb3",-0.115271796324944,0.05,0.05
"Gm20257",-0.103610224668122,0.05,0.05
"Cflar",0.216335909275525,0.05,0.05
"Casp8",0.1196095315732,0.05,0.05
"Gm37760",0.750849909738283,0.05,0.05
"Trak2",-0.083847295450231,0.05,0.05
"Stradb",-0.395316293107659,0.05,0.05
"Tmem237",-0.329850770034446,0.05,0.05
"G730003C15Rik",0.0519740077645749,0.05,0.05
"Mpp4",0.0708034579102892,0.05,0.05
"Als2",0.440010706774933,0.05,0.05
"Cdk15",0.0281188671316294,0.05,0.05
"Fzd7",0.341659500747221,0.05,0.05
"Gm973",-0.03470399869416,0.05,0.05
"Sumo1",-0.259022833061281,0.05,0.05
"D430013B06Rik",1.015350407268,0.05,0.05
"Nop58",0.477057459908736,0.05,0.05
"Bmpr2",-0.269317719487653,0.05,0.05
"Gm38125",0.526891720082116,0.05,0.05
"Fam117b",-0.386757610669473,0.05,0.05
"Gm37531",1.08355020740176,0.05,0.05
"Gm18829",0.475338441046584,0.05,0.05
"Ica1l",-0.342627269201614,0.05,0.05
"Wdr12",-0.00267207175290807,0.05,0.05
"Carf",0.316671555389803,0.05,0.05
"Gm15464",0.0945374529801287,0.05,0.05
"Nbeal1",-0.31591647962228,0.05,0.05
"Cyp20a1",-0.00108962780637167,0.05,0.05
"6030460B20Rik",-0.0938647728161937,0.05,0.05
"Abi2",0.218713710146113,0.05,0.05
"Raph1",0.79465996446837,0.05,0.05
"Gm11575",0.337931979968701,0.05,0.05
"Eif4a-ps4",0.100528950303659,0.05,0.05
"Cd28",1.25170120221407,0.05,0.05
"Gm38137",0.368816148235398,0.05,0.05
"Ctla4",0.138368058122279,0.05,0.05
"Rpl18-ps1",-0.262611256229943,0.05,0.05
"Icos",0.815932933241195,0.05,0.05
"Rpl17-ps1",-0.0543928907435802,0.05,0.05
"Pard3b",-0.919854700506544,0.05,0.05
"Gm37205",-0.127764749954585,0.05,0.05
"Gm38012",0.0968299819200734,0.05,0.05
"Gm38075",-0.0298027348571986,0.05,0.05
"Gm38351",-0.0810769885988839,0.05,0.05
"Gm11599",-0.040862520546991,0.05,0.05
"Nrp2",0.730421055641967,0.05,0.05
"Gm37121",1.06207100450402,0.05,0.05
"Ino80d",0.123355412349151,0.05,0.05
"Ino80dos",0.300430575480118,0.05,0.05
"Gm20342",1.10595549949565,0.05,0.05
"Ndufs1",0.167221505296135,0.05,0.05
"Eef1b2",-0.361007220785504,0.05,0.05
"Adam23",-0.668882643829977,0.05,0.05
"Fastkd2",0.0861277011877744,0.05,0.05
"Klf7",-0.284293593158094,0.05,0.05
"Gm26649",0.00289228572252664,0.05,0.05
"Gm28981",0.0895221667416635,0.05,0.05
"Creb1",0.246955857997884,0.05,0.05
"Mettl21a",-0.0545549304231572,0.05,0.05
"2810408I11Rik",-0.0163767624119737,0.05,0.05
"Ccnyl1",-0.79756549935078,0.05,0.05
"Fzd5",0.536892124685642,0.05,0.05
"Gm38058",0.0067180847803183,0.05,0.05
"Plekhm3",0.864182117683832,0.05,0.05
"Rpl10a-ps1",-0.439031029486493,0.05,0.05
"D630023F18Rik",-0.409651937137282,0.05,0.05
"Idh1",0.292341536483553,0.05,0.05
"Pikfyve",0.650448048869886,0.05,0.05
"Map2",-0.573247508387202,0.05,0.05
"Rpe",-0.0462237631130069,0.05,0.05
"Kansl1l",0.552375633729558,0.05,0.05
"Gm37570",0.771687865769331,0.05,0.05
"Gm38387",0.780027974374919,0.05,0.05
"Gm38162",0.717882148366718,0.05,0.05
"Gm15789",0.334639389126443,0.05,0.05
"6820402A03Rik",1.49665621889658,0.05,0.05
"Gm37285",0.123805458379578,0.05,0.05
"Gm37755",0.232259877137117,0.05,0.05
"Gm38218",0.362024442973737,0.05,0.05
"Acadl",-0.478304810513477,0.05,0.05
"Gm15793",-0.146752622805788,0.05,0.05
"Myl1",0.348017430104811,0.05,0.05
"Lancl1",0.12673577162571,0.05,0.05
"Ikzf2",0.460457394897993,0.05,0.05
"Gm28112",0.263428489411683,0.05,0.05
"Bard1",0.15613346005491,0.05,0.05
"Atic",-0.207099695594713,0.05,0.05
"Fn1",-0.711866325127118,0.05,0.05
"4933417E11Rik",-0.000191745942470734,0.05,0.05
"Gm8885",-0.0754843422313905,0.05,0.05
"Mreg",-0.331873741146514,0.05,0.05
"Gm25360",-0.00406493112398831,0.05,0.05
"D230017M19Rik",0.689359774820292,0.05,0.05
"Pecr",0.389619641783014,0.05,0.05
"Xrcc5",-0.240152507485464,0.05,0.05
"Gm15843",-0.0358061060827551,0.05,0.05
"Smarcal1",0.335621092125823,0.05,0.05
"Rpl37a",0.464826728083752,0.05,0.05
"Igfbp5",-1.13398039964581,0.05,0.05
"Tns1",-0.19653077173251,0.05,0.05
"Rufy4",-0.289287443157438,0.05,0.05
"Cxcr2",-1.38863581256627,0.05,0.05
"Arpc2",0.0839597950978259,0.05,0.05
"Aamp",0.238500767039713,0.05,0.05
"Pnkd",-0.445468402448672,0.05,0.05
"Tmbim1",0.0859408819779297,0.05,0.05
"Gm29358",0.576263786827978,0.05,0.05
"Gm37931",0.654660775802194,0.05,0.05
"Catip",0.682854428349152,0.05,0.05
"Slc11a1",0.0272934893191454,0.05,0.05
"Ctdsp1",-0.0277217140541026,0.05,0.05
"Vil1",-0.0193829372508189,0.05,0.05
"Usp37",0.312828733164046,0.05,0.05
"Gm37733",0.972520259724799,0.05,0.05
"Cnot9",-0.0260188689871277,0.05,0.05
"Zfp142",0.310807981350376,0.05,0.05
"Bcs1l",-0.0347423549274728,0.05,0.05
"Rnf25",-0.117255973947409,0.05,0.05
"Stk36",0.0572045901617384,0.05,0.05
"Ttll4",0.0335912508120906,0.05,0.05
"Cyp27a1",0.567373661185357,0.05,0.05
"Wnt6",0.284914363699421,0.05,0.05
"Nhej1",0.0681808289707551,0.05,0.05
"Slc23a3",0.65925168219761,0.05,0.05
"Cnppd1",0.344174667096824,0.05,0.05
"Retreg2",-0.0951576696683967,0.05,0.05
"Zfand2b",-0.297422182722261,0.05,0.05
"Abcb6",-0.0312422190174846,0.05,0.05
"Atg9a",0.19786502618353,0.05,0.05
"Ankzf1",-0.243409980219564,0.05,0.05
"Glb1l",0.544687042208143,0.05,0.05
"Stk16",-0.3063234448148,0.05,0.05
"Tuba4a",0.0186170159142267,0.05,0.05
"Dnajb2",-0.0101767030912403,0.05,0.05
"Ptprn",0.0456297809097888,0.05,0.05
"Dnpep",-0.268806317341184,0.05,0.05
"Des",-1.54512651503431,0.05,0.05
"Speg",-0.274799080128261,0.05,0.05
"Gmppa",-0.0231478745481359,0.05,0.05
"Chpf",-1.09934759223584,0.05,0.05
"Obsl1",-0.997375395211384,0.05,0.05
"Tmem198",-0.0750051997197148,0.05,0.05
"Stk11ip",0.318193214588092,0.05,0.05
"Slc4a3",-0.734217149964496,0.05,0.05
"Epha4",-0.737984763911399,0.05,0.05
"Farsb",-0.0297947329899619,0.05,0.05
"4833412K13Rik",0.0491109167810915,0.05,0.05
"Mogat1",0.266891398178679,0.05,0.05
"Acsl3",0.397093902681852,0.05,0.05
"Utp14b",1.50453344742187,0.05,0.05
"Ap1s3",0.208492250101754,0.05,0.05
"Wdfy1",0.121103410576556,0.05,0.05
"Mrpl44",-0.498295997603878,0.05,0.05
"Serpine2",-3.11138136830954,0.05,0.05
"Fam124b",-0.897903408304924,0.05,0.05
"Gm37932",0.483460638092828,0.05,0.05
"Cul3",-0.116014896298798,0.05,0.05
"Gm37902",0.941688766156199,0.05,0.05
"Gm37262",0.693140167030292,0.05,0.05
"Gm6189",0.00353409574821853,0.05,0.05
"Dock10",0.772488561613388,0.05,0.05
"Gm37645",0.624638146297035,0.05,0.05
"Gm38062",1.19933211582339,0.05,0.05
"A630081D01Rik",1.0702273539892,0.05,0.05
"Irs1",-0.5113238953503,0.05,0.05
"Rhbdd1",0.0493447051504252,0.05,0.05
"Gm19552",0.296478359008069,0.05,0.05
"Gm28940",0.135192256245908,0.05,0.05
"Col4a4",-0.821927121082347,0.05,0.05
"Col4a3",-0.67779763365501,0.05,0.05
"C430014B12Rik",0.197490115325017,0.05,0.05
"Mff",-0.132738036848592,0.05,0.05
"Gm28941",0.229223195428191,0.05,0.05
"Agfg1",-0.140349017344547,0.05,0.05
"A030005L19Rik",-0.0960763843771574,0.05,0.05
"Pid1",1.02969924173057,0.05,0.05
"Gm37058",1.2827841154071,0.05,0.05
"Dner",0.138241286471968,0.05,0.05
"Gm37959",0.13636905312084,0.05,0.05
"Trip12",0.103176274946991,0.05,0.05
"Gm38374",0.56019104920422,0.05,0.05
"Gm37738",0.900213861103804,0.05,0.05
"Fbxo36",-0.291757693121323,0.05,0.05
"Slc16a14",0.151727469036727,0.05,0.05
"Gm15433",-0.017457612100379,0.05,0.05
"C130026I21Rik",0.262831904646935,0.05,0.05
"Rpl19-ps1",-0.0426594137902618,0.05,0.05
"A530032D15Rik",-0.178053208104125,0.05,0.05
"A530040E14Rik",0.553079877615992,0.05,0.05
"Gm2619",0.405171911431096,0.05,0.05
"Gm7609",0.257457058788536,0.05,0.05
"Gm16028",0.280110992938821,0.05,0.05
"Gm16026",0.46701171152395,0.05,0.05
"G530012D18Rik",-0.0670453027078271,0.05,0.05
"Sp110",0.142717538543621,0.05,0.05
"Gm16094",0.537179593056794,0.05,0.05
"Sp140",-0.300732118762332,0.05,0.05
"Sp100",-0.00269611042116846,0.05,0.05
"A630001G21Rik",0.125225016321571,0.05,0.05
"Cab39",-0.216089946214063,0.05,0.05
"Itm2c",0.0332756745140026,0.05,0.05
"Gpr55",-0.0047146367060828,0.05,0.05
"Psmd1",0.134176863206101,0.05,0.05
"Gm37914",0.47859944957466,0.05,0.05
"Armc9",-0.0172287341768342,0.05,0.05
"B3gnt7",-0.256373722856615,0.05,0.05
"Ncl",0.576222212382987,0.05,0.05
"C130036L24Rik",0.213693717891696,0.05,0.05
"Ptma",0.0495839756089946,0.05,0.05
"Pde6d",-0.497672560311787,0.05,0.05
"Cops7b",0.223933354123016,0.05,0.05
"Dis3l2",0.585737934519609,0.05,0.05
"Gm29055",0.942368507437959,0.05,0.05
"Gm37485",0.883145149528266,0.05,0.05
"Gm38142",0.737796498697729,0.05,0.05
"Gm38010",0.484467035622624,0.05,0.05
"Gm38021",1.13187598856083,0.05,0.05
"Gm6136",0.0875103151607136,0.05,0.05
"Gm37967",0.557631829521835,0.05,0.05
"Gm37017",0.202047540457353,0.05,0.05
"Gm37447",0.7485740182693,0.05,0.05
"Eif4e2",-0.248063905792204,0.05,0.05
"Efhd1",-0.264581432389383,0.05,0.05
"Gigyf2",0.363616210762513,0.05,0.05
"Kcnj13",0.297373255791555,0.05,0.05
"Inpp5d",0.840999953528077,0.05,0.05
"Atg16l1",0.456470250039984,0.05,0.05
"Gm25395",-0.0294092060495024,0.05,0.05
"Sag",0.541853902934718,0.05,0.05
"Dgkd",1.01998293836697,0.05,0.05
"4833421G17Rik",0.863281580942374,0.05,0.05
"Gm38365",1.47322471273779,0.05,0.05
"Usp40",0.247291861527046,0.05,0.05
"Ugt1a7c",0.653301685730268,0.05,0.05
"Ugt1a6a",0.567397035929485,0.05,0.05
"Ugt1a5",0.530499753259804,0.05,0.05
"Gm15368",0.952500250738227,0.05,0.05
"Gm15376",0.422355158342709,0.05,0.05
"Mroh2a",0.326238682228258,0.05,0.05
"Hjurp",0.126273570632765,0.05,0.05
"Glrp1",0.357971520114499,0.05,0.05
"Gm29336",0.804786334873097,0.05,0.05
"Arl4c",1.1180739086482,0.05,0.05
"Sh3bp4",-0.744166320884061,0.05,0.05
"Gm38312",-0.0218690429477326,0.05,0.05
"Agap1",0.0832245388511659,0.05,0.05
"Gm37297",0.361857558048236,0.05,0.05
"Gm28499",-0.0986668889573956,0.05,0.05
"Gm37521",0.74609692492514,0.05,0.05
"Ackr3",-2.34129945076432,0.05,0.05
"Cops8",0.112372361523514,0.05,0.05
"Col6a3",-2.13322723842175,0.05,0.05
"Mlph",0.144233243892385,0.05,0.05
"Lrrfip1",-0.233708910248688,0.05,0.05
"Rbm44",0.306882837426316,0.05,0.05
"Gm7776",-0.0464136127892944,0.05,0.05
"Ramp1",0.492095024526662,0.05,0.05
"Ube2f",0.0718264256879317,0.05,0.05
"Gm7785",0.879309414338841,0.05,0.05
"Scly",0.40412755573224,0.05,0.05
"Klhl30",-0.0310915058574396,0.05,0.05
"Ilkap",-0.207057633688603,0.05,0.05
"Hes6",-0.0172236838635342,0.05,0.05
"Per2",-0.942080764473673,0.05,0.05
"Traf3ip1",-0.24814738945478,0.05,0.05
"Asb1",-0.129272574659012,0.05,0.05
"Twist2",-0.999082388218255,0.05,0.05
"Hdac4",0.133152925686272,0.05,0.05
"Gm26720",0.595738415528693,0.05,0.05
"Gm37036",0.0730671832286006,0.05,0.05
"Ndufa10",0.0615144247291752,0.05,0.05
"Cops9",0.205065404196478,0.05,0.05
"Otos",0.0322508253356513,0.05,0.05
"Gpc1",-0.364688588932248,0.05,0.05
"Ankmy1",0.0067180847803183,0.05,0.05
"Dusp28",0.137989905830214,0.05,0.05
"5033417F24Rik",0.0800576511031336,0.05,0.05
"Rnpepl1",-0.0130427181268153,0.05,0.05
"9430060I03Rik",0.417600909344206,0.05,0.05
"Capn10",-0.143998482973867,0.05,0.05
"Gpr35",0.00608305326942293,0.05,0.05
"Kif1a",-0.0124119468089195,0.05,0.05
"Sned1",-1.61716838798588,0.05,0.05
"Mterf4",-0.279450151988404,0.05,0.05
"Gm7867",-0.0341563192252391,0.05,0.05
"Pask",-0.0371685579122587,0.05,0.05
"Ppp1r7",0.0995240950710761,0.05,0.05
"Ano7",0.0310532886440684,0.05,0.05
"Hdlbp",-0.118321973932519,0.05,0.05
"Sept2",0.665595527188041,0.05,0.05
"Farp2",0.568863860571633,0.05,0.05
"Stk25",-0.425908075857326,0.05,0.05
"Bok",-1.90332958826993,0.05,0.05
"Thap4",-0.131552559097586,0.05,0.05
"Atg4b",0.153536957105157,0.05,0.05
"Dtymk",-0.510601035119944,0.05,0.05
"Ing5",-0.0820665514525327,0.05,0.05
"D2hgdh",0.0256591594934319,0.05,0.05
"Pdcd1",0.28752243097464,0.05,0.05
"Fam174a",0.123255127391845,0.05,0.05
"BC055308",0.57576358079456,0.05,0.05
"Gm15427",0.082431592115741,0.05,0.05
"St8sia4",1.14586172172563,0.05,0.05
"Gm37642",0.916414098592425,0.05,0.05
"D1Ertd622e",0.180306276766349,0.05,0.05
"Ppip5k2",0.278793534260668,0.05,0.05
"Gin1",-0.0457406605021728,0.05,0.05
"Pam",-1.57530419943605,0.05,0.05
