"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast"
"Ttc17",-0.28272920397485,2.57325768064321e-10,6.88603755340124e-06,0.141,0.21,"macrophage_FindMarkers","CLP vs Steady"
"Gstm1",-0.245311074246043,2.62285290387134e-10,7.01875437075972e-06,0.356,0.436,"macrophage_FindMarkers","CLP vs Steady"
"Ercc4",-0.32236221339845,2.62463796079353e-10,7.02353118308347e-06,0.085,0.124,"macrophage_FindMarkers","CLP vs Steady"
"Gm43336",-0.60519146796639,2.63363868783008e-10,7.0476171286333e-06,0.086,0.143,"macrophage_FindMarkers","CLP vs Steady"
"Nrros",-0.141732044324126,2.63916417748752e-10,7.0624033389566e-06,0.713,0.772,"macrophage_FindMarkers","CLP vs Steady"
"Cep85",-0.507770387053872,2.7035324066169e-10,7.23465272010683e-06,0.111,0.17,"macrophage_FindMarkers","CLP vs Steady"
"Josd1",-0.435112857196656,2.7441738863381e-10,7.34340931984076e-06,0.129,0.188,"macrophage_FindMarkers","CLP vs Steady"
"Tstd2",-0.360057936734315,2.75256745800772e-10,7.36587051762865e-06,0.13,0.191,"macrophage_FindMarkers","CLP vs Steady"
"Qrich1",-0.280836791416918,2.76215450977498e-10,7.39152546815783e-06,0.237,0.306,"macrophage_FindMarkers","CLP vs Steady"
"Glce",-0.746073897857884,2.78837601017767e-10,7.46169420323544e-06,0.074,0.129,"macrophage_FindMarkers","CLP vs Steady"
"Rps17",-0.180097340606435,2.79764122775036e-10,7.48648792545997e-06,0.901,0.936,"macrophage_FindMarkers","CLP vs Steady"
"Trafd1",-0.198540884366174,2.89374920756673e-10,7.74367287944857e-06,0.459,0.544,"macrophage_FindMarkers","CLP vs Steady"
"Llph",0.464366328009438,2.89713724609235e-10,7.75273927054313e-06,0.543,0.496,"macrophage_FindMarkers","CLP vs Steady"
"Ltn1",-0.318391524895623,2.93051949378166e-10,7.84207016535973e-06,0.21,0.282,"macrophage_FindMarkers","CLP vs Steady"
"Gyg",0.701120787769647,2.95636094402598e-10,7.91122188621352e-06,0.239,0.191,"macrophage_FindMarkers","CLP vs Steady"
"Smg5",-0.375891300421875,2.98450037368118e-10,7.98652299997084e-06,0.137,0.206,"macrophage_FindMarkers","CLP vs Steady"
"Fmnl2",-0.437364300454222,3.06334928235251e-10,8.19752267957531e-06,0.187,0.261,"macrophage_FindMarkers","CLP vs Steady"
"Zfp397",-0.327765657336679,3.10246852263282e-10,8.30220576656542e-06,0.219,0.293,"macrophage_FindMarkers","CLP vs Steady"
"Mbd5",-0.408415819085482,3.10484874253149e-10,8.30857523501426e-06,0.117,0.18,"macrophage_FindMarkers","CLP vs Steady"
"Hsp90b1",0.219695958931544,3.11826070174868e-10,8.34446563787946e-06,0.909,0.929,"macrophage_FindMarkers","CLP vs Steady"
"Heatr1",-0.497958137820335,3.19737600780584e-10,8.55617819688842e-06,0.126,0.19,"macrophage_FindMarkers","CLP vs Steady"
"Trim35",-0.240690809130595,3.19950345964599e-10,8.56187125801266e-06,0.319,0.413,"macrophage_FindMarkers","CLP vs Steady"
"Irgm1",-0.283172456670251,3.25656056145012e-10,8.71455606244052e-06,0.229,0.292,"macrophage_FindMarkers","CLP vs Steady"
"Gm8430",0.613404899417497,3.2566079632396e-10,8.71468290962917e-06,0.186,0.139,"macrophage_FindMarkers","CLP vs Steady"
"Zfp68",-0.182172607317872,3.27136022489539e-10,8.75415996182005e-06,0.168,0.22,"macrophage_FindMarkers","CLP vs Steady"
"Ten1",0.482946908344057,3.2980140381032e-10,8.82548556596416e-06,0.47,0.433,"macrophage_FindMarkers","CLP vs Steady"
"Zfp629",-0.67793853933933,3.37605774697345e-10,9.03433053090094e-06,0.064,0.117,"macrophage_FindMarkers","CLP vs Steady"
"Stx16",-0.199971475974809,3.52151410108244e-10,9.42357173449662e-06,0.439,0.531,"macrophage_FindMarkers","CLP vs Steady"
"Snapc5",0.352760356774673,3.53018694449681e-10,9.44678026347347e-06,0.552,0.53,"macrophage_FindMarkers","CLP vs Steady"
"Tspyl1",-0.204546353304328,3.55633824199681e-10,9.51676113558347e-06,0.292,0.362,"macrophage_FindMarkers","CLP vs Steady"
"Zfp110",-0.369398825669306,3.57312245146454e-10,9.5616756801191e-06,0.184,0.258,"macrophage_FindMarkers","CLP vs Steady"
"Pdzd11",0.651712547047994,3.59267078602821e-10,9.61398702341148e-06,0.276,0.218,"macrophage_FindMarkers","CLP vs Steady"
"Zfp106",-0.235784864386002,3.60422707725519e-10,9.64491165873489e-06,0.651,0.727,"macrophage_FindMarkers","CLP vs Steady"
"Zfp839",-0.50780555750128,3.60446452117173e-10,9.64554705865554e-06,0.087,0.137,"macrophage_FindMarkers","CLP vs Steady"
"Kmt5a",-0.198267484706404,3.60644973181203e-10,9.65085948232898e-06,0.316,0.397,"macrophage_FindMarkers","CLP vs Steady"
"Supt5",-0.153011420345993,3.65140521164245e-10,9.77116034635519e-06,0.452,0.532,"macrophage_FindMarkers","CLP vs Steady"
"Nadk2",-0.605764713704878,3.71103461835522e-10,9.93072863871858e-06,0.086,0.134,"macrophage_FindMarkers","CLP vs Steady"
"Tnfsf9",-0.307473968417167,3.72041931370044e-10,9.95584208346237e-06,0.175,0.239,"macrophage_FindMarkers","CLP vs Steady"
"Cul1",-0.201318119777029,3.7504633236087e-10,1.00362398539769e-05,0.497,0.578,"macrophage_FindMarkers","CLP vs Steady"
"Psmd4",0.409043463361896,3.75665256840272e-10,1.00528022730457e-05,0.627,0.595,"macrophage_FindMarkers","CLP vs Steady"
"Prr14",-0.320182012582105,3.77920710349462e-10,1.01131582089516e-05,0.2,0.271,"macrophage_FindMarkers","CLP vs Steady"
"Sipa1",-0.256862383451227,3.79675752703841e-10,1.01601231423548e-05,0.483,0.582,"macrophage_FindMarkers","CLP vs Steady"
"Paf1",-0.296997981246797,3.87841731375895e-10,1.03786447316189e-05,0.265,0.354,"macrophage_FindMarkers","CLP vs Steady"
"Ppp2r2d",-0.228543007929504,3.89401134170785e-10,1.04203743504102e-05,0.306,0.38,"macrophage_FindMarkers","CLP vs Steady"
"D10Wsu102e",-0.344175303063883,3.89478183901578e-10,1.04224362012062e-05,0.162,0.223,"macrophage_FindMarkers","CLP vs Steady"
"Rela",-0.19228153361398,3.90511027597897e-10,1.04500750985197e-05,0.391,0.475,"macrophage_FindMarkers","CLP vs Steady"
"Psmb8",0.208335808043568,3.90724630295558e-10,1.04557911067091e-05,0.785,0.794,"macrophage_FindMarkers","CLP vs Steady"
"Ube2d3",-0.134862508654326,4.01618484696652e-10,1.07473106504824e-05,0.83,0.874,"macrophage_FindMarkers","CLP vs Steady"
"Ifi209",-0.224252243605338,4.05470478942803e-10,1.08503900165094e-05,0.351,0.439,"macrophage_FindMarkers","CLP vs Steady"
"Nop53",-0.177726435124141,4.05788800368645e-10,1.08589082978649e-05,0.548,0.627,"macrophage_FindMarkers","CLP vs Steady"
"Castor2",-0.512641515602899,4.08234056429027e-10,1.09243433500408e-05,0.118,0.183,"macrophage_FindMarkers","CLP vs Steady"
"Bcl2l2",-0.434778575334354,4.13847056538969e-10,1.10745472329828e-05,0.071,0.111,"macrophage_FindMarkers","CLP vs Steady"
"Btbd3",-0.614712056438957,4.15438088027378e-10,1.11171232356126e-05,0.089,0.143,"macrophage_FindMarkers","CLP vs Steady"
"Slc25a32",-0.24830588550801,4.16156668261307e-10,1.11363524426726e-05,0.079,0.114,"macrophage_FindMarkers","CLP vs Steady"
"Tnfaip3",-0.374995736580374,4.20570595361107e-10,1.12544691318632e-05,0.254,0.329,"macrophage_FindMarkers","CLP vs Steady"
"Psenen",0.292349245439046,4.23638638152285e-10,1.13365699569551e-05,0.711,0.711,"macrophage_FindMarkers","CLP vs Steady"
"Lipa",-0.202142198749782,4.27228283925781e-10,1.14326288778539e-05,0.687,0.75,"macrophage_FindMarkers","CLP vs Steady"
"Hnrnpf",0.204405059504014,4.27527166089538e-10,1.1440626964556e-05,0.811,0.825,"macrophage_FindMarkers","CLP vs Steady"
"Cbx7",-0.627208218517111,4.42931138097365e-10,1.18528372554855e-05,0.094,0.151,"macrophage_FindMarkers","CLP vs Steady"
"Zeb2",-0.0691591934312719,4.44349162760224e-10,1.18907835954636e-05,0.92,0.939,"macrophage_FindMarkers","CLP vs Steady"
"Ulk1",-0.317963717498961,4.49801869560339e-10,1.20366980294347e-05,0.151,0.214,"macrophage_FindMarkers","CLP vs Steady"
"C430049B03Rik",-0.751251357960147,4.52600997240828e-10,1.21116026861645e-05,0.06,0.104,"macrophage_FindMarkers","CLP vs Steady"
"Sqor",0.485937718093921,4.62756401993181e-10,1.23833613173375e-05,0.413,0.368,"macrophage_FindMarkers","CLP vs Steady"
"Eif3m",0.355684001877331,4.71147159516202e-10,1.26078979886536e-05,0.591,0.571,"macrophage_FindMarkers","CLP vs Steady"
"Ankrd10",-0.254726489530238,4.80207375871494e-10,1.28503493783212e-05,0.214,0.277,"macrophage_FindMarkers","CLP vs Steady"
"Srsf4",-0.289258934248366,4.96653774941976e-10,1.32904550174473e-05,0.301,0.38,"macrophage_FindMarkers","CLP vs Steady"
"4930503L19Rik",-0.510894590584014,4.98164087358231e-10,1.33308709777063e-05,0.115,0.182,"macrophage_FindMarkers","CLP vs Steady"
"Ccny",-0.199001330606873,5.03216788257379e-10,1.34660812537675e-05,0.36,0.437,"macrophage_FindMarkers","CLP vs Steady"
"Fam222b",-0.474301758429227,5.05412688133808e-10,1.35248435344607e-05,0.108,0.166,"macrophage_FindMarkers","CLP vs Steady"
"Hivep2",-0.212897849216404,5.05481720131354e-10,1.3526690830715e-05,0.442,0.538,"macrophage_FindMarkers","CLP vs Steady"
"Nid2",-0.502369035416634,5.07742676777666e-10,1.35871940305703e-05,0.143,0.219,"macrophage_FindMarkers","CLP vs Steady"
"Tesk1",-0.339301461986071,5.10129590815478e-10,1.36510678502222e-05,0.253,0.337,"macrophage_FindMarkers","CLP vs Steady"
"Slc4a2",-0.379106633853325,5.19512189740767e-10,1.39021461974629e-05,0.194,0.274,"macrophage_FindMarkers","CLP vs Steady"
"Styx",-0.599485059983108,5.20236703501092e-10,1.39215341856892e-05,0.065,0.112,"macrophage_FindMarkers","CLP vs Steady"
"Mapk1",-0.243326634683535,5.20912000688532e-10,1.39396051384251e-05,0.444,0.534,"macrophage_FindMarkers","CLP vs Steady"
"Ppp6r2",-0.453418592646238,5.26650678019382e-10,1.40931721437987e-05,0.104,0.155,"macrophage_FindMarkers","CLP vs Steady"
"Lsm11",-0.747562748653696,5.28543637314291e-10,1.41438277345304e-05,0.078,0.126,"macrophage_FindMarkers","CLP vs Steady"
"1810022K09Rik",0.639983921697143,5.30979372698904e-10,1.42090080134227e-05,0.239,0.18,"macrophage_FindMarkers","CLP vs Steady"
"Cnn2",0.360103885150199,5.319349137128e-10,1.42345782909545e-05,0.605,0.591,"macrophage_FindMarkers","CLP vs Steady"
"Zc3h7b",-0.577569260357001,5.34597825114371e-10,1.43058378000606e-05,0.064,0.111,"macrophage_FindMarkers","CLP vs Steady"
"Dgka",-0.510864819397008,5.35966876516859e-10,1.43424736155912e-05,0.098,0.155,"macrophage_FindMarkers","CLP vs Steady"
"Nsmf",-0.549744800939439,5.46530443121982e-10,1.46251546579442e-05,0.095,0.155,"macrophage_FindMarkers","CLP vs Steady"
"Utp11",0.391472631310224,5.46795121188495e-10,1.46322374430041e-05,0.434,0.397,"macrophage_FindMarkers","CLP vs Steady"
"Sart3",-0.438234211955528,5.48550310900092e-10,1.46792063196865e-05,0.183,0.263,"macrophage_FindMarkers","CLP vs Steady"
"Sh3bp5l",-0.404334451344886,5.56031037594863e-10,1.48793905660385e-05,0.078,0.124,"macrophage_FindMarkers","CLP vs Steady"
"Tmsb10",0.387731428059777,5.70561035077137e-10,1.52682132986642e-05,0.582,0.54,"macrophage_FindMarkers","CLP vs Steady"
"Csf2rb",-0.269312578378565,5.76136600883928e-10,1.54174154396539e-05,0.366,0.466,"macrophage_FindMarkers","CLP vs Steady"
"Mpc2",0.355332388994862,5.79744933778494e-10,1.55139744279125e-05,0.629,0.607,"macrophage_FindMarkers","CLP vs Steady"
"Ddhd1",-0.239641907485907,5.91533824382704e-10,1.58294451404812e-05,0.121,0.176,"macrophage_FindMarkers","CLP vs Steady"
"Top2a",1.039002658486,5.93121800033362e-10,1.58719393688928e-05,0.137,0.092,"macrophage_FindMarkers","CLP vs Steady"
"Oxr1",-0.167768708477333,5.97376762516937e-10,1.59858021649532e-05,0.332,0.403,"macrophage_FindMarkers","CLP vs Steady"
"Zscan29",-0.305404633301086,5.979638765239e-10,1.60015133357796e-05,0.154,0.214,"macrophage_FindMarkers","CLP vs Steady"
"Cnot10",-0.201350569781908,6.01859144747808e-10,1.61057507134514e-05,0.185,0.248,"macrophage_FindMarkers","CLP vs Steady"
"Tmbim4",0.494865117040195,6.06275272038619e-10,1.62239262797535e-05,0.572,0.533,"macrophage_FindMarkers","CLP vs Steady"
"Scmh1",-0.12112701340393,6.08184264941347e-10,1.62750109298304e-05,0.136,0.183,"macrophage_FindMarkers","CLP vs Steady"
"Vdac3",0.388493716413317,6.13864844057026e-10,1.6427023226966e-05,0.606,0.586,"macrophage_FindMarkers","CLP vs Steady"
"Ahsa2",-0.446114545808753,6.34003106190815e-10,1.69659231216662e-05,0.19,0.263,"macrophage_FindMarkers","CLP vs Steady"
"Uqcrc2",0.430130074818296,6.39845663425303e-10,1.71222699532611e-05,0.529,0.49,"macrophage_FindMarkers","CLP vs Steady"
"Cog5",-0.329828633573437,6.41214093745694e-10,1.71588891486348e-05,0.147,0.211,"macrophage_FindMarkers","CLP vs Steady"
"Alkbh8",-0.5107408043402,6.5492565500419e-10,1.75258105279121e-05,0.095,0.143,"macrophage_FindMarkers","CLP vs Steady"
