gene,log2FC,AveExpr,t,pvalue,padj,B
Gm13943,-1.15189751555221,-0.286064337659854,-3.53006398443003,0.0049887944721443,0.0270001948362669,-1.87748901374738
Gm30684,-3.4084005612339,-3.7565683238249,-3.52885688163646,0.0049991750531738,0.0270402472995369,-2.60359040309492
Eef1a1-ps1,1.06728021901362,0.568694579786721,3.52829520962703,0.0050040127867418,0.0270583492374865,-1.93314812020707
Gm16141,1.59207760285499,-1.05484738880728,3.5271414260297,0.0050139655773399,0.0270960194556249,-1.91240591943154
Gm15608,-1.25525809748597,-1.49481626652082,-3.52576747283587,0.0050258442223847,0.0271278986030983,-1.94088660061238
Chaf1a,1.03778251402348,3.07044913469907,3.52539778054078,0.0050290453828697,0.0271360919614808,-2.30138801826808
Gm17823,3.29178819006778,-3.77035280245767,3.5245553905649,0.0050363474789247,0.0271522041584683,-2.62101113275215
Col8a2,-2.34306281315582,-0.770959142100371,-3.52363728244419,0.005044318370273,0.027171043474427,-1.89325746773479
Zfp947,-1.15538742137092,0.444400932218545,-3.52148670395079,0.0050630403443522,0.0272476254830844,-1.94641015444783
A930016O22Rik,-1.25797511380373,-0.0870720507675261,-3.51927357284177,0.0050823816549313,0.0273128586495175,-1.9034214745282
Has2,-1.66026146413859,-0.394147522667681,-3.51906684134307,0.005084192236627,0.0273128586495175,-1.8890596634603
Zfp536,-1.37528615531244,1.31745158421962,-3.51854878761703,0.0050887323399712,0.0273291582638233,-2.05664143412472
Gm16133,4.33900042795243,-3.11808668359447,3.51754407597343,0.0050975493136991,0.0273603157041406,-2.55667117116096
Pnmt,1.36426619979185,-0.236010699876668,3.51488677270882,0.0051209447733955,0.0274696378370705,-1.89575291808526
Gm14966,1.50197797377525,-1.39026694253718,3.51222629955988,0.0051444789969226,0.0275808670898451,-1.96974148670508
Rxfp1,-4.10023302771701,-1.72627922947158,-3.50898534261569,0.0051732987449491,0.0277089394001114,-2.12158621767665
Abcb11,3.59567696667295,-2.53494355016439,3.50882629325768,0.0051747173431959,0.0277089394001114,-2.34919830440132
Gpr39,2.13835216291414,-1.26512559533736,3.5080517032072,0.0051816318228783,0.0277295997315757,-1.98172642927684
