gene,log2FC,AveExpr,t,pvalue,padj,B
HLF,-1.79438032038122,5.1293068314256,-6.3377928823593,3.77340863361115e-07,5.55555808619375e-05,6.53846451593303
SNORA4,1.17163912903226,4.93070153485952,6.33070615757676,3.85186860286193e-07,5.6126093642114e-05,6.51872370449405
RARRES1,2.17270709237537,5.31247549947971,6.26436088375412,4.67104519660358e-07,6.52517853851549e-05,6.33374787802192
SNORD59B,-1.36926649706744,3.7905351925078,-6.180039645472,5.97061655102209e-07,7.60258507496813e-05,6.0982474754113
SLC7A5,1.04635284090909,3.65987048387097,6.1357720764847,6.79294828570887e-07,8.34882878871384e-05,5.97444325531609
SCARNA10,2.64580539296188,6.50458757023933,6.07849947756172,8.02842697064553e-07,9.07790294424831e-05,5.81410693512858
BHLHE40,1.39107468768329,7.17566135275754,6.0548579478077,8.60219640406465e-07,9.64947968055951e-05,5.74787182302219
PLA2G2A,1.7407105307918,9.99794597294485,6.03450448142088,9.12911351169389e-07,9.92545310571395e-05,5.69082641471819
TUBA3E,-1.31625941202345,5.29455577523413,-6.00455980739576,9.96393143309713e-07,0.0001035516227024,5.60686330069855
VIT,-1.30105241129032,4.33585908949011,-5.999904075394,1.01004538205797e-06,0.0001042042440146,5.59380515380093
TNFRSF11B,3.17616971847508,5.61821135796046,5.9933330123153,1.02963473883376e-06,0.0001045119403833,5.57537331204191
DEPP1,1.54976680131966,5.85871506243496,5.99148549641769,1.03521095611119e-06,0.0001045119403833,5.57019067618446
RRAD,2.37281236656892,6.72186793444329,5.93989607242993,1.2038038941749e-06,0.0001181566961129,5.42541238652103
DIAPH1,1.02816793548388,6.07592350676379,5.89402928807573,1.37675199654487e-06,0.0001319221708326,5.29660226677648
TMEM182,-1.57933770087975,8.02785899063475,-5.87403831626576,1.45974571024053e-06,0.0001366360653545,5.24043564471109
CYP1B1,1.70877727565983,6.23077809573361,5.86012541199276,1.52045466933759e-06,0.0001404582110876,5.2013375405152
IFIT1,-1.1456060777126,3.80475255983351,-5.85350922686565,1.55020781471651e-06,0.00014156521804,5.18274236017749
PLIN2,2.00767443548388,8.25761140998959,5.79413300678031,1.84481447794257e-06,0.0001576106172706,5.01579859257675
LRRC39,-1.38075207624632,7.66901628511967,-5.79297377163468,1.85109399086738e-06,0.0001576106172706,5.01253818721408
MID1,1.83125793914956,5.1605136264308,5.77858809779831,1.93082903397401e-06,0.0001595623849124,4.97207461046835
SLC2A3,1.40319277785924,5.95697787721124,5.77182986787296,1.96946900604364e-06,0.0001605438083771,4.95306329279727
SNORA73A,3.20159603519062,6.44217231009365,5.7706294487127,1.97641309308277e-06,0.0001605438083771,4.94968631046015
SNORD38B,1.418565521261,4.13096595213319,5.75158570188455,2.08992118530829e-06,0.0001644290315735,4.89610796414841
HIGD1B,-1.12665884384163,6.69023238813736,-5.74557869332544,2.1270651803749e-06,0.0001647366230608,4.87920571687827
NAMPT,1.19840573973608,9.39009811654527,5.71826853020533,2.30446595746684e-06,0.0001724394565129,4.80235072235396
SGPP2,-1.27199993548387,4.47904875130073,-5.7016002071412,2.41995806095432e-06,0.0001754035242745,4.75543526129869
POR,1.25147494428153,5.38541682622269,5.69258565835133,2.48481927949623e-06,0.0001786504763449,4.73006006106984
TNFAIP1,1.00693826832845,6.29839527575442,5.68069569006644,2.57304379694929e-06,0.0001818370051304,4.69658833914638
CISH,1.41298431085045,4.30580234131113,5.67756899973521,2.59676127433924e-06,0.0001823400169253,4.68778587464804
TENT5C,-1.07958566129031,5.18382505723205,-5.67048607064629,2.65130273358577e-06,0.0001840817454249,4.66784488218948
SNORD21,1.06498218255132,4.2781355723205,5.66877097329284,2.66468153213728e-06,0.0001840817454249,4.66301613054382
RNF122,1.51996329912024,5.33602640998959,5.66070195578057,2.7285388501626e-06,0.0001872095539232,4.64029761517898
MLLT11,2.06370258504399,7.64184219562955,5.65465268692154,2.7774164408175e-06,0.0001896425312778,4.62326502528554
SNORD3B-1,2.36045285337244,6.42213521331946,5.63809696191522,2.9157209335272e-06,0.0001962419032117,4.57664698630458
SMAD3,1.12711688123168,6.18491276795005,5.55567375122971,3.71407827991523e-06,0.0002252994953146,4.34450546187096
SLCO2A1,1.2631292595308,6.47774711758585,5.53572925854348,3.93813824541101e-06,0.0002338724620194,4.28832344649545
THBS1,2.44477071554253,9.06027922996878,5.52823658586368,4.02576748351711e-06,0.0002361004050291,4.26721663596561
FITM2,-1.22261818035189,8.3445075962539,-5.50163072026681,4.3530091511437e-06,0.0002486230472573,4.19226641692285
SNORA80E,1.50859718475074,5.0738437408949,5.47487648672499,4.70893433049693e-06,0.000257969293904,4.11689705491833
NPPA,3.29639204985338,8.93089117585848,5.46315167027371,4.87395915961886e-06,0.0002627642105286,4.08386718813695
ZFP36,1.38554720381232,7.91548716961498,5.46134168859523,4.89994501583183e-06,0.0002627642105286,4.07876832939433
SNORA23,1.69988000439883,4.27031327263267,5.4019140706407,5.834679906087e-06,0.0003031888448258,3.91136409595047
PPP1R3A,-1.4526028335777,7.62258878772112,-5.37989444719726,6.22462669814742e-06,0.0003207204317567,3.84934257947182
PYGM,-1.16187405498533,5.42209788241415,-5.35543841809438,6.68833441737083e-06,0.0003305346806123,3.7804648089662
SNORD6,1.379145771261,4.43595562955255,5.33200920761085,7.16492397293027e-06,0.0003492035704599,3.71448652228898
SCARNA7,1.65635908284458,5.44600418834547,5.28709190809302,8.17556425580333e-06,0.0003815223023835,3.5880221222605
CA14,-1.12390403739002,3.37136355359001,-5.28695101962583,8.17894846626758e-06,0.0003815223023835,3.58762551297608
NOX4,1.1360761840176,4.11683026534859,5.25550301334705,8.97044985017279e-06,0.0004050627534297,3.49910854850393
SNORA68,1.12029258651027,4.13474075962539,5.23697494964145,9.47211680384613e-06,0.0004183715590798,3.44696859006441
LSMEM2,-1.01815459237536,4.42563691987513,-5.23422382307466,9.54895758392351e-06,0.000419497947927,3.43922738713188
HSPA1A,1.2980011909091,7.477443,5.21211094854996,1.01896178251599e-05,0.0004382937646596,3.37701312704665
SNORD32A,1.80137069794722,5.08366726847034,5.21168891782061,1.02022533304822e-05,0.0004382937646596,3.37582588584538
IL1RAP,1.205924563783,4.44341027575442,5.15816735752093,1.19382061184717e-05,0.0004997282259821,3.22530663386657
MARCHF3,1.06946167375367,6.76429547866805,5.11579948580992,1.35188782371097e-05,0.0005323071977514,3.10622687466461
C1QTNF1,1.68679329912024,6.24309463579605,5.08016755496807,1.50086083554939e-05,0.0005696725529056,3.00613568173148
ATP13A3,1.24927380058652,7.65525819979188,5.07157520116704,1.53916699635521e-05,0.0005739996392212,2.98200787623286
RNVU1-18,2.10103899201695,7.12948097236675,5.04301490774275,1.67363058895634e-05,0.0006065408908797,2.90183397831927
MID1IP1,1.55152326759531,4.69686421956296,5.03523277559656,1.71225597147679e-05,0.0006158021857723,2.87999505240125
PTPN3,-1.04444848607037,5.34834071279917,-5.02676078257898,1.75531520323049e-05,0.0006230496551069,2.8562236758289
G0S2,-1.37347548826979,5.47759577003122,-5.02318612352076,1.77380543160754e-05,0.0006230496551069,2.84619473183423
TGM2,1.04148392008799,9.16580003642039,5.0226703272291,1.77648939442557e-05,0.0006230496551069,2.84474768604697
PIK3R1,-1.01520148826978,8.16723722164412,-5.00730976154781,1.8582986969727e-05,0.0006396029861526,2.80166069892161
RNU4-1,1.81208577785924,4.5261940062435,4.98551071439827,1.98087604749349e-05,0.0006666119536969,2.74053563386915
S100A8,1.913130271261,8.63572853277836,4.97961304112305,2.01540033396597e-05,0.0006750158369733,2.72400302175168
COQ10A,-1.18215442228738,7.9586667950052,-4.97549286938758,2.03987397656151e-05,0.0006799900656773,2.71245437133738
SLC25A30,-1.26044270527858,7.4115094276795,-4.96803472452276,2.08492957938827e-05,0.0006917463538749,2.69155206467812
KLHL8,1.05773289809385,5.69330835067638,4.95740661011102,2.1508513352738e-05,0.0007037067771472,2.66177127345607
KLHL38,-2.03470478739002,5.51645194068678,-4.9489300786812,2.20491078502564e-05,0.0007147754365952,2.638024293596
MYC,1.19047238782992,6.61021356399584,4.94270697902562,2.24545726050637e-05,0.000724595728767,2.62059312114281
GRAMD1B,2.02911257624634,6.04116758584807,4.91292816174055,2.44998225816114e-05,0.0007678059697749,2.53721550352761
PNP,1.42065979472141,5.81567378251821,4.90293101983187,2.522715244168e-05,0.0007836496101334,2.50923760308624
MS4A4A,-1.01755586510263,4.41092853277836,-4.89262403538686,2.59995008522075e-05,0.0007939655874906,2.48039968875471
NREP,-1.29926274340175,5.89927127991675,-4.86212626256471,2.84251968454505e-05,0.0008370036087783,2.39511364378658
AQP4,-1.5710462947214,4.36010508844953,-4.80570771158725,3.35202271775221e-05,0.0009456584649243,2.23752386846744
CHRM2,-1.32992009970674,5.66436248699272,-4.79618091875467,3.44659053249056e-05,0.0009570552178039,2.21093819857125
KLHL31,-1.23335617741934,7.65677924037461,-4.79523900144273,3.45608313891837e-05,0.0009578093938327,2.20831006893497
SCARNA5,1.21272340249267,5.27345017169615,4.76207188496824,3.8074061018818e-05,0.0010250262446475,2.1158150559695
PTGIS,1.05061539222875,5.52117635275754,4.76082401355762,3.82129424561667e-05,0.0010268093701054,2.11233688872431
S100A12,2.1490380153959,4.33194879292404,4.75568001136813,3.87907682446405e-05,0.0010344692799429,2.09800055458251
S100A9,1.59591128739004,7.31330241415193,4.74447797473699,4.00792546132959e-05,0.0010558985767732,2.06678858084306
PDK4,1.10111760997069,11.3525419771072,4.7441528972448,4.01172729395255e-05,0.0010558985767732,2.06588299229426
SNORD33,1.47140742375367,5.41108402705515,4.71802578110152,4.32927727554771e-05,0.0011186472579998,1.99313053972639
