gene,GSM2109150,GSM2109151,GSM2109152,GSM2109153,GSM2109154,GSM2109155,GSM2109156,GSM2109157,GSM2109158,GSM2109159,GSM2109160,GSM2109161,GSM2109162,GSM2109163,GSM2109164,GSM2109165,GSM2109166,GSM2109167,GSM2109168,GSM2109169,GSM2109170,GSM2109171,GSM2109172,GSM2109173,GSM2109174,GSM2109175,GSM2109176,GSM2109177,GSM2109178,GSM2109179,GSM2109180
ABCA1,2.33896345270114,2.6205089954702387,2.689858236319245,2.3456688776428005,2.3872329351159998,2.406128456562018,2.332017565996357,2.4827656935107663,2.348119084462443,2.4916761148829085,2.5552934514646943,2.408470033119294,2.6823350756958195,2.421190977107193,2.6473168123306787,2.596486764176617,2.5436270315592098,2.5464845836983367,2.4261171225398606,2.6274667638501197,2.6708924423305564,2.6070982801349087,2.3073148538322164,2.5322022374476845,2.8509833980091774,2.5682340192892164,2.554579029039665,2.2536777072473972,2.2837588304015894,2.6437407695545834,2.311383951609347
ABCA10,2.5153339938149295,2.6267288147955004,2.420865021947446,2.3054773821886076,2.653415486394865,2.365602960801441,2.7813051523895873,2.212634702193953,2.2522491193936793,2.4868044582224176,2.6650902827748504,2.4285765816675577,2.3138350012819213,2.459444733987145,2.483818356381577,2.5843131418360468,2.673857142553387,2.2623218992428114,2.5195519686873227,2.359883766440478,2.5742710844417087,2.2637405524361935,2.149574798594796,2.4131445240531897,2.4436331713612947,2.307760743977939,2.8006141791941723,2.476091304626409,2.557209106164992,2.489905105280782,2.225102141673556
ABCA11P,2.0012221662273357,2.152306748792553,2.099672242217304,2.1260774998259286,2.0274619540436514,1.980584716078303,2.048054790927296,1.9287682529734689,2.0285726882096946,2.0578487995483057,1.964820011363257,2.0479989725768175,1.9832763836294707,2.072565468350496,1.9609416373805877,1.888858172938358,1.958311888505167,2.0573705534987012,1.9350070665838506,1.8500392781909694,1.960456106720665,2.1029133935835973,1.8933039581056987,1.9726889783434272,1.9139099961244075,1.9946340279004102,1.8886283157026653,2.0069801577153363,1.8776068438780482,2.004727891058741,1.857443615525103
ABCA12,1.7247593973365052,1.7013583114000184,1.7623700784946745,1.7231260157608823,1.6849982218829997,1.7022763201440967,1.706114978836868,1.7701270807735043,1.73833550385093,1.766412825779046,1.73617189360605,1.7824337279935254,1.7666121220415199,1.7408628156329076,1.744656264105157,1.72663942609203,1.7820394561916897,1.769429005585005,1.7244058004237999,1.7108824572487793,1.7167846236387034,1.6986896668305693,1.7595265822247674,1.723707082612373,1.702347253027119,1.6658020526840003,1.6921995271341155,1.756784200306962,1.7105518909174893,1.6756443328248924,1.7762598328423223
ABCA13,1.7622977835242026,1.7350238632292385,1.76678595374724,1.7119441646140685,1.7241307206739376,1.714434567029279,1.71037555789876,1.730735589028496,1.7409189278617418,1.7292786704253233,1.7598887157043355,1.7915348800544084,1.7535061284578028,1.7454094554980912,1.8006038259316246,1.8376001827048205,1.756933608823838,1.718328743825372,1.748847617430098,1.7112878485343508,1.7650382041007047,1.7891282640728683,1.787006112723174,1.7852994444560348,1.7363580916657408,1.7193061245929262,1.7725149040783135,1.747675265399725,1.806010528476125,1.7206462070813793,1.7277723665664317
ABCA2,1.9379055403441283,2.077280604237251,1.9335462011986777,1.9203733418369764,1.9871971490702198,2.010009957355222,1.9691633864425293,2.004648800271983,1.9855113597713712,2.0145873910826926,2.011921371427171,2.0338740210220076,1.9247726063023638,2.112016149865738,2.044208742995433,1.8719618973549959,1.984439878319737,1.9251335417426616,1.9616270322489187,1.8878254760406288,1.9985926861580954,1.9726264906763398,1.9212725520099174,2.035919456001246,1.9318078457291792,2.0463478662163,2.0644172797437705,2.0620457058566157,1.9447647612696386,1.988604711539069,2.0855572258132993
ABCA3,1.9320951967686188,1.9487503418244452,1.832051488777377,1.949314543349509,1.8854337972490411,1.9539840789905558,1.9578180443825803,1.9697380787566272,1.9991016426943162,1.905420221222299,1.902038838409866,1.965824910382431,1.9188365292844736,2.01416244461264,1.840016004628233,1.8733171251542988,2.058666302396585,1.9611861939941315,1.9085439381867133,1.871551926577348,1.9950973362202686,1.9141741393967047,1.8220162706255874,1.9771699996901266,2.049759698476604,1.9778697049028753,2.049222991937665,2.080794081958242,1.9007026090758965,2.0423116387854927,1.9232823169168156
ABCA4,1.736855945176384,1.6939663822699267,1.6789102279911632,1.7313266348565353,1.6838446457189138,1.6804098806920924,1.701637767208172,1.7118428735633389,1.7304008453993682,1.7490879821903211,1.7393426389534,1.7048808153190245,1.7119882019832642,1.759518060342345,1.7513180303185845,1.722461652661313,1.734581736237037,1.7348201548789652,1.6906361092932785,1.7189643357595386,1.706252042968114,1.7016688145123227,1.7086066273252614,1.7012429646498228,1.7182717460407477,1.7035747260487213,1.675716587248341,1.6659702792413518,1.7233270127260831,1.6670019427758953,1.7603188973433155
ABCA5,2.3394509801910925,2.549351274628581,2.541670945387041,2.3471326960474626,2.4501581373586814,2.444396734950784,2.4683982439839984,2.4198732344233367,2.5007459754816153,2.5703900658000913,2.445382406845802,2.352040953232571,2.498398959594684,2.562208226599982,2.4079781007147782,2.522163746314252,2.3806020158943433,2.5749637179575453,2.460687528051701,2.4149960212001678,2.5175629436234352,2.5474004716441443,2.272689124357208,2.399734387019821,2.612614354217911,2.519667700893718,2.4914785882119057,2.5726641539239425,2.477133300482685,2.5096325088909093,2.6168846126493297
ABCA6,2.981284594433202,3.051921926529372,3.0406084214098086,2.8765090884599718,2.974657791054084,2.960926814435193,3.0667092007513372,2.7875160481350303,2.9846403860499477,3.0341188514572544,3.058231628680543,2.8500712923716325,2.8800272005622793,2.992487476615669,3.099136953728956,3.0841238087559493,3.160363585084821,2.9007451094085175,2.980789415373241,2.8254803705519436,3.0936108791739194,2.774879810711744,2.724410166346189,3.004844721787761,2.865049769425317,2.8804406478879,3.0548571574450825,3.0194190402122922,3.06356334095384,2.8690797790270213,2.7759102116385987
