"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.43292311651556e-45,-4.15393967034325,0.019,0.193,2.43339036988486e-40,"0","MS4A7"
7.9394813939902e-45,-4.32691063691712,0.035,0.22,2.59922741876451e-40,"0","CCL3"
1.11277911444923e-44,1.60101369409137,0.39,0.154,3.6430162648839e-40,"0","LEPROTL1"
2.62018439230901e-44,-1.51237890131665,0.215,0.446,8.57795966354123e-40,"0","CD63"
8.06182675089585e-44,-4.59936216166066,0.01,0.172,2.63928084170828e-39,"0","LRRC25"
1.67078340268344e-43,-2.68349819846041,0.051,0.247,5.46981070370506e-39,"0","BLVRB"
9.60225649223899e-43,-4.1933123724621,0.015,0.179,3.1435867304292e-38,"0","FPR1"
3.03790675896313e-42,-3.70755258477925,0.016,0.181,9.94549914749349e-38,"0","MPEG1"
4.12945422939628e-42,4.79240538657701,0.131,0.005,1.35190072561976e-37,"0","LINC00176"
6.09005062069146e-42,-4.56089500806441,0.009,0.165,1.99376077220197e-37,"0","MAFB"
6.98686586342309e-42,-3.32030272492475,0.028,0.202,2.28736014636745e-37,"0","FGL2"
1.85983353018736e-41,-1.30655925999446,0.354,0.558,6.08872301112739e-37,"0","ITGB2"
3.67056662047915e-41,-3.87864003446747,0.013,0.171,1.20167010021246e-36,"0","RNASE6"
1.10456454262471e-40,1.48011733498474,0.332,0.114,3.61612339964477e-36,"0","SPOCK2"
2.05704096095752e-40,-3.26541977918113,0.025,0.192,6.73434069798272e-36,"0","KLF4"
2.09625075442626e-40,-2.4547866804834,0.077,0.271,6.86270571984069e-36,"0","RHOC"
3.18090364249301e-40,-3.11891942692454,0.026,0.194,1.04136423447936e-35,"0","PLAUR"
3.63438963812585e-40,-3.66177666203993,0.016,0.174,1.18982647972964e-35,"0","SMCO4"
4.49317566240526e-40,-2.7529460290868,0.092,0.286,1.47097584835823e-35,"0","GZMA"
1.71082407323814e-39,1.37059221316325,0.341,0.122,5.60089585096701e-35,"0","LAT"
1.9013577372748e-39,-6.76871833134478,0.002,0.139,6.22466496029023e-35,"0","ASGR1"
2.13287315437769e-39,2.90105031788436,0.178,0.03,6.98260013280168e-35,"0","TRABD2A"
1.24701044084518e-38,-1.479029504731,0.247,0.458,4.08246278123896e-34,"0","TALDO1"
2.73828590366822e-38,-2.27150456332224,0.071,0.261,8.96460039142903e-34,"0","ABI3"
3.10878822173133e-38,-1.82664693596008,0.125,0.332,1.0177550880304e-33,"0","CTSD"
4.04391758078203e-38,-2.89084997214928,0.04,0.209,1.32389773759642e-33,"0","SCPEP1"
4.93385164615226e-38,-5.42591490958523,0.017,0.165,1.61524435191733e-33,"0","GZMH"
5.80678604593036e-38,-3.08156001659842,0.019,0.173,1.90102561571668e-33,"0","TGFBI"
5.87626166374163e-38,-4.70593035875848,0.007,0.146,1.92377054347574e-33,"0","RAB32"
9.33804442180597e-38,-1.76924492064927,0.21,0.412,3.05708898281084e-33,"0","CEBPB"
1.06978144664462e-37,-4.6615805807795,0.008,0.149,3.50225050002516e-33,"0","PLBD1"
1.14768387126394e-37,2.19046795059253,0.236,0.065,3.75728745774388e-33,"0","SUSD3"
2.7556893550505e-37,-2.94241014876394,0.029,0.19,9.02157581056432e-33,"0","ODF3B"
3.0980622097832e-37,-1.55344026285477,0.166,0.381,1.01424360623882e-32,"0","CARD16"
3.9602704313009e-37,-5.04651546710455,0.033,0.19,1.29651333379929e-32,"0","GZMB"
4.69014800629891e-37,1.13378217818316,0.437,0.197,1.53546065430214e-32,"0","ACAP1"
4.83554208472178e-37,-3.34016422077442,0.033,0.193,1.58305976769622e-32,"0","HVCN1"
6.3455038330007e-37,-5.27662442224317,0.025,0.176,2.07739104484777e-32,"0","FGFBP2"
6.92740094444365e-37,-3.30862528814509,0.028,0.184,2.26789252119196e-32,"0","CSF3R"
7.60243907453487e-37,-2.98421298375003,0.028,0.185,2.48888650422123e-32,"0","LYL1"
1.16350758114448e-36,3.10602286280608,0.156,0.022,3.80909111915079e-32,"0","FHIT"
