herb,compound_id,target_gene
Danshen,DS45,ADRA1D
Danshen,DS45,SLC6A4
Danshen,DS45,OPRM1
Danshen,DS45,GABRA1
Danshen,DS45,GSK3B
Danshen,DS45,HSP90AA2P
Danshen,DS45,CDK1
Danshen,DS45,CHRNA7
Danshen,DS45,PIM1
Danshen,DS45,CCNA2
Danshen,DS46,TOP2A
Danshen,DS46,OPRM1
Danshen,DS46,CHRNA7
Danshen,DS46,IGHG1
Danshen,DS46,PNRC2
Danshen,DS46,NCOA7
Danshen,DS47,ADRA1A
Danshen,DS47,ADRB2
Danshen,DS47,OPRM1
Danshen,DS47,GABRA1
Danshen,DS47,CTSC
Danshen,DS47,HSP90AA2P
Danshen,DS47,PIK3CG
Danshen,DS47,CHRNA7
Danshen,DS47,IGHG1
Danshen,DS47,NCOA7
Danshen,DS48,NOS2
Danshen,DS48,PTGS1
Danshen,DS48,F2
Danshen,DS48,NCOA7
Danshen,DS48,AR
Danshen,DS48,PTGS2
Danshen,DS48,PTPN22
Danshen,DS48,HSP90AA2P
Danshen,DS48,PRSS1
Danshen,DS48,CALML5
Danshen,DS49,F2
Danshen,DS49,NCOA7
Danshen,DS49,AR
Danshen,DS49,PPARG
Danshen,DS49,PTGS2
Danshen,DS49,CTSC
Danshen,DS49,PRSS1
Danshen,DS49,CCNA2
Danshen,DS50,PTGS2
Danshen,DS51,F7
Danshen,DS51,PTPN22
Danshen,DS51,PRSS1
Danshen,DS52,PTGS2
Danshen,DS52,RXRA
Danshen,DS52,ACHE
Danshen,DS52,PGR
Danshen,DS52,PTPN22
Danshen,DS52,NR3C1
Danshen,DS52,PNRC2
Danshen,DS52,NCOA7
Danshen,DS53,PTGS1
Danshen,DS53,DRD1
Danshen,DS53,CHRM3
Danshen,DS53,F2
Danshen,DS53,CHRM1
Danshen,DS53,DRD5
Danshen,DS53,SCNN1A
Danshen,DS53,CHRM5
Danshen,DS53,PTGS2
Danshen,DS53,ADRA2A
Danshen,DS53,HTR1A
Danshen,DS53,HTR2C
Danshen,DS53,GABRA2
Danshen,DS53,CHRM4
Danshen,DS53,OPRD1
Danshen,DS53,ACHE
Danshen,DS53,PDE3A
Danshen,DS53,HTR2A
Danshen,DS53,GABRA5
Danshen,DS53,SLC6A2
Danshen,DS53,ADRA1A
Danshen,DS53,GABRA3
Danshen,DS53,CHRM2
Danshen,DS53,ADRA2B
Danshen,DS53,ADRA1B
Danshen,DS53,SLC6A3
Danshen,DS53,ADRB2
Danshen,DS53,CHRNA2
Danshen,DS53,SLC6A4
Danshen,DS53,DRD4
Danshen,DS53,OPRM1
Danshen,DS53,GABRA1
Danshen,DS53,HTR1B
Danshen,DS53,CHRNA7
Danshen,DS53,GABRA6
Danshen,DS53,GABRG3
Danshen,DS53,GABRE
Danshen,DS54,F2
Danshen,DS54,PTGS2
Danshen,DS54,CA6
Danshen,DS54,ACHE
Danshen,DS54,CTSC
Danshen,DS54,HSP90AA2P
Danshen,DS54,PRSS1
Danshen,DS54,NCOA7
Danshen,DS55,F2
Danshen,DS55,PTGS2
Danshen,DS55,CA6
Danshen,DS55,ACHE
Danshen,DS55,CTSC
Danshen,DS55,HSP90AA2P
Danshen,DS55,NCOA7
Danshen,DS56,F2
Danshen,DS56,PTGS2
Danshen,DS56,CA6
Danshen,DS56,ACHE
Danshen,DS56,CTSC
Danshen,DS56,HSP90AA2P
Danshen,DS56,NCOA7
Danshen,DS57,DRD1
Danshen,DS57,CHRM3
Danshen,DS57,F2
Danshen,DS57,CHRM1
Danshen,DS57,SCNN1A
Danshen,DS57,BCL2
Danshen,DS57,CHRM5
Danshen,DS57,PTGS2
Danshen,DS57,CHRM4
Danshen,DS57,RXRA
Danshen,DS57,OPRD1
Danshen,DS57,ACHE
Danshen,DS57,CALCR
Danshen,DS57,ADRA1A
Danshen,DS57,EDN1
Danshen,DS57,CHRM2
Danshen,DS57,ADRB2
Danshen,DS57,OPRM1
Danshen,DS57,CTSC
Danshen,DS57,ELOVL6
Danshen,DS57,JUN
Danshen,DS57,ITGB3
Danshen,DS57,CHRNA7
Danshen,DS57,CYP3A4
Danshen,DS57,TP53
Danshen,DS57,ECE1
Danshen,DS57,NCOA7
Danshen,DS57,AHSA1
Danshen,DS57,CASP3
Danshen,DS57,CDKN1C
Danshen,DS57,CYP1A1
Danshen,DS57,MMP9
Danshen,DS57,MYC
Danshen,DS57,NFKBIE
Danshen,DS57,NR1I2
Danshen,DS57,NPM1
Danshen,DS57,PARG
Danshen,DS57,FOS
Danshen,DS57,RELA
Danshen,DS58,CHRNA7
Danshen,DS58,PRSS1
Danshen,DS58,NCOA7
Danshen,DS59,PNRC2
Danshen,DS59,NCOA7
Danshen,DS59,CALML5
Huanglian,HL1,NOS2
Huanglian,HL1,PTGS1
Huanglian,HL1,KCNC2
Huanglian,HL1,NCOA7
Huanglian,HL1,AR
Huanglian,HL1,SCNN1A
Huanglian,HL1,F10
Huanglian,HL1,PTGS2
Huanglian,HL1,NOS3
Huanglian,HL1,RXRA
Huanglian,HL1,ADRB2
Huanglian,HL1,HSP90AA2P
Huanglian,HL1,PRKACA
Huanglian,HL1,PRSS1
Huanglian,HL1,PNRC2
Huanglian,HL1,PDE10A
Huanglian,HL1,CALML5
Huanglian,HL2,NOS2
Huanglian,HL2,PTGS1
Huanglian,HL2,KCNC2
Huanglian,HL2,NCOA7
Huanglian,HL2,AR
Huanglian,HL2,SCNN1A
Huanglian,HL2,PTGS2
Huanglian,HL2,NOS3
Huanglian,HL2,RXRA
Huanglian,HL2,PRKACA
Huanglian,HL2,PRSS1
Huanglian,HL2,PNRC2
Huanglian,HL2,CALML5
Huanglian,HL3,PDE10A
Huanglian,HL4,HTR2C
Huanglian,HL4,ADRA2C
Huanglian,HL4,CHRM4
Huanglian,HL4,RXRA
Huanglian,HL4,OPRD1
Huanglian,HL4,HTR2A
Huanglian,HL4,SLC6A2
Huanglian,HL4,ADRA1A
Huanglian,HL4,CHRM2
Huanglian,HL4,ADRA1B
Huanglian,HL4,SLC6A3
Huanglian,HL4,ADRB2
Huanglian,HL4,ADRA1D
Huanglian,HL4,SLC6A4
Huanglian,HL4,OPRM1
Huanglian,HL4,HSP90AA2P
Huanglian,HL4,PRKACA
Huanglian,HL4,KCNU1
Huanglian,HL4,PDE10A
Huanglian,HL4,CALML5
Huanglian,HL5,RXRA
Huanglian,HL5,ADRA1B
Huanglian,HL5,ADRB2
Huanglian,HL5,ADRA1D
Huanglian,HL5,HSP90AA2P
Huanglian,HL5,PRKACA
Huanglian,HL5,PRSS1
Huanglian,HL5,PNRC2
Huanglian,HL5,KCNU1
Huanglian,HL5,CALML5
Huanglian,HL6,NR3C2
Huanglian,HL6,PNRC2
Huanglian,HL7,GABRA2
Huanglian,HL7,GABRA1
Huanglian,HL7,GRIN2A
Huanglian,HL7,GABRA6
Huanglian,HL8,NOS2
Huanglian,HL8,PTGS1
Huanglian,HL8,KCNC2
Huanglian,HL8,NCOA7
Huanglian,HL8,AR
Huanglian,HL8,SCNN1A
Huanglian,HL8,PTGS2
Huanglian,HL8,NOS3
Huanglian,HL8,F7
Huanglian,HL8,RXRA
Huanglian,HL8,ADRB2
Huanglian,HL8,ESR2
Huanglian,HL8,HSP90AA2P
Huanglian,HL8,CDK1
Huanglian,HL8,PRKACA
Huanglian,HL8,PRSS1
Huanglian,HL8,PIM1
Huanglian,HL8,PNRC2
Huanglian,HL8,CALML5
Huanglian,same1,PTGS2
Huanglian,same1,NOS3
Huanglian,same1,F7
Huanglian,same1,ODC1
Huanglian,same1,RXRA
Huanglian,same1,ACHE
Huanglian,same1,ACACB
Huanglian,same1,MMP2
Huanglian,same1,ADRB2
Huanglian,same1,TNF
Huanglian,same1,TOP2A
Huanglian,same1,AKR1B1
Huanglian,same1,EGF
Huanglian,same1,GABRA1
Huanglian,same1,MGAM
Huanglian,same1,CTSC
Huanglian,same1,PLAU
Huanglian,same1,IL36A
Huanglian,same1,MMP1
Huanglian,same1,MAP3K7
Huanglian,same1,PON2
Huanglian,same1,CTSD
Huanglian,same1,IFNG
Huanglian,same1,JUN
Huanglian,same1,CXCL2
Huanglian,same1,IL1B
Huanglian,same1,SELE
Huanglian,same1,MPO
Huanglian,same1,CDK1
Huanglian,same1,PLAT
Huanglian,same1,GJA1
Huanglian,same1,VCAM1
Huanglian,same1,MMP3
Huanglian,same1,HSP90AA2P
Huanglian,same1,THBD
Huanglian,same1,F3
Huanglian,same1,GAPDH
Huanglian,same1,PIK3CG
Huanglian,same1,AOC2
Huanglian,same1,XDH
Huanglian,same1,PTGER3
Huanglian,same1,SOD1
Huanglian,same1,CYP3A4
Huanglian,same1,TP53
Huanglian,same1,PRKACA
Huanglian,same1,TOP1
Huanglian,same1,TOP2B
Huanglian,same1,HMOX1
Huanglian,same1,COL3A1
Huanglian,same1,RBL1
Huanglian,same1,PRSS1
Huanglian,same1,GSTM2
Huanglian,same1,HSPA5
Huanglian,same1,ACP3
Huanglian,same1,AHR
Huanglian,same1,PNRC2
Huanglian,same1,IL2
Huanglian,same1,PSMD11
Huanglian,same1,AHSA1
Huanglian,same1,BAX
Huanglian,same1,ABCG4
Huanglian,same1,NAIP
Huanglian,same1,BAK1
Huanglian,same1,CASP3
Huanglian,same1,CASP8
Huanglian,same1,CASP9
Huanglian,same1,CAV1
Huanglian,same1,CD40LG
Huanglian,same1,CLDN4
Huanglian,same1,CRP
Huanglian,same1,CXCL13
Huanglian,same1,CX3CR1
Huanglian,same1,CDKN1C
Huanglian,same1,CDKN2A
Huanglian,same1,CYP1A1
Huanglian,same1,CYP1B1
Huanglian,same1,DDB1
Huanglian,same1,DUOXA1
Huanglian,same1,ELK1
Huanglian,same1,EIF2A
Huanglian,same1,CCND3
Huanglian,same1,CCNB1
Huanglian,same1,HSPB1
Huanglian,same1,HK2
Huanglian,same1,NKX3-1
Huanglian,same1,HAS2
Huanglian,same1,HIF1AN
Huanglian,same1,NFKB1
Huanglian,same1,IGFBP6
Huanglian,same1,IGF2
Huanglian,same1,ICAM2
Huanglian,same1,IRF3
Huanglian,same1,IL10
Huanglian,same1,IL1A
Huanglian,same1,IL36B
Huanglian,same1,MMP9
Huanglian,same1,MYC
Huanglian,same1,NCF2
Huanglian,same1,NFKBIE
Huanglian,same1,NFE2L2
Huanglian,same1,NR1I2
Huanglian,same1,SPP1
Huanglian,same1,PPARA
Huanglian,same1,PPARD
Huanglian,same1,PPARG
Huanglian,same1,SERPINE1
Huanglian,same1,PARG
Huanglian,same1,HERC5
Huanglian,same1,PCOLCE
Huanglian,same1,RUNX1T1
Huanglian,same1,C3
Huanglian,same1,PRKCB
Huanglian,same1,FOS
Huanglian,same1,NPEPPS
Huanglian,same1,AKT1
Huanglian,same1,RAF1
Huanglian,same1,RASSF1
Huanglian,same1,RASA1
Huanglian,same1,ERBB2
Huanglian,same1,ERBB3
Huanglian,same1,RUNX2
Huanglian,same1,CHEK2
Huanglian,same1,STAT4
Huanglian,same1,SLC2A2
Huanglian,same1,E2F1
Huanglian,same1,E2F2
Huanglian,same1,RELA
Huanglian,same1,TGFB1
Huanglian,same1,DIO1
Huanglian,same1,PTEN
Huanglian,HL10,NOS2
Huanglian,HL10,PTGS1
Huanglian,HL10,KCNC2
Huanglian,HL10,NCOA7
Huanglian,HL10,AR
Huanglian,HL10,SCNN1A
Huanglian,HL10,PTGS2
Huanglian,HL10,NOS3
Huanglian,HL10,PRSS1
Huanglian,HL11,NOS2
Huanglian,HL11,PTGS1
Huanglian,HL11,NCOA7
Huanglian,HL11,AR
Huanglian,HL11,PTGS2
Huanglian,HL11,CHEK1
Huanglian,HL11,PIM1
Renshen,same2,CHRM3
Renshen,same2,SCNN1A
Renshen,same2,ADRB2
Renshen,same3,PTGS1
Renshen,same3,CHRM3
Renshen,same3,CHRM1
Renshen,same3,ADRB1
Renshen,same3,SCNN1A
Renshen,same3,PTGS2
Renshen,same3,ADRA2A
Renshen,same3,RXRA
Renshen,same3,HTR2A
Renshen,same3,SLC6A2
