herb,herb_zh,compound_id,target_gene
Danshen,丹参,4-methylenemiltirone,DNA
Danshen,丹参,4-methylenemiltirone,D(2)
Danshen,丹参,4-methylenemiltirone,Mu-type
Danshen,丹参,4-methylenemiltirone,Gamma-aminobutyric-acid
Danshen,丹参,4-methylenemiltirone,Neuronal
Danshen,丹参,4-methylenemiltirone,cAMP-dependent
Danshen,丹参,4-methylenemiltirone,Nuclear
Danshen,丹参,2-(4-hydroxy-3-methoxyphenyl)-5-(3-hydroxypropyl)-7-methoxy-3-benzofurancarboxaldehyde,Proto-oncogene
Danshen,丹参,2-(4-hydroxy-3-methoxyphenyl)-5-(3-hydroxypropyl)-7-methoxy-3-benzofurancarboxaldehyde,Cyclin-A2
Danshen,丹参,formyltanshinone,Prothrombin
Danshen,丹参,formyltanshinone,Androgen
Danshen,丹参,formyltanshinone,Prostaglandin
Danshen,丹参,formyltanshinone,Retinoic
Danshen,丹参,formyltanshinone,Dipeptidyl
Danshen,丹参,formyltanshinone,"Phosphatidylinositol-4,5-bisphosphate"
Danshen,丹参,formyltanshinone,cAMP-dependent
Danshen,丹参,formyltanshinone,Nuclear
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,D(1A)
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Prothrombin
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Muscarinic
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Prostaglandin
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Carbonic
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Retinoic
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Delta-type
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Acetylcholinesterase
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Alpha-1A
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Beta-2
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Mu-type
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Dipeptidyl
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Heat
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Neuronal
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Ig
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Trypsin-1
Danshen,丹参,3-beta-Hydroxymethyllenetanshiquinone,Nuclear
Danshen,丹参,Methylenetanshinquinone,Acetylcholinesterase
Danshen,丹参,Methylenetanshinquinone,Alpha-1A
Danshen,丹参,Methylenetanshinquinone,Muscarinic
Danshen,丹参,Methylenetanshinquinone,Beta-2
Danshen,丹参,Methylenetanshinquinone,Sodium-dependent
Danshen,丹参,Methylenetanshinquinone,Mu-type
Danshen,丹参,Methylenetanshinquinone,Gamma-aminobutyric-acid
Danshen,丹参,Methylenetanshinquinone,Dipeptidyl
Danshen,丹参,Methylenetanshinquinone,Heat
Danshen,丹参,Methylenetanshinquinone,Neuronal
Danshen,丹参,Methylenetanshinquinone,Ig
Danshen,丹参,Methylenetanshinquinone,Trypsin-1
Danshen,丹参,Methylenetanshinquinone,Nuclear
