herb_zh,gene,herb_en
人参,CHRM3,Renshen
人参,CHRM4,Renshen
人参,CHRM5,Renshen
人参,CHRNA7,Renshen
人参,CTRB1,Renshen
人参,CTSC,Renshen
人参,CYP1A1,Renshen
人参,CYP1B1,Renshen
人参,CYP3A4,Renshen
人参,DIO1,Renshen
人参,DRD1,Renshen
人参,F10,Renshen
人参,F2,Renshen
人参,F7,Renshen
人参,GABRA1,Renshen
人参,GABRA2,Renshen
人参,GABRA3,Renshen
人参,GSTM2,Renshen
人参,HAS2,Renshen
人参,HMOX1,Renshen
人参,HSP90AA2P,Renshen
人参,HTR2A,Renshen
人参,HTR2C,Renshen
人参,ICAM2,Renshen
人参,IGHG1,Renshen
人参,IKBKB,Renshen
人参,JUN,Renshen
人参,KCNC2,Renshen
人参,KCNU1,Renshen
人参,LTA4H,Renshen
人参,MAP3K7,Renshen
人参,MAP4,Renshen
人参,MMP1,Renshen
人参,NCOA7,Renshen
人参,NOS3,Renshen
人参,NR1I2,Renshen
人参,NR3C1,Renshen
人参,NR3C2,Renshen
人参,OPRD1,Renshen
人参,OPRM1,Renshen
人参,PDE3A,Renshen
人参,PDE4D,Renshen
人参,PGR,Renshen
人参,PI3,Renshen
人参,PIK3CG,Renshen
人参,PLAU,Renshen
人参,PNRC2,Renshen
人参,PPARG,Renshen
人参,PPP3CA,Renshen
人参,PRKACA,Renshen
人参,PRSS1,Renshen
人参,PSMD11,Renshen
人参,PSMG1,Renshen
人参,PTGS1,Renshen
人参,PTGS2,Renshen
人参,PTPN22,Renshen
人参,RELA,Renshen
人参,RXRA,Renshen
人参,RXRG,Renshen
人参,SCNN1A,Renshen
人参,SELE,Renshen
人参,SLC2A2,Renshen
人参,SLC6A2,Renshen
人参,SLC6A3,Renshen
人参,SLC6A4,Renshen
人参,STAT4,Renshen
人参,TGFB1,Renshen
人参,TNF,Renshen
人参,TOP2A,Renshen
人参,VCAM1,Renshen
人参,VEGFC,Renshen
人参,XDH,Renshen
葛根,ACHE,Gegen
葛根,ADRA1A,Gegen
葛根,ADRB2,Gegen
葛根,AOC2,Gegen
葛根,AR,Gegen
葛根,ATP5F1E,Gegen
葛根,BAX,Gegen
葛根,C3,Gegen
葛根,CALML5,Gegen
葛根,CASP3,Gegen
葛根,CASP8,Gegen
葛根,CASP9,Gegen
葛根,CCNA2,Gegen
葛根,CDK1,Gegen
葛根,CHEK1,Gegen
葛根,CHRM1,Gegen
葛根,CTSC,Gegen
葛根,ESR2,Gegen
葛根,F2,Gegen
葛根,GSK3B,Gegen
葛根,HSD3B1,Gegen
葛根,HSP90AA2P,Gegen
葛根,IL4,Gegen
葛根,JUN,Gegen
葛根,LACTB,Gegen
葛根,MAP4,Gegen
葛根,MAPK14,Gegen
葛根,MT-ND1,Gegen
葛根,NCOA7,Gegen
葛根,NOS2,Gegen
葛根,NOS3,Gegen
葛根,PDE3A,Gegen
葛根,PIM1,Gegen
葛根,PKIA,Gegen
葛根,PNRC2,Gegen
葛根,PPARG,Gegen
葛根,PRKACA,Gegen
葛根,PRSS1,Gegen
葛根,PTGS1,Gegen
葛根,PTGS2,Gegen
葛根,RXRA,Gegen
葛根,SIRT1,Gegen
葛根,SLC6A3,Gegen
