gene,name,score,source
MEG3,Maternally Expressed 3,59.72754,GeneCards
MIR143,MicroRNA 143,59.615932,GeneCards
SLCO1B1,Solute Carrier Organic Anion Transporter Family Member 1B1,59.561646,GeneCards
NR1H3,Nuclear Receptor Subfamily 1 Group H Member 3,59.421013,GeneCards
LDLR-AS1,LDLR Antisense RNA 1,59.394375,GeneCards
TCF21,Transcription Factor 21,59.361248,GeneCards
PLA2G7,Phospholipase A2 Group VII,59.314163,GeneCards
EFEMP2,EGF-Like Fibulin Extracellular Matrix Protein 2,58.964012,GeneCards
NLRP3,NLR Family Pyrin Domain Containing 3,58.773117,GeneCards
PIEZO1,Piezo Type Mechanosensitive Ion Channel Component 1 (Er Blood Group),58.736687,GeneCards
HMOX1,Heme Oxygenase 1,58.578674,GeneCards
PTEN,Phosphatase And Tensin Homolog,58.476616,GeneCards
SLC2A10,Solute Carrier Family 2 Member 10,58.36139,GeneCards
MFAP5,Microfibril Associated Protein 5,58.08916,GeneCards
ITGA2B,Integrin Subunit Alpha 2b,57.911514,GeneCards
MMP2,Matrix Metallopeptidase 2,57.821632,GeneCards
NOTCH1,Notch Receptor 1,57.245365,GeneCards
PPP1R17,Protein Phosphatase 1 Regulatory Subunit 17,57.099773,GeneCards
LEP,Leptin,57.026577,GeneCards
MALAT1,Metastasis Associated Lung Adenocarcinoma Transcript 1,56.803696,GeneCards
CYBB,Cytochrome B-245 Beta Chain,56.71818,GeneCards
LRP6,LDL Receptor Related Protein 6,56.682446,GeneCards
NPC1L1,NPC1 Like Intracellular Cholesterol Transporter 1,56.63856,GeneCards
MAPK9,Mitogen-Activated Protein Kinase 9,56.444275,GeneCards
ADAMTS13,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13,56.36213,GeneCards
ZFAS1,ZNFX1 Antisense RNA 1,56.03344,GeneCards
MYH9,Myosin Heavy Chain 9,55.79863,GeneCards
XYLT1,Xylosyltransferase 1,55.715908,GeneCards
COL3A1,Collagen Type III Alpha 1 Chain,55.53911,GeneCards
F12,Coagulation Factor XII,54.884686,GeneCards
SRC,"SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase",54.857346,GeneCards
ALOX5AP,Arachidonate 5-Lipoxygenase Activating Protein,54.618988,GeneCards
HLA-DRB1,"Major Histocompatibility Complex, Class II, DR Beta 1",54.56328,GeneCards
APOC1,Apolipoprotein C1,54.55683,GeneCards
XYLT2,Xylosyltransferase 2,54.54276,GeneCards
MIR222,MicroRNA 222,54.293095,GeneCards
DDIT3,DNA Damage Inducible Transcript 3,54.16699,GeneCards
TOR2A,Torsin Family 2 Member A,54.033913,GeneCards
RNF213,Ring Finger Protein 213,53.90834,GeneCards
DYNC2LI1,Dynein Cytoplasmic 2 Light Intermediate Chain 1,53.372406,GeneCards
DNMT1,DNA Methyltransferase 1,53.1494,GeneCards
LRP8,LDL Receptor Related Protein 8,52.975708,GeneCards
NT5E,5'-Nucleotidase Ecto,52.914227,GeneCards
MT-TP,Mitochondrially Encoded TRNA-Pro (CCN),52.83829,GeneCards
JAK2,Janus Kinase 2,52.734165,GeneCards
CCL13,C-C Motif Chemokine Ligand 13,52.70992,GeneCards
FGA,Fibrinogen Alpha Chain,52.651466,GeneCards
COL8A1,Collagen Type VIII Alpha 1 Chain,52.539894,GeneCards
ZPR1,ZPR1 Zinc Finger,52.35318,GeneCards
TLR7,Toll Like Receptor 7,52.270508,GeneCards
ANGPTL4,Angiopoietin Like 4,52.182285,GeneCards
GHR,Growth Hormone Receptor,52.08066,GeneCards
FLT4,Fms Related Receptor Tyrosine Kinase 4,52.075428,GeneCards
IRF5,Interferon Regulatory Factor 5,51.96438,GeneCards
ALMS1,ALMS1 Centrosome And Basal Body Associated Protein,51.535473,GeneCards
TBXA2R,Thromboxane A2 Receptor,51.4806,GeneCards
LMAN1,"Lectin, Mannose Binding 1",51.45182,GeneCards
CSF1,Colony Stimulating Factor 1,51.376488,GeneCards
PSMA6,Proteasome 20S Subunit Alpha 6,51.332912,GeneCards
GDF2,Growth Differentiation Factor 2,51.14468,GeneCards
PROS1,Protein S,51.06373,GeneCards
SREBF1,Sterol Regulatory Element Binding Transcription Factor 1,50.918015,GeneCards
IRAK1,Interleukin 1 Receptor Associated Kinase 1,50.913074,GeneCards
MIR21,MicroRNA 21,50.75672,GeneCards
F10,Coagulation Factor X,50.634064,GeneCards
CD5L,CD5 Molecule Like,50.51377,GeneCards
CST3,Cystatin C,50.178368,GeneCards
SUCNR1,Succinate Receptor 1,50.15474,GeneCards
ACVRL1,Activin A Receptor Like Type 1,49.78946,GeneCards
NR1I2,Nuclear Receptor Subfamily 1 Group I Member 2,49.770046,GeneCards
GPBP1,GC-Rich Promoter Binding Protein 1,49.54293,GeneCards
MIR6886,MicroRNA 6886,49.465332,GeneCards
RYR2,Ryanodine Receptor 2,49.424644,GeneCards
PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",49.369503,GeneCards
THBS1,Thrombospondin 1,49.224255,GeneCards
NAMPT,Nicotinamide Phosphoribosyltransferase,49.2054,GeneCards
FLNA,Filamin A,49.078773,GeneCards
CYCS,"Cytochrome C, Somatic",49.04317,GeneCards
VDR,Vitamin D Receptor,49.038677,GeneCards
FBLN5,Fibulin 5,48.932102,GeneCards
AGXT2,Alanine--Glyoxylate Aminotransferase 2,48.88835,GeneCards
PWAR4,Prader Willi/Angelman Region RNA 4,48.767506,GeneCards
HGF,Hepatocyte Growth Factor,48.637985,GeneCards
CXCL12,C-X-C Motif Chemokine Ligand 12,48.16466,GeneCards
SORL1,Sortilin Related Receptor 1,48.07045,GeneCards
MPL,"MPL Proto-Oncogene, Thrombopoietin Receptor",47.99954,GeneCards
CCR2,C-C Motif Chemokine Receptor 2,47.97184,GeneCards
FGFR1,Fibroblast Growth Factor Receptor 1,47.88569,GeneCards
PROC,"Protein C, Inactivator Of Coagulation Factors Va And VIIIa",47.828934,GeneCards
HDAC9,Histone Deacetylase 9,47.817284,GeneCards
TARID,TCF21 Antisense RNA Inducing Promoter Demethylation,47.778206,GeneCards
COL1A1,Collagen Type I Alpha 1 Chain,47.77301,GeneCards
FGG,Fibrinogen Gamma Chain,47.637085,GeneCards
ITGAM,Integrin Subunit Alpha M,47.4892,GeneCards
TFPI,Tissue Factor Pathway Inhibitor,47.29272,GeneCards
ABCA4,ATP Binding Cassette Subfamily A Member 4,46.902016,GeneCards
THRIL,TNF And HNRNPL Related Immunoregulatory Long Non-Coding RNA,46.877377,GeneCards
PTPN22,Protein Tyrosine Phosphatase Non-Receptor Type 22,46.875298,GeneCards
SENCR,Smooth Muscle And Endothelial Cell Enriched Migration/Differentiation-Associated LncRNA,46.8606,GeneCards
EPHB4,EPH Receptor B4,46.8071,GeneCards
DOCK6,Dedicator Of Cytokinesis 6,46.610847,GeneCards
CDKN2B,Cyclin Dependent Kinase Inhibitor 2B,46.50237,GeneCards
SIRT1,Sirtuin 1,46.41851,GeneCards
