herb_zh,herb_en,gene
黄芪,Huangqi,PTPN22
黄芪,Huangqi,PYGM
黄芪,Huangqi,RAF1
黄芪,Huangqi,RASA1
黄芪,Huangqi,RASSF1
黄芪,Huangqi,RBL1
黄芪,Huangqi,RELA
黄芪,Huangqi,RUNX1T1
黄芪,Huangqi,RUNX2
黄芪,Huangqi,RXRA
黄芪,Huangqi,SCNN1A
黄芪,Huangqi,SELE
黄芪,Huangqi,SERPINE1
黄芪,Huangqi,SIRT1
黄芪,Huangqi,SLC2A2
黄芪,Huangqi,SLC6A3
黄芪,Huangqi,SLC6A4
黄芪,Huangqi,SOD1
黄芪,Huangqi,SPP1
黄芪,Huangqi,STAT4
黄芪,Huangqi,TGFB1
黄芪,Huangqi,THBD
黄芪,Huangqi,TNF
黄芪,Huangqi,TOP1
黄芪,Huangqi,TOP2A
黄芪,Huangqi,TOP2B
黄芪,Huangqi,TP53
黄芪,Huangqi,VCAM1
黄芪,Huangqi,VEGFC
黄芪,Huangqi,XDH
