"group","celltype","gene","expr"
"Control","B-cells","Ccl2",0
"Control","B-cells","Tnf",0.0511636566455565
"Control","B-cells","Vegfa",0.0752052146676579
"Control","B-cells","Csf1r",0.00341113973094031
"Control","Cardiomyocytes","Il1r1",0.0095905964351255
"Control","Cardiomyocytes","Cd44",0.031195026268417
"Control","Cardiomyocytes","Il1b",0.0246673843393366
"Control","Cardiomyocytes","Cxcr3",0
"Control","Cardiomyocytes","Il6ra",0.00907054401195044
"Control","Cardiomyocytes","Csf1",0.0335336200590447
"Control","Cardiomyocytes","Il6",0
"Control","Cardiomyocytes","Cxcl10",0.0488045691885501
"Control","Cardiomyocytes","Spp1",0
"Control","Cardiomyocytes","Flt1",0.3713611689927
"Control","Cardiomyocytes","Tnfrsf1a",0.0673045255439392
"Control","Cardiomyocytes","Ccr2",0
"Control","Cardiomyocytes","Ccl2",0.0150851443399753
"Control","Cardiomyocytes","Tnf",0
"Control","Cardiomyocytes","Vegfa",0.0182805898987954
"Control","Cardiomyocytes","Csf1r",0.0173405964379716
"Control","Endothelial","Il1r1",0.100757986078559
"Control","Endothelial","Cd44",0.0196208637322008
"Control","Endothelial","Il1b",0.0073642030419483
"Control","Endothelial","Cxcr3",0.000274692833077988
"Control","Endothelial","Il6ra",0.0116049950384752
"Control","Endothelial","Csf1",0.161375958234361
"Control","Endothelial","Il6",0.00519382905399155
"Control","Endothelial","Cxcl10",0.103580857527852
"Control","Endothelial","Spp1",0.00193168878228591
"Control","Endothelial","Flt1",2.26697216094965
"Control","Endothelial","Tnfrsf1a",0.630646328830917
"Control","Endothelial","Ccr2",0.00112018475611029
"Control","Endothelial","Ccl2",0.0153372723956746
"Control","Endothelial","Tnf",0.0363097527895759
"Control","Endothelial","Vegfa",0.182197854734136
"Control","Endothelial","Csf1r",0.00894713752579629
"Control","Fibroblasts","Il1r1",0.344733787156252
"Control","Fibroblasts","Cd44",0.0662710781025294
"Control","Fibroblasts","Il1b",0.0151681838931555
"Control","Fibroblasts","Cxcr3",0
"Control","Fibroblasts","Il6ra",0.356069791639948
"Control","Fibroblasts","Csf1",0.587389004793966
"Control","Fibroblasts","Il6",0.165273707553795
"Control","Fibroblasts","Cxcl10",0.143903453769704
"Control","Fibroblasts","Spp1",0.00380128979813456
"Control","Fibroblasts","Flt1",0.255789854727942
"Control","Fibroblasts","Tnfrsf1a",0.595606305534777
"Control","Fibroblasts","Ccr2",0.00098950869322505
"Control","Fibroblasts","Ccl2",0.233371569441767
"Control","Fibroblasts","Tnf",0.00858257230128347
"Control","Fibroblasts","Vegfa",0.358333113326729
"Control","Fibroblasts","Csf1r",0.0185300865899026
"Control","Fibroblasts-activated","Il1r1",0.0339588684845588
"Control","Fibroblasts-activated","Cd44",0.142697182941284
"Control","Fibroblasts-activated","Il1b",0
"Control","Fibroblasts-activated","Cxcr3",0
"Control","Fibroblasts-activated","Il6ra",0.0189641054815491
"Control","Fibroblasts-activated","Csf1",0.192660827344181
"Control","Fibroblasts-activated","Il6",0.00368377241419302
"Control","Fibroblasts-activated","Cxcl10",0.211924430907504
"Control","Fibroblasts-activated","Spp1",0
"Control","Fibroblasts-activated","Flt1",0.340194929100412
"Control","Fibroblasts-activated","Tnfrsf1a",0.396763165622655
"Control","Fibroblasts-activated","Ccr2",0.0272728395866965
"Control","Fibroblasts-activated","Ccl2",0.168804198623216
"Control","Fibroblasts-activated","Tnf",0.00492852470893068
"Control","Fibroblasts-activated","Vegfa",0.0515367644162876
"Control","Fibroblasts-activated","Csf1r",0.0183593330769562
"Control","Granulocytes","Il1r1",0.0140604402487447
"Control","Granulocytes","Cd44",2.18783811054087
"Control","Granulocytes","Il1b",3.96778498190103
"Control","Granulocytes","Cxcr3",0
"Control","Granulocytes","Il6ra",0.67837512651694
"Control","Granulocytes","Csf1",0.499605069617872
"Control","Granulocytes","Il6",0
"Control","Granulocytes","Cxcl10",0
"Control","Granulocytes","Spp1",0.0613185134954227
"Control","Granulocytes","Flt1",0.418665681140856
"Control","Granulocytes","Tnfrsf1a",1.55991020234948
"Control","Granulocytes","Ccr2",0
"Control","Granulocytes","Ccl2",0.0483508004105446
"Control","Granulocytes","Tnf",0.171978491948659
"Control","Granulocytes","Vegfa",0.143031810434402
"Control","Granulocytes","Csf1r",0.466655689742376
"Control","Macrophages","Il1r1",0.0192858893475535
"Control","Macrophages","Cd44",0.72476973313742
"Control","Macrophages","Il1b",1.03881804062375
"Control","Macrophages","Cxcr3",0.00723776282653299
"Control","Macrophages","Il6ra",0.806624729189641
"Control","Macrophages","Csf1",0.0560443736908058
"Control","Macrophages","Il6",0.0110022969383575
"Control","Macrophages","Cxcl10",0.390143528888602
"Control","Macrophages","Spp1",0.0324552011137374
"Control","Macrophages","Flt1",0.336154524120782
"Control","Macrophages","Tnfrsf1a",0.69999027452639
"Control","Macrophages","Ccr2",0.183420865188865
"Control","Macrophages","Ccl2",0.998567890413966
"Control","Macrophages","Tnf",0.591711308274637
"Control","Macrophages","Vegfa",0.0320623693263707
"Control","Macrophages","Csf1r",2.07046586315883
"Control","Pericytes","Il1r1",0.233125269513507
"Control","Pericytes","Cd44",0.0171329796776627
"Control","Pericytes","Il1b",0.0100160497211783
"Control","Pericytes","Cxcr3",0
"Control","Pericytes","Il6ra",0.00873362430366572
"Control","Pericytes","Csf1",0.214639285804056
"Control","Pericytes","Il6",0.0385653297182777
"Control","Pericytes","Cxcl10",0.102970126774436
"Control","Pericytes","Spp1",0
"Control","Pericytes","Flt1",1.48953686119582
